proteinID_x	organism_x	description_x	valid_cds_x	proteinID_y	organism_y	description_y	valid_cds_y
G5AJU5	HG	standard	True	E9Q9F7	MM	standard	True
G5AJU6	HG	standard	True	Q3TCV3	MM	standard	True
G5AJU8	HG	standard	True	P35831	MM	standard	True
G5AJU9	HG	standard	True	D3Z0K6	MM	standard	True
G5AJV1	HG	standard	True	Q924Z6	MM	standard	True
G5AJV3	HG	standard	True	Q8C753	MM	standard	True
G5AJV5	HG	standard	True	Q9JHX3	MM	standard	True
G5AJV7	HG	standard	True	Q9D720	MM	standard	True
G5AJV9	HG	standard	True	Q8BW11	MM	standard	True
G5AJW2	HG	standard	True	Q99JT2	MM	standard	True
G5AJW5	HG	standard	True	Q8R003	MM	standard	True
G5AJW8	HG	standard	True	Q9DC50	MM	standard	True
G5AJX5	HG	standard	True	Q80XA6	MM	standard	True
G5AJX8	HG	standard	True	P55097	MM	standard	True
G5AJX9	HG	standard	True	P53762	MM	standard	True
G5AJY0	HG	standard	True	O88974	MM	standard	True
G5AJY3	HG	standard	True	Q9JHQ0	MM	standard	True
G5AJY4	HG	standard	True	Q76LS9	MM	standard	True
G5AJY5	HG	standard	True	Q8BIW1	MM	standard	True
G5AJY6	HG	standard	True	Q99JU7	MM	standard	True
G5AJY7	HG	standard	True	Q8BHL7	MM	standard	True
G5AJY8	HG	standard	True	P97783	MM	standard	True
G5AJY9	HG	standard	True	P81069	MM	standard	True
G5AJZ2	HG	standard	True	Q9D8Y7	MM	standard	True
G5AJZ3	HG	standard	True	Q9D0E3	MM	standard	True
G5AJZ4	HG	standard	True	Q8K136	MM	standard	True
G5AJZ5	HG	standard	True	Q9JLH8	MM	standard	True
G5AJZ6	HG	standard	True	Q62481	MM	standard	True
G5AJZ7	HG	standard	True	P70182	MM	standard	True
G5AJZ8	HG	standard	True	O35226	MM	standard	True
G5AK00	HG	standard	True	Q8BKC8	MM	standard	True
G5AK01	HG	standard	True	Q9JL61	MM	standard	True
G5AK02	HG	standard	True	Q63836	MM	standard	True
G5AK07	HG	standard	True	Q8R1Y2	MM	standard	True
G5AK08	HG	standard	True	Q8BJ34	MM	standard	True
G5AK09	HG	standard	True	Q9CZA6	MM	standard	True
G5AK10	HG	standard	True	O08638	MM	standard	True
G5AK11	HG	standard	True	Q9CZS3	MM	standard	True
G5AK15	HG	standard	True	Q6GQT9	MM	standard	True
G5AK34	HG	standard	True	Q66L42	MM	standard	True
G5AK36	HG	standard	True	P26516	MM	standard	True
G5AK37	HG	standard	True	Q9DBH0	MM	standard	True
G5AK38	HG	standard	True	Q8BW10	MM	standard	True
G5AK39	HG	standard	True	Q64669	MM	standard	True
G5AK40	HG	standard	True	Q9WV30	MM	standard	True
G5AK43	HG	standard	True	O35144	MM	standard	True
G5AK46	HG	standard	True	Q9JJA2	MM	standard	True
G5AK47	HG	standard	True	S4R2K0	MM	standard	True
G5AK48	HG	standard	True	Q8VEJ9	MM	standard	True
G5AK49	HG	standard	True	Q61235	MM	standard	True
G5AK50	HG	standard	True	Q8R2N2	MM	standard	True
G5AK63	HG	standard	True	Q9R0M6	MM	standard	True
G5AK83	HG	standard	True	Q14DN9	MM	standard	True
G5AK87	HG	standard	True	Q99ME3	MM	standard	True
G5AK88	HG	standard	True	Q9D2T6	MM	standard	True
G5AK89	HG	standard	True	Q6V5K9	MM	standard	True
G5AK90	HG	standard	True	P28301	MM	standard	True
G5AK96	HG	standard	True	P54830	MM	standard	True
G5AK99	HG	standard	True	Q68FG3	MM	standard	True
G5AKA0	HG	standard	True	Q3U1V6	MM	standard	True
G5AKA1	HG	standard	True	Q61187	MM	standard	True
G5AKA4	HG	standard	True	Q9DBA9	MM	standard	True
G5AKA5	HG	standard	True	P59438	MM	standard	True
G5AKA9	HG	standard	True	Q8CHC8	MM	standard	True
G5AKB0	HG	standard	True	Q9JK84	MM	standard	True
G5AKB2	HG	standard	True	Q8VC88	MM	standard	True
G5AKB3	HG	standard	True	Q8R5F7	MM	standard	True
G5AKB5	HG	standard	True	P55095	MM	standard	True
G5AKB8	HG	standard	True	Q8BGD8	MM	standard	True
G5AKB9	HG	standard	True	E9Q368	MM	standard	True
G5AKC0	HG	standard	True	E9Q1P8	MM	standard	True
G5AKC2	HG	standard	True	Q8C5L7	MM	standard	True
G5AKC3	HG	standard	True	A2CG63	MM	standard	True
G5AKC4	HG	standard	True	Q9WTN0	MM	standard	True
G5AKC5	HG	standard	True	P97927	MM	standard	True
G5AKC7	HG	standard	True	Q8VCC1	MM	standard	True
G5AKC8	HG	standard	True	Q5HZK1	MM	standard	True
G5AKD0	HG	standard	True	E9Q1M1	MM	standard	True
G5AKD1	HG	standard	True	Q9CRA5	MM	standard	True
G5AKD3	HG	standard	True	Q80TA6	MM	standard	True
G5AKD4	HG	standard	True	O88532	MM	standard	True
G5AKD5	HG	standard	True	P11031	MM	standard	True
G5AKE0	HG	standard	True	Q8BKT3	MM	standard	True
G5AKE1	HG	standard	True	Q9D338	MM	standard	True
G5AKE4	HG	standard	True	Q811G0	MM	standard	True
G5AKE5	HG	standard	True	Q8K363	MM	standard	True
G5AKF0	HG	standard	True	A2RT81	MM	standard	True
G5AKF1	HG	standard	True	Q8K1L5	MM	standard	True
G5AKF2	HG	standard	True	Q791N7	MM	standard	True
G5AKF6	HG	standard	True	G3XA30	MM	standard	True
G5AKF9	HG	standard	True	Q8BUL6	MM	standard	True
G5AKG0	HG	standard	True	Q9R118	MM	standard	True
G5AKG4	HG	standard	True	Q9D2Q3	MM	standard	True
G5AKG5	HG	standard	True	Q8BP74	MM	standard	True
G5AKG6	HG	standard	True	Q8BU00	MM	standard	True
G5AKG7	HG	standard	True	Q9DBL1	MM	standard	True
G5AKG8	HG	standard	True	P42581	MM	standard	True
G5AKG9	HG	standard	True	P43687	MM	standard	True
G5AKH0	HG	standard	True	Q9WVA3	MM	standard	True
G5AKH2	HG	standard	True	Q6PFX2	MM	standard	True
G5AKH3	HG	standard	True	Q8C0P7	MM	standard	True
G5AKH5	HG	standard	True	P35288	MM	standard	True
G5AKI5	HG	standard	True	Q3TAA7	MM	standard	True
G5AKI6	HG	standard	True	Q04997	MM	standard	True
G5AKI7	HG	standard	True	D3YYU8	MM	standard	True
G5AKI9	HG	standard	True	Q6IQX7	MM	standard	True
G5AKJ0	HG	standard	True	Q7TNS7	MM	standard	True
G5AKJ3	HG	standard	True	P31001	MM	standard	True
G5AKJ4	HG	standard	True	Q9Z2W0	MM	standard	True
G5AKJ5	HG	standard	True	P47939	MM	standard	True
G5AKJ7	HG	standard	True	Q9QYI5	MM	standard	True
G5AKJ9	HG	standard	True	O88697	MM	standard	True
G5AKK0	HG	standard	True	Q8VC60	MM	standard	True
G5AKK1	HG	standard	True	Q80UU1	MM	standard	True
G5AKK4	HG	standard	True	Q91X58	MM	standard	True
G5AKK7	HG	standard	True	Q8K158	MM	standard	True
G5AKK9	HG	standard	True	Q3KNJ2	MM	standard	True
G5AKL2	HG	standard	True	Q9JJV1	MM	standard	True
G5AKL3	HG	standard	True	P70701	MM	standard	True
G5AKL4	HG	standard	True	P22727	MM	standard	True
G5AKL5	HG	standard	True	Q8BGM7	MM	standard	True
G5AKL6	HG	standard	True	Q9DBG1	MM	standard	True
G5AKL8	HG	standard	True	Q80UG8	MM	standard	True
G5AKL9	HG	standard	True	Q69ZM6	MM	standard	True
G5AKM2	HG	standard	True	Q8BXN7	MM	standard	True
G5AKN1	HG	standard	True	Q8JZK6	MM	standard	True
G5AKN3	HG	standard	True	Q4JK59	MM	standard	True
G5AKN6	HG	standard	True	Q9EQ08	MM	standard	True
G5AKN7	HG	standard	True	Q99KF0	MM	standard	True
G5AKP1	HG	standard	True	Q8BI79	MM	standard	True
G5AKP2	HG	standard	True	A2ABG4	MM	standard	True
G5AKP4	HG	standard	True	Q9QXV1	MM	standard	True
G5AKP7	HG	standard	True	P30658	MM	standard	True
G5AKP8	HG	standard	True	O70161	MM	standard	True
G5AKP9	HG	standard	True	Q9CS00	MM	standard	True
G5AKQ1	HG	standard	True	Q8R5M0	MM	standard	True
G5AKQ4	HG	standard	True	A6H6Q4	MM	standard	True
G5AKQ5	HG	standard	True	Q9R1K5	MM	standard	True
G5AKQ9	HG	standard	True	Q9WVB3	MM	standard	True
G5AKR0	HG	standard	True	Q9WVB2	MM	standard	True
G5AKR1	HG	standard	True	P63002	MM	standard	True
G5AKR3	HG	standard	True	P21278	MM	standard	True
G5AKR4	HG	standard	True	P30678	MM	standard	True
G5AKR7	HG	standard	True	D3Z4T1	MM	standard	True
G5AKS1	HG	standard	True	O54917	MM	standard	True
G5AKS3	HG	standard	True	Q6JPI3	MM	standard	True
G5AKS8	HG	standard	True	Q9JKL5	MM	standard	True
G5AKS9	HG	standard	True	Q9Z0J4	MM	standard	True
G5AKT0	HG	standard	True	Q3UVC0	MM	standard	True
G5AKT1	HG	standard	True	Q9D0F6	MM	standard	True
G5AKT2	HG	standard	True	O54929	MM	standard	True
G5AKT8	HG	standard	True	Q8BYC6	MM	standard	True
G5AKT9	HG	standard	True	Q8BR65	MM	standard	True
G5AKU0	HG	standard	True	Q8CDV6	MM	standard	True
G5AKU1	HG	standard	True	P51667	MM	standard	True
G5AKU4	HG	standard	True	Q99MP8	MM	standard	True
G5AKU5	HG	standard	True	Q8K370	MM	standard	True
G5AKU6	HG	standard	True	Q811M1	MM	standard	True
G5AKU7	HG	standard	True	P47738	MM	standard	True
G5AKV3	HG	standard	True	Q3UDK1	MM	standard	True
G5AKV4	HG	standard	True	E9Q2E4	MM	standard	True
G5AKV6	HG	standard	True	P47911	MM	standard	True
G5AKV7	HG	standard	True	P35235	MM	standard	True
G5AKV8	HG	standard	True	P47708	MM	standard	True
G5AKW1	HG	standard	True	Q61010	MM	standard	True
G5AKW2	HG	standard	True	Q9Z268	MM	standard	True
G5AKW3	HG	standard	True	J3QPZ5	MM	standard	True
G5AKW4	HG	standard	True	Q8K4L0	MM	standard	True
G5AKW5	HG	standard	True	Q9D1H0	MM	standard	True
G5AKW6	HG	standard	True	Q9D3V1	MM	standard	True
G5AKX0	HG	standard	True	Q8VBT2	MM	standard	True
G5AKX1	HG	standard	True	Q8R238	MM	standard	True
G5AKX3	HG	standard	True	P61375	MM	standard	True
G5AKX5	HG	standard	True	Q8R3C6	MM	standard	True
G5AKX8	HG	standard	True	P70326	MM	standard	True
G5AKY0	HG	standard	True	Q80Z25	MM	standard	True
G5AKY2	HG	standard	True	Q059U7	MM	standard	True
G5AKY4	HG	standard	True	P48722	MM	standard	True
G5AKY5	HG	standard	True	Q64702	MM	standard	True
G5AKY7	HG	standard	True	Q8C1A9	MM	standard	True
G5AKY8	HG	standard	True	F6U5V1	MM	standard	True
G5AKZ4	HG	standard	True	Q922L6	MM	standard	True
G5AKZ5	HG	standard	True	Q9WUU7	MM	standard	True
G5AKZ6	HG	standard	True	A2AQ07	MM	standard	True
G5AKZ7	HG	standard	True	P56382	MM	standard	True
G5AL00	HG	standard	True	A2ADM8	MM	standard	True
G5AL01	HG	standard	True	P48299	MM	standard	True
G5AL02	HG	standard	True	Q9D3X8	MM	standard	True
G5AL07	HG	standard	True	Q9CQ36	MM	standard	True
G5AL17	HG	standard	True	F8VQ70	MM	standard	True
G5AL18	HG	standard	True	Q8BP92	MM	standard	True
G5AL19	HG	standard	True	P97814	MM	standard	True
G5AL21	HG	standard	True	Q69Z38	MM	standard	True
G5AL22	HG	standard	True	Q8VEE0	MM	standard	True
G5AL24	HG	standard	True	P20357	MM	standard	True
G5AL26	HG	standard	True	Q8C804	MM	standard	True
G5AL30	HG	standard	True	B2RUQ2	MM	standard	True
G5AL32	HG	standard	True	P50516	MM	standard	True
G5AL36	HG	standard	True	J3QQ27	MM	standard	True
G5AL37	HG	standard	True	B8ZXI1	MM	standard	True
G5AL40	HG	standard	True	Q8K0L9	MM	standard	True
G5AL42	HG	standard	True	Q9JHU3	MM	standard	True
G5AL44	HG	standard	True	Q8K3A6	MM	standard	True
G5AL54	HG	standard	True	Q6P7W0	MM	standard	True
G5AL56	HG	standard	True	Q64331	MM	standard	True
G5AL57	HG	standard	True	Q8R1W8	MM	standard	True
G5AL60	HG	standard	True	Q69ZW3	MM	standard	True
G5AL61	HG	standard	True	P80205	MM	standard	True
G5AL62	HG	standard	True	P41241	MM	standard	True
G5AL64	HG	standard	True	Q8R1B5	MM	standard	True
G5AL65	HG	standard	True	Q3U3Q1	MM	standard	True
G5AL67	HG	standard	True	Q924M7	MM	standard	True
G5AL68	HG	standard	True	Q14DQ1	MM	standard	True
G5AL69	HG	standard	True	P12787	MM	standard	True
G5AL72	HG	standard	True	Q8BZB2	MM	standard	True
G5AL73	HG	standard	True	Q3TEI4	MM	standard	True
G5AL74	HG	standard	True	Q9CQ02	MM	standard	True
G5AL75	HG	standard	True	Q8K4Q6	MM	standard	True
G5AL76	HG	standard	True	O35239	MM	standard	True
G5AL78	HG	standard	True	Q921Y2	MM	standard	True
G5AL79	HG	standard	True	Q4VAA7	MM	standard	True
G5AL81	HG	standard	True	Q810P2	MM	standard	True
G5AL83	HG	standard	True	Q9DC33	MM	standard	True
G5AL84	HG	standard	True	Q6PB66	MM	standard	True
G5AL87	HG	standard	True	Q8K0T2	MM	standard	True
G5AL88	HG	standard	True	Q8C115	MM	standard	True
G5AL89	HG	standard	True	A8C756	MM	standard	True
G5AL90	HG	standard	True	Q78JT3	MM	standard	True
G5AL97	HG	standard	True	Q62073	MM	standard	True
G5AL99	HG	standard	True	P48432	MM	standard	True
G5ALA3	HG	standard	True	Q99MR8	MM	standard	True
G5ALA5	HG	standard	True	O55142	MM	standard	True
G5ALA6	HG	standard	True	Q80W32	MM	standard	True
G5ALA7	HG	standard	True	Q8BVU0	MM	standard	True
G5ALA9	HG	standard	True	Q80U62	MM	standard	True
G5ALB1	HG	standard	True	O54967	MM	standard	True
G5ALB6	HG	standard	True	P49586	MM	standard	True
G5ALB7	HG	standard	True	Q9CQ66	MM	standard	True
G5ALB9	HG	standard	True	Q6P5G6	MM	standard	True
G5ALC0	HG	standard	True	Q80XJ2	MM	standard	True
G5ALC1	HG	standard	True	Q8CEZ1	MM	standard	True
G5ALC2	HG	standard	True	Q9DB94	MM	standard	True
G5ALC3	HG	standard	True	Q8K3B1	MM	standard	True
G5ALC6	HG	standard	True	Q9CQA8	MM	standard	True
G5ALC8	HG	standard	True	Q8CIN4	MM	standard	True
G5ALC9	HG	standard	True	Q6NXL6	MM	standard	True
G5ALD0	HG	standard	True	Q9CQ49	MM	standard	True
G5ALD3	HG	standard	True	Q9R0R1	MM	standard	True
G5ALD4	HG	standard	True	Q811D0	MM	standard	True
G5ALD6	HG	standard	True	Q80XN0	MM	standard	True
G5ALD9	HG	standard	True	Q9DCL8	MM	standard	True
G5ALE0	HG	standard	True	Q6ZQK5	MM	standard	True
G5ALE2	HG	standard	True	Q8BUP8	MM	standard	True
G5ALE3	HG	standard	True	Q3UM18	MM	standard	True
G5ALE8	HG	standard	True	P35428	MM	standard	True
G5ALF4	HG	standard	True	Q80TY5	MM	standard	True
G5ALF5	HG	standard	True	Q91ZD1	MM	standard	True
G5ALG1	HG	standard	True	Q91Z69	MM	standard	True
G5ALG2	HG	standard	True	Q6P1I3	MM	standard	True
G5ALG5	HG	standard	True	Q6NV83	MM	standard	True
G5ALG8	HG	standard	True	Q8R4W6	MM	standard	True
G5ALK5	HG	standard	True	D3Z6P9	MM	standard	True
G5ALK6	HG	standard	True	Q923Z3	MM	standard	True
G5ALL2	HG	standard	True	Q60847	MM	standard	True
G5ALL8	HG	standard	True	Q9CQY6	MM	standard	True
G5ALM3	HG	standard	True	P97310	MM	standard	True
G5ALM5	HG	standard	True	Q8BH52	MM	standard	True
G5ALN3	HG	standard	True	Q3UPL0	MM	standard	True
G5ALN6	HG	standard	True	Q8BGB7	MM	standard	True
G5ALN7	HG	standard	True	Q9Z130	MM	standard	True
G5ALN8	HG	standard	True	Q60668	MM	standard	True
G5ALN9	HG	standard	True	Q8R4A3	MM	standard	True
G5ALP0	HG	standard	True	P86174	MM	standard	True
G5ALP3	HG	standard	True	O35690	MM	standard	True
G5ALP6	HG	standard	True	Q8CJF7	MM	standard	True
G5ALQ0	HG	standard	True	Q3TL26	MM	standard	True
G5ALQ2	HG	standard	True	Q9CWR2	MM	standard	True
G5ALQ3	HG	standard	True	Q7TNC6	MM	standard	True
G5ALQ7	HG	standard	True	Q07409	MM	standard	True
G5ALR0	HG	standard	True	Q8BFP9	MM	standard	True
G5ALR1	HG	standard	True	Q9EQZ6	MM	standard	True
G5ALR2	HG	standard	True	Q9ESL4	MM	standard	True
G5ALR3	HG	standard	True	Q9D0M2	MM	standard	True
G5ALS1	HG	standard	True	P50446	MM	standard	True
G5ALS3	HG	standard	True	Q922U2	MM	standard	True
G5ALS4	HG	standard	True	Q9R0H5	MM	standard	True
G5ALS5	HG	standard	True	Q6IFZ9	MM	standard	True
G5ALS6	HG	standard	True	Q6IME9	MM	standard	True
G5ALS7	HG	standard	True	Q6NXH9	MM	standard	True
G5ALS8	HG	standard	True	P04104	MM	standard	True
G5ALU1	HG	standard	True	Q99NE5	MM	standard	True
G5ALU4	HG	standard	True	Q8VE52	MM	standard	True
G5ALU6	HG	standard	True	Q91VZ6	MM	standard	True
G5ALU7	HG	standard	True	Q8BTE0	MM	standard	True
G5ALU8	HG	standard	True	Q6NS59	MM	standard	True
G5ALV0	HG	standard	True	Q0VF58	MM	standard	True
G5ALV2	HG	standard	True	A2APY7	MM	standard	True
G5ALV3	HG	standard	True	Q3V1V3	MM	standard	True
G5ALV4	HG	standard	True	Q8R1G1	MM	standard	True
G5ALV8	HG	standard	True	Q3UTQ7	MM	standard	True
G5ALV9	HG	standard	True	Q6PIJ4	MM	standard	True
G5ALW1	HG	standard	True	P63046	MM	standard	True
G5ALW2	HG	standard	True	Q32LZ8	MM	standard	True
G5ALW5	HG	standard	True	Q91XD8	MM	standard	True
G5ALW8	HG	standard	True	Q8K3I4	MM	standard	True
G5ALX2	HG	standard	True	Q02248	MM	standard	True
G5ALX3	HG	standard	True	Q3V129	MM	standard	True
G5ALX4	HG	standard	True	Q6PD31	MM	standard	True
G5ALX5	HG	standard	True	P09240	MM	standard	True
G5ALX8	HG	standard	True	Q9D174	MM	standard	True
G5ALX9	HG	standard	True	P30415	MM	standard	True
G5ALY0	HG	standard	True	E9PZ11	MM	standard	True
G5ALY1	HG	standard	True	Q9D783	MM	standard	True
G5ALY3	HG	standard	True	D3YV10	MM	standard	True
G5ALY7	HG	standard	True	Q8BW41	MM	standard	True
G5ALY9	HG	standard	True	Q8VDU5	MM	standard	True
G5ALZ1	HG	standard	True	Q8BSS9	MM	standard	True
G5ALZ3	HG	standard	True	B1AVK5	MM	standard	True
G5ALZ6	HG	standard	True	Q9Z2X2	MM	standard	True
G5ALZ8	HG	standard	True	A2AFS9	MM	standard	True
G5ALZ9	HG	standard	True	Q9D1F3	MM	standard	True
G5AM04	HG	standard	True	Q9JK23	MM	standard	True
G5AM05	HG	standard	True	Q921C3	MM	standard	True
G5AM07	HG	standard	True	Q8C0X0	MM	standard	True
G5AM08	HG	standard	True	Q9WUZ7	MM	standard	True
G5AM12	HG	standard	True	P48758	MM	standard	True
G5AM14	HG	standard	True	P58467	MM	standard	True
G5AM15	HG	standard	True	Q03347	MM	standard	True
G5AM16	HG	standard	True	Q8BHB9	MM	standard	True
G5AM17	HG	standard	True	Q9JHG6	MM	standard	True
G5AM20	HG	standard	True	Q8CDS7	MM	standard	True
G5AM24	HG	standard	True	P58064	MM	standard	True
G5AM26	HG	standard	True	Q9DB20	MM	standard	True
G5AM27	HG	standard	True	Q9Z0R4	MM	standard	True
G5AM28	HG	standard	True	Q921W4	MM	standard	True
G5AM29	HG	standard	True	Q9QXP4	MM	standard	True
G5AM31	HG	standard	True	Q8VEK3	MM	standard	True
G5AM32	HG	standard	True	Q9D7J4	MM	standard	True
G5AM33	HG	standard	True	Q9D291	MM	standard	True
G5AM35	HG	standard	True	P46664	MM	standard	True
G5AM36	HG	standard	True	Q9DAA7	MM	standard	True
G5AM37	HG	standard	True	Q9WUK6	MM	standard	True
G5AM38	HG	standard	True	Q9WUA6	MM	standard	True
G5AM39	HG	standard	True	Q6A065	MM	standard	True
G5AM46	HG	standard	True	O35942	MM	standard	True
G5AM53	HG	standard	True	D3YWQ0	MM	standard	True
G5AM64	HG	standard	True	Q8C6K9	MM	standard	True
G5AM65	HG	standard	True	Q8VD65	MM	standard	True
G5AM68	HG	standard	True	Q8BIR2	MM	standard	True
G5AM69	HG	standard	True	Q8C0Q4	MM	standard	True
G5AM73	HG	standard	True	Q99N95	MM	standard	True
G5AM84	HG	standard	True	Q9JKF7	MM	standard	True
G5AM89	HG	standard	True	P18826	MM	standard	True
G5AM90	HG	standard	True	Q8VH37	MM	standard	True
G5AM91	HG	standard	True	P97769	MM	standard	True
G5AM92	HG	standard	True	G3X9C2	MM	standard	True
G5AM93	HG	standard	True	Q8BTW9	MM	standard	True
G5AM94	HG	standard	True	Q8BX37	MM	standard	True
G5AM95	HG	standard	True	Q6DIA9	MM	standard	True
G5AM97	HG	standard	True	Q9QZM8	MM	standard	True
G5AM98	HG	standard	True	O35680	MM	standard	True
G5AM99	HG	standard	True	Q9JJL8	MM	standard	True
G5AMA1	HG	standard	True	Q60778	MM	standard	True
G5AMA2	HG	standard	True	Q8VDQ8	MM	standard	True
G5AMA3	HG	standard	True	Q80UW3	MM	standard	True
G5AMA4	HG	standard	True	Q8R081	MM	standard	True
G5AMA6	HG	standard	True	Q8K419	MM	standard	True
G5AMA8	HG	standard	True	O54974	MM	standard	True
G5AMA9	HG	standard	True	Q9ER56	MM	standard	True
G5AMB1	HG	standard	True	Q9DBZ5	MM	standard	True
G5AMB2	HG	standard	True	P70218	MM	standard	True
G5AMB4	HG	standard	True	Q8BTM9	MM	standard	True
G5AMB5	HG	standard	True	Q6P6N5	MM	standard	True
G5AMB6	HG	standard	True	Q80WJ1	MM	standard	True
G5AMB7	HG	standard	True	Q9CX56	MM	standard	True
G5AMC1	HG	standard	True	Q9D809	MM	standard	True
G5AMC3	HG	standard	True	Q91VC7	MM	standard	True
G5AMC4	HG	standard	True	Q9QX66	MM	standard	True
G5AMC5	HG	standard	True	G3X9J0	MM	standard	True
G5AMC9	HG	standard	True	Q9D945	MM	standard	True
G5AMD1	HG	standard	True	Q60585	MM	standard	True
G5AMD2	HG	standard	True	P10077	MM	standard	True
G5AMD5	HG	standard	True	E9PYI1	MM	standard	True
G5AMD7	HG	standard	True	P16331	MM	standard	True
G5AME0	HG	standard	True	P05017	MM	standard	True
G5AME1	HG	standard	True	P56942	MM	standard	True
G5AME2	HG	standard	True	Q6IRT3	MM	standard	True
G5AME3	HG	standard	True	Q9CWU9	MM	standard	True
G5AME6	HG	standard	True	Q810M1	MM	standard	True
G5AME7	HG	standard	True	Q8BHE5	MM	standard	True
G5AME9	HG	standard	True	Q61410	MM	standard	True
G5AMF0	HG	standard	True	Q8JZL7	MM	standard	True
G5AMF1	HG	standard	True	Q8BVB5	MM	standard	True
G5AMF3	HG	standard	True	P10605	MM	standard	True
G5AMF4	HG	standard	True	P53798	MM	standard	True
G5AMF5	HG	standard	True	Q6R2P8	MM	standard	True
G5AMF6	HG	standard	True	Q08369	MM	standard	True
G5AMF8	HG	standard	True	P16277	MM	standard	True
G5AMF9	HG	standard	True	Q6P1G6	MM	standard	True
G5AMG0	HG	standard	True	Q8K3F7	MM	standard	True
G5AMG1	HG	standard	True	Q9Z2D0	MM	standard	True
G5AMG5	HG	standard	True	P40646	MM	standard	True
G5AMG9	HG	standard	True	A0A286YDY8	MM	standard	True
G5AMH0	HG	standard	True	Q9D6Y7	MM	standard	True
G5AMH1	HG	standard	True	A0A286YCV9	MM	standard	True
G5AMH2	HG	standard	True	Q8BJA3	MM	standard	True
G5AMI0	HG	standard	True	Q3UYG8	MM	standard	True
G5AMI1	HG	standard	True	B1AVY7	MM	standard	True
G5AMI2	HG	standard	True	Q9CQI7	MM	standard	True
G5AMI4	HG	standard	True	Q922M5	MM	standard	True
G5AMI5	HG	standard	True	Q8C0Q9	MM	standard	True
G5AMI8	HG	standard	True	P97433	MM	standard	True
G5AMI9	HG	standard	True	Q8C7V3	MM	standard	True
G5AMJ0	HG	standard	True	Q99PE2	MM	standard	True
G5AMJ2	HG	standard	True	Q69ZQ2	MM	standard	True
G5AMJ3	HG	standard	True	P53996	MM	standard	True
G5AMJ5	HG	standard	True	O35684	MM	standard	True
G5AMJ7	HG	standard	True	A0A0N4SUK7	MM	standard	True
G5AMJ8	HG	standard	True	Q9JK88	MM	standard	True
G5AMK6	HG	standard	True	Q8K349	MM	standard	True
G5AMK7	HG	standard	True	Q8R379	MM	standard	True
G5AML0	HG	standard	True	Q5U4E2	MM	standard	True
G5AML1	HG	standard	True	Q9DD06	MM	standard	True
G5AML2	HG	standard	True	Q8R2R5	MM	standard	True
G5AML7	HG	standard	True	Q6NXZ1	MM	standard	True
G5AML8	HG	standard	True	Q3U133	MM	standard	True
G5AMM3	HG	standard	True	Q8BV16	MM	standard	True
G5AMM5	HG	standard	True	Q9JJK2	MM	standard	True
G5AMM8	HG	standard	True	B1AVZ0	MM	standard	True
G5AMN1	HG	standard	True	E9Q3S4	MM	standard	True
G5AMN2	HG	standard	True	Q80UJ7	MM	standard	True
G5AMN3	HG	standard	True	Q6NZP1	MM	standard	True
G5AMN4	HG	standard	True	E9Q9Q2	MM	standard	True
G5AMP2	HG	standard	True	P70451	MM	standard	True
