clusterNumber	bestScore_x	Organism_x	Score_x	proteinID_x	Bootstrap_x	bestScore_y	Organism_y	Score_y	proteinID_y	Bootstrap_y
40	8056	H.sapiens	1.0	P98164	100%	8056	M.musculus	1.0	A2ARV4	100%
41	7993	H.sapiens	1.0	Q09666	100%	7993	M.musculus	1.0	E9Q616	100%
42	7981	H.sapiens	1.0	Q9Y6V0	100%	7981	M.musculus	1.0	Q9QYX7	100%
43	7979	H.sapiens	1.0	Q9NYC9	100%	7979	M.musculus	1.0	B1AR51	100%
44	7896	H.sapiens	1.0	Q8IVF4	100%	7896	M.musculus	1.0	D3YYQ8	100%
45	7848	H.sapiens	1.0	O75445	100%	7848	M.musculus	1.0	Q2QI47	100%
46	7746	H.sapiens	1.0	Q96DT5	100%	7746	M.musculus	1.0	E9Q7N9	100%
47	7691	H.sapiens	1.0	Q9Y4D8	100%	7691	M.musculus	1.0	E9Q2E4	100%
48	7655	H.sapiens	1.0	Q7Z407	100%	7655	M.musculus	1.0	Q80T79	100%
49	7546	H.sapiens	1.0	Q9P2D7	100%	7546	M.musculus	1.0	E9Q8T7	100%
50	7448	H.sapiens	1.0	Q9C0G6	100%	7448	M.musculus	1.0	E9Q0B6	100%
51	7299	H.sapiens	1.0	Q8WXX0	100%	7299	M.musculus	1.0	L7N1Y0	100%
52	7287	H.sapiens	1.0	Q9NYQ8	100%	7287	M.musculus	1.0	Q5F226	100%
53	7244	H.sapiens	1.0	Q86WI1	100%	7244	M.musculus	1.0	Q80ZA4	100%
54	7230	H.sapiens	1.0	P58107	100%	7230	M.musculus	1.0	Q8R0W0	100%
55	7228	H.sapiens	1.0	Q03164	100%	7228	M.musculus	1.0	P55200	100%
56	7207	H.sapiens	1.0	Q86XX4	100%	7207	M.musculus	1.0	Q80T14	100%
57	7176	H.sapiens	1.0	Q8TD57	100%	7176	M.musculus	1.0	Q8BW94	100%
58	7103	H.sapiens	1.0	Q7Z7G8	100%	7103	M.musculus	1.0	Q80TY5	100%
59	7098	H.sapiens	1.0	Q96PZ7	100%	7098	M.musculus	1.0	Q923L3	100%
60	7081	H.sapiens	1.0	Q96Q15	100%	7081	M.musculus	1.0	Q8BKX6	100%
61	7042	H.sapiens	1.0	Q70CQ2	100%	7042	M.musculus	1.0	Q6ZQ93	100%
62	7026	H.sapiens	1.0	P78509	100%	7026	M.musculus	1.0	Q60841	100%
63	6999	H.sapiens	1.0	Q15911	100%	6999	M.musculus	1.0	Q61329	100%
64	6980	H.sapiens	1.0	Q9UPA5	100%	6980	M.musculus	1.0	O88737	100%
65	6936	H.sapiens	1.0	Q7Z408	100%	6936	M.musculus	1.0	M0QWA1	100%
66	6916	H.sapiens	1.0	Q5CZC0	100%	6916	M.musculus	1.0	A2ARZ3	100%
67	6833	H.sapiens	1.0	Q8IZQ1	100%	6833	M.musculus	1.0	Q6VNB8	100%
68	6796	H.sapiens	1.0	Q63HN8	100%	6796	M.musculus	1.0	E9Q555	100%
69	6741	H.sapiens	1.0	P98161	100%	6741	M.musculus	1.0	O08852	100%
70	6703	H.sapiens	1.0	P11532	100%	6703	M.musculus	1.0	P11531	100%
71	6574	H.sapiens	1.0	P78527	100%	6574	M.musculus	1.0	P97313	100%
72	6517	H.sapiens	1.0	Q86UP3	100%	6517	M.musculus	1.0	Q9JJN2	100%
73	6493	H.sapiens	1.0	Q99698	100%	6493	M.musculus	1.0	P97412	100%
74	6481	H.sapiens	1.0	Q86UQ4	100%	6481	M.musculus	1.0	Q5SSE9	100%
75	6464	H.sapiens	1.0	Q709C8	100%	6464	M.musculus	1.0	Q8BX70	100%
76	6449	H.sapiens	1.0	Q4LDE5	100%	6449	M.musculus	1.0	A2AVA0	100%
77	6432	H.sapiens	1.0	Q5T011	100%	6432	M.musculus	1.0	A2A9C3	100%
78	6418	H.sapiens	1.0	Q96M86	100%	6418	M.musculus	1.0	D3Z2X2	100%
79	6335	H.sapiens	1.0	Q9H251	100%	6335	M.musculus	1.0	Q99PF4	100%
80	6322	H.sapiens	1.0	Q8N2C7	100%	6322	M.musculus	1.0	Q8BLN6	100%
81	6318	H.sapiens	1.0	P35556	100%	6318	M.musculus	1.0	Q61555	100%
82	6306	H.sapiens	1.0	Q01484	100%	6306	M.musculus	1.0	Q8C8R3	100%
83	6305	H.sapiens	1.0	P04114	100%	6305	M.musculus	1.0	E9Q414	100%
84	6214	H.sapiens	1.0	P35555	100%	6214	M.musculus	1.0	Q61554	100%
85	6206	H.sapiens	1.0	O15230	100%	6206	M.musculus	1.0	Q61001	100%
86	6187	H.sapiens	1.0	Q9NYQ7	100%	6187	M.musculus	1.0	Q91ZI0	100%
87	6114	H.sapiens	1.0	Q96JQ0	100%	6114	M.musculus	1.0	E9PVD3	100%
88	5981	H.sapiens	1.0	O75962	100%	5981	M.musculus	1.0	Q0KL02	100%
89	5973	H.sapiens	1.0	P46939	100%	5973	M.musculus	1.0	E9Q6R7	100%
90	5957	H.sapiens	1.0	P08F94	100%	5957	M.musculus	1.0	E9PZ36	100%
91	5949	H.sapiens	1.0	Q15772	100%	5949	M.musculus	1.0	Q62407	100%
92	5877	H.sapiens	1.0	Q9UKN7	100%	5877	M.musculus	1.0	Q9QZZ4	100%
93	5830	H.sapiens	1.0	Q5TBA9	100%	5830	M.musculus	1.0	E9Q8I9	100%
94	5818	H.sapiens	1.0	O60229	100%	5818	M.musculus	1.0	A2CG49	100%
95	5796	H.sapiens	1.0	Q99715	100%	5796	M.musculus	1.0	Q60847	100%
96	5782	H.sapiens	1.0	Q9P2D1	100%	5782	M.musculus	1.0	A2AJK6	100%
97	5753	H.sapiens	1.0	P24043	100%	5753	M.musculus	1.0	Q60675	100%
98	5746	H.sapiens	1.0	Q96T58	100%	5746	M.musculus	1.0	Q62504	100%
99	5734	H.sapiens	1.0	Q8TDJ6	100%	5734	M.musculus	1.0	Q8BPN8	100%
100	5733	H.sapiens	1.0	Q8NFP9	100%	5733	M.musculus	1.0	Q9EPN1	100%
101	5670	H.sapiens	1.0	O94915	100%	5670	M.musculus	1.0	F8VQ05	100%
102	5649	H.sapiens	1.0	Q9HCU4	100%	5649	M.musculus	1.0	Q9R0M0	100%
103	5641	H.sapiens	1.0	Q5SZK8	100%	5641	M.musculus	1.0	Q6NVD0	100%
104	5627	H.sapiens	1.0	P42858	100%	5627	M.musculus	1.0	P42859	100%
105	5617	H.sapiens	1.0	Q9NT68	100%	5617	M.musculus	1.0	Q9WTS5	100%
106	5609	H.sapiens	1.0	Q6N022	100%	5609	M.musculus	1.0	Q3UHK6	100%
107	5582	H.sapiens	1.0	P21359	100%	5582	M.musculus	1.0	Q04690	100%
108	5523	H.sapiens	1.0	O60494	100%	5523	M.musculus	1.0	Q9JLB4	100%
109	5509	H.sapiens	1.0	Q6ZR08	100%	5509	M.musculus	1.0	Q3V0Q1	100%
110	5503	H.sapiens	1.0	Q9NR48	100%	5503	M.musculus	1.0	Q99MY8	100%
111	5503	H.sapiens	1.0	Q9UKZ4	100%	5503	M.musculus	1.0	Q9WTS4	100%
112	5495	H.sapiens	1.0	Q9Y485	100%	5495	M.musculus	1.0	Q6PNC0	100%
113	5482	H.sapiens	1.0	Q14315	100%	5482	M.musculus	1.0	Q8VHX6	100%
114	5468	H.sapiens	1.0	O95071	100%	5468	M.musculus	1.0	Q80TP3	100%
115	5459	H.sapiens	1.0	Q9P273	100%	5459	M.musculus	1.0	Q9WTS6	100%
116	5417	H.sapiens	1.0	Q14643	100%	5417	M.musculus	1.0	P11881	100%
117	5404	H.sapiens	1.0	Q7Z7M0	100%	5404	M.musculus	1.0	P60882	100%
118	5387	H.sapiens	1.0	O60673	100%	5387	M.musculus	1.0	Q61493	100%
119	5377	H.sapiens	1.0	Q6KC79	100%	5377	M.musculus	1.0	Q6KCD5	100%
120	5372	H.sapiens	1.0	P15924	100%	5372	M.musculus	1.0	E9Q557	100%
121	5370	H.sapiens	1.0	Q96RL7	100%	5370	M.musculus	1.0	Q5H8C4	100%
122	5364	H.sapiens	1.0	Q16787	100%	5364	M.musculus	1.0	Q61789	100%
123	5349	H.sapiens	1.0	O43149	100%	5349	M.musculus	1.0	Q5SSH7	100%
124	5322	H.sapiens	1.0	Q3L8U1	100%	5322	M.musculus	1.0	Q8BYH8	100%
125	5282	H.sapiens	1.0	P21333	100%	5282	M.musculus	1.0	Q8BTM8	100%
126	5269	H.sapiens	1.0	P12111	100%	5269	M.musculus	1.0	E9PWQ3	100%
127	5213	H.sapiens	1.0	Q14571	100%	5213	M.musculus	1.0	Q9Z329	100%
128	5181	H.sapiens	1.0	Q02388	100%	5181	M.musculus	1.0	Q63870	100%
129	5157	H.sapiens	1.0	Q6ZS81	100%	5157	M.musculus	1.0	E9Q2M9	100%
130	5137	H.sapiens	1.0	Q13315	100%	5137	M.musculus	1.0	Q62388	100%
131	5136	H.sapiens	1.0	Q93008	100%	5136	M.musculus	1.0	P70398	100%
132	5130	H.sapiens	1.0	Q9ULT8	100%	5130	M.musculus	1.0	Q69ZR2	100%
133	5129	H.sapiens	1.0	P46531	100%	5129	M.musculus	1.0	Q01705	100%
134	5111	H.sapiens	1.0	P04275	100%	5111	M.musculus	1.0	Q8CIZ8	100%
135	5108	H.sapiens	1.0	Q9UPU5	100%	5108	M.musculus	1.0	B1AY13	100%
136	5102	H.sapiens	1.0	O75369	100%	5102	M.musculus	1.0	Q80X90	100%
137	5089	H.sapiens	1.0	Q14573	100%	5089	M.musculus	1.0	P70227	100%
138	5075	H.sapiens	1.0	P25054	100%	5075	M.musculus	1.0	Q61315	100%
139	5066	H.sapiens	1.0	P50851	100%	5066	M.musculus	1.0	Q9ESE1	100%
140	5029	H.sapiens	1.0	Q9UMN6	100%	5029	M.musculus	1.0	O08550	100%
141	5028	H.sapiens	1.0	P42345	100%	5028	M.musculus	1.0	Q9JLN9	100%
142	5004	H.sapiens	1.0	Q9NYQ6	100%	5004	M.musculus	1.0	O35161	100%
143	5004	H.sapiens	1.0	Q9HCK8	100%	5004	M.musculus	1.0	Q09XV5	100%
144	4996	H.sapiens	1.0	Q9H5I5	100%	4996	M.musculus	1.0	Q8CD54	100%
145	4995	H.sapiens	1.0	Q96L91	100%	4995	M.musculus	1.0	Q8CHI8	100%
146	4991	H.sapiens	1.0	Q9P2D8	100%	4991	M.musculus	1.0	Q0KK59	100%
147	4990	H.sapiens	1.0	Q6ZRI0	100%	4990	M.musculus	1.0	O55225	100%
148	4986	H.sapiens	1.0	Q04721	100%	4986	M.musculus	1.0	O35516	100%
149	4981	H.sapiens	1.0	P25391	100%	4981	M.musculus	1.0	P19137	100%
150	4972	H.sapiens	1.0	Q9Y4A5	100%	4972	M.musculus	1.0	Q80YV3	100%
151	4939	H.sapiens	1.0	O75179	100%	4939	M.musculus	1.0	Q99NH0	100%
152	4937	H.sapiens	1.0	Q99996	100%	4937	M.musculus	1.0	Q70FJ1	100%
153	4933	H.sapiens	1.0	Q12830	100%	4933	M.musculus	1.0	A2A654	100%
154	4930	H.sapiens	1.0	Q6ZS30	100%	4930	M.musculus	1.0	E9PV03	100%
155	4920	H.sapiens	1.0	Q9Y520	100%	4920	M.musculus	1.0	Q3TLH4	100%
156	4892	H.sapiens	1.0	Q92616	100%	4892	M.musculus	1.0	E9PVA8	100%
157	4879	H.sapiens	1.0	Q8TD26	100%	4879	M.musculus	1.0	A3KFM7	100%
158	4831	H.sapiens	1.0	Q6P2Q9	100%	4831	M.musculus	1.0	Q99PV0	100%
159	4829	H.sapiens	1.0	Q6ZNJ1	100%	4829	M.musculus	1.0	Q6ZQA0	100%
160	4820	H.sapiens	1.0	Q96JM2	100%	4820	M.musculus	1.0	B1AWL2	100%
161	4811	H.sapiens	1.0	Q8IWI9	100%	4811	M.musculus	1.0	A2AWL7	100%
162	4809	H.sapiens	1.0	Q9H254	100%	4809	M.musculus	1.0	E9PX29	100%
163	4808	H.sapiens	1.0	Q9Y490	100%	4808	M.musculus	1.0	P26039	100%
164	4794	H.sapiens	1.0	Q13535	100%	4794	M.musculus	1.0	Q9JKK8	100%
165	4792	H.sapiens	1.0	Q13813	100%	4792	M.musculus	1.0	P16546	100%
166	4785	H.sapiens	1.0	O15050	100%	4785	M.musculus	1.0	Q8BV79	100%
167	4768	H.sapiens	1.0	Q5VT06	100%	4768	M.musculus	1.0	E9Q309	100%
168	4766	H.sapiens	1.0	Q92793	100%	4766	M.musculus	1.0	P45481	100%
169	4761	H.sapiens	1.0	O75691	100%	4761	M.musculus	1.0	Q5XG71	100%
170	4731	H.sapiens	1.0	A5YKK6	100%	4731	M.musculus	1.0	Q6ZQ08	100%
171	4711	H.sapiens	1.0	Q9P2P6	100%	4711	M.musculus	1.0	Q80TF6	100%
172	4675	H.sapiens	1.0	Q86UK0	100%	4675	M.musculus	1.0	E9Q876	100%
173	4661	H.sapiens	1.0	O15417	100%	4661	M.musculus	1.0	Q80WC3	100%
174	4655	H.sapiens	1.0	Q09472	100%	4655	M.musculus	1.0	B2RWS6	100%
175	4653	H.sapiens	1.0	Q8IWZ3	100%	4653	M.musculus	1.0	E9PUR0	100%
176	4641	H.sapiens	1.0	Q9UM47	100%	4641	M.musculus	1.0	Q61982	100%
177	4634	H.sapiens	1.0	P22105	100%	4634	M.musculus	1.0	O35452	100%
178	4611	H.sapiens	1.0	Q01082	100%	4611	M.musculus	1.0	Q62261	100%
179	4600	H.sapiens	1.0	Q13085	100%	4600	M.musculus	1.0	Q5SWU9	100%
180	4600	H.sapiens	1.0	Q9NY15	100%	4600	M.musculus	1.0	Q8R4Y4	100%
181	4594	H.sapiens	1.0	A4UGR9	100%	4594	M.musculus	1.0	Q4U4S6	100%
182	4587	H.sapiens	1.0	Q14789	100%	4587	M.musculus	1.0	E9PVZ8	100%
183	4518	H.sapiens	1.0	Q3ZCN5	100%	4518	M.musculus	1.0	F7A4A7	100%
184	4512	H.sapiens	1.0	O14497	100%	4512	M.musculus	1.0	A2BH40	100%
185	4505	H.sapiens	1.0	O43497	100%	4505	M.musculus	1.0	Q5SUF7	100%
186	4471	H.sapiens	1.0	O15020	100%	4471	M.musculus	1.0	Q68FG2	100%
187	4463	H.sapiens	1.0	B2RTY4	100%	4463	M.musculus	1.0	Q8C170	100%
188	4446	H.sapiens	1.0	O75376	100%	4446	M.musculus	1.0	Q60974	100%
189	4431	H.sapiens	1.0	P46821	100%	4431	M.musculus	1.0	P14873	100%
190	4431	H.sapiens	1.0	Q9Y4G6	100%	4431	M.musculus	1.0	Q71LX4	100%
191	4426	H.sapiens	1.0	O75443	100%	4426	M.musculus	1.0	O08523	100%
192	4423	H.sapiens	1.0	Q9C0A1	100%	4423	M.musculus	1.0	Q2MHN3	100%
193	4414	H.sapiens	1.0	Q9UQ35	100%	4414	M.musculus	1.0	Q8BTI8	100%
194	4410	H.sapiens	1.0	Q5S007	100%	4410	M.musculus	1.0	Q5S006	100%
195	4404	H.sapiens	1.0	O00763	100%	4404	M.musculus	1.0	E9Q4Z2	100%
196	4393	H.sapiens	1.0	Q8WWQ8	100%	4393	M.musculus	1.0	Q8R4U0	100%
197	4392	H.sapiens	1.0	P78559	100%	4392	M.musculus	1.0	Q9QYR6	100%
198	4390	H.sapiens	1.0	Q8IVL1	100%	4390	M.musculus	1.0	E9Q842	100%
199	4389	H.sapiens	1.0	Q96AY4	100%	4389	M.musculus	1.0	Q80XJ3	100%
200	4375	H.sapiens	1.0	Q9BZC7	100%	4375	M.musculus	1.0	P41234	100%
201	4373	H.sapiens	1.0	O60281	100%	4373	M.musculus	1.0	Q9Z2U2	100%
202	4371	H.sapiens	1.0	O75165	100%	4371	M.musculus	1.0	G3X922	100%
203	4367	H.sapiens	1.0	Q96L73	100%	4367	M.musculus	1.0	O88491	100%
204	4357	H.sapiens	1.0	Q92673	100%	4357	M.musculus	1.0	O88307	100%
205	4355	H.sapiens	1.0	P98160	100%	4355	M.musculus	1.0	Q05793	100%
206	4349	H.sapiens	1.0	O95477	100%	4349	M.musculus	1.0	P41233	100%
207	4346	H.sapiens	1.0	Q8IVL0	100%	4346	M.musculus	1.0	Q80TN7	100%
208	4344	H.sapiens	1.0	Q13402	100%	4344	M.musculus	1.0	P97479	100%
209	4340	H.sapiens	1.0	P31629	100%	4340	M.musculus	1.0	Q3UHF7	100%
210	4340	H.sapiens	1.0	Q15878	100%	4340	M.musculus	1.0	Q61290	100%
211	4330	H.sapiens	1.0	Q9HCE0	100%	4330	M.musculus	1.0	Q80TA9	100%
212	4327	H.sapiens	1.0	Q9BYW2	100%	4327	M.musculus	1.0	E9Q5F9	100%
213	4312	H.sapiens	1.0	Q96RV3	100%	4312	M.musculus	1.0	Q9QYC1	100%
214	4309	H.sapiens	1.0	O00555	100%	4309	M.musculus	1.0	P97445	100%
215	4295	H.sapiens	1.0	Q9Y618	100%	4295	M.musculus	1.0	Q9WU42	100%
216	4290	H.sapiens	1.0	Q00975	100%	4290	M.musculus	1.0	O55017	100%
217	4287	H.sapiens	1.0	P11717	100%	4287	M.musculus	1.0	Q07113	100%
218	4270	H.sapiens	1.0	Q5JWR5	100%	4270	M.musculus	1.0	Q8BL99	100%
219	4269	H.sapiens	1.0	Q14667	100%	4269	M.musculus	1.0	Q5SYL3	100%
220	4263	H.sapiens	1.0	P12270	100%	4263	M.musculus	1.0	F6ZDS4	100%
221	4260	H.sapiens	1.0	P27708	100%	4260	M.musculus	1.0	B2RQC6	100%
222	4258	H.sapiens	1.0	Q93074	100%	4258	M.musculus	1.0	A2AGH6	100%
223	4257	H.sapiens	1.0	P01266	100%	4257	M.musculus	1.0	O08710	100%
224	4242	H.sapiens	1.0	O75643	100%	4242	M.musculus	1.0	Q6P4T2	100%
225	4236	H.sapiens	1.0	Q07864	100%	4236	M.musculus	1.0	Q9WVF7	100%
226	4224	H.sapiens	1.0	Q01668	100%	4224	M.musculus	1.0	Q99246	100%
227	4221	H.sapiens	1.0	Q9UHV7	100%	4221	M.musculus	1.0	Q5SWW4	100%
228	4209	H.sapiens	1.0	Q6UB99	100%	4209	M.musculus	1.0	E9Q4F8	100%
229	4198	H.sapiens	1.0	Q71F56	100%	4198	M.musculus	1.0	Q6JPI3	100%
230	4198	H.sapiens	1.0	Q9P281	100%	4198	M.musculus	1.0	Q3UHR0	100%
231	4197	H.sapiens	1.0	Q58EX2	100%	4197	M.musculus	1.0	Q6V4S5	100%
232	4184	H.sapiens	1.0	Q96N67	100%	4184	M.musculus	1.0	Q8R1A4	100%
233	4181	H.sapiens	1.0	Q68DK2	100%	4181	M.musculus	1.0	Q5DU37	100%
234	4180	H.sapiens	1.0	O15078	100%	4180	M.musculus	1.0	Q6A078	100%
235	4156	H.sapiens	1.0	Q92508	100%	4156	M.musculus	1.0	E2JF22	100%
236	4146	H.sapiens	1.0	Q9Y566	100%	4146	M.musculus	1.0	D3YZU1	100%
237	4139	H.sapiens	1.0	O15021	100%	4139	M.musculus	1.0	Q811L6	100%
238	4135	H.sapiens	1.0	Q8NFD5	100%	4135	M.musculus	1.0	E9Q4N7	100%
239	4134	H.sapiens	1.0	P78363	100%	4134	M.musculus	1.0	O35600	100%
240	4126	H.sapiens	1.0	P49327	100%	4126	M.musculus	1.0	P19096	100%
241	4098	H.sapiens	1.0	Q96BY6	100%	4098	M.musculus	1.0	Q8BZN6	100%
242	4095	H.sapiens	1.0	Q86YW9	100%	4095	M.musculus	1.0	Q8BQM9	100%
243	4087	H.sapiens	1.0	Q15652	100%	4087	M.musculus	1.0	Q69ZK6	100%
244	4084	H.sapiens	1.0	Q8N3C0	100%	4084	M.musculus	1.0	E9PZJ8	100%
245	4080	H.sapiens	1.0	Q8TD84	100%	4080	M.musculus	1.0	Q4VA61	100%
246	4069	H.sapiens	1.0	A2RRP1	100%	4069	M.musculus	1.0	E9Q411	100%
247	4067	H.sapiens	1.0	P46100	100%	4067	M.musculus	1.0	Q61687	100%
248	4067	H.sapiens	1.0	Q9P0X4	100%	4067	M.musculus	1.0	E9Q7P2	100%
249	4067	H.sapiens	1.0	Q9UMZ3	100%	4067	M.musculus	1.0	P0C5E4	100%
250	4063	H.sapiens	1.0	O75923	100%	4063	M.musculus	1.0	Q9ESD7	100%
251	4056	H.sapiens	1.0	Q5JSL3	100%	4056	M.musculus	1.0	A2AF47	100%
252	4044	H.sapiens	1.0	P48634	100%	4044	M.musculus	1.0	Q7TSC1	100%
253	4031	H.sapiens	1.0	P42356	100%	4031	M.musculus	1.0	E9Q3L2	100%
254	4030	H.sapiens	1.0	Q02817	100%	4030	M.musculus	1.0	Q80Z19	100%
255	4028	H.sapiens	1.0	Q8IZD9	100%	4028	M.musculus	1.0	Q8CIQ7	100%
256	4024	H.sapiens	1.0	Q5TH69	100%	4024	M.musculus	1.0	Q3UGY8	100%
257	4015	H.sapiens	1.0	Q8WUY3	100%	4015	M.musculus	1.0	Q52KR3	100%
258	4013	H.sapiens	1.0	Q7Z5N4	100%	4013	M.musculus	1.0	Q3UH53	100%
259	4012	H.sapiens	1.0	P24928	100%	4012	M.musculus	1.0	P08775	100%
260	4006	H.sapiens	1.0	Q13936	100%	4006	M.musculus	1.0	Q01815	100%
261	3992	H.sapiens	1.0	P18583	100%	3992	M.musculus	1.0	Q9QX47	100%
262	3985	H.sapiens	1.0	O60469	100%	3985	M.musculus	1.0	Q9ERC8	100%
263	3985	H.sapiens	1.0	Q8NB66	100%	3985	M.musculus	1.0	Q8K0T7	100%
264	3985	H.sapiens	1.0	Q9Y2I7	100%	3985	M.musculus	1.0	Q9Z1T6	100%
265	3981	H.sapiens	1.0	Q9H799	100%	3981	M.musculus	1.0	Q8CE72	100%
266	3979	H.sapiens	1.0	Q9NZM1	100%	3979	M.musculus	1.0	Q69ZN7	100%
267	3962	H.sapiens	1.0	P35498	100%	3962	M.musculus	1.0	A2APX8	100%
268	3950	H.sapiens	1.0	Q99973	100%	3950	M.musculus	1.0	P97499	100%
269	3949	H.sapiens	1.0	Q05BV3	100%	3949	M.musculus	1.0	Q8BQM8	100%
270	3944	H.sapiens	1.0	Q9Y6J0	100%	3944	M.musculus	1.0	G3X8Q1	100%
271	3942	H.sapiens	1.0	Q9H6A9	100%	3942	M.musculus	1.0	Q8VI59	100%
272	3941	H.sapiens	1.0	P13611	100%	3941	M.musculus	1.0	Q62059	100%
273	3940	H.sapiens	1.0	O95180	100%	3940	M.musculus	1.0	O88427	100%
274	3937	H.sapiens	1.0	Q9Y3R5	100%	3937	M.musculus	1.0	Q3UHQ6	100%
275	3934	H.sapiens	1.0	O75096	100%	3934	M.musculus	1.0	Q8VI56	100%
276	3932	H.sapiens	1.0	Q6ZMW3	100%	3932	M.musculus	1.0	Q5SQM0	100%
277	3932	H.sapiens	1.0	Q9H4A3	100%	3932	M.musculus	1.0	P83741	100%
278	3924	H.sapiens	1.0	Q99250	100%	3924	M.musculus	1.0	B1AWN6	100%
279	3923	H.sapiens	1.0	Q12873	100%	3923	M.musculus	1.0	B1AR17	100%
280	3917	H.sapiens	1.0	Q8N201	100%	3917	M.musculus	1.0	Q6P4S8	100%
281	3916	H.sapiens	1.0	Q9HD67	100%	3916	M.musculus	1.0	F8VQB6	100%
282	3914	H.sapiens	1.0	Q6GYQ0	100%	3914	M.musculus	1.0	Q6GYP7	100%
283	3911	H.sapiens	1.0	Q9P212	100%	3911	M.musculus	1.0	Q8K4S1	100%
284	3909	H.sapiens	1.0	Q9UQD0	100%	3909	M.musculus	1.0	Q9WTU3	100%
285	3906	H.sapiens	1.0	Q6UVK1	100%	3906	M.musculus	1.0	Q8VHY0	100%
286	3896	H.sapiens	1.0	Q9HCD6	100%	3896	M.musculus	1.0	A2A690	100%
287	3894	H.sapiens	1.0	P02549	100%	3894	M.musculus	1.0	P08032	100%
288	3889	H.sapiens	1.0	Q8N1I0	100%	3889	M.musculus	1.0	P59764	100%
