H.sapiens,P.troglodytes,Chaperone_client,dN,dS,dN/dS,Protein-protein_interaction_(PPI),Protein_abundance,Codon_adaptation_index_(CAI),Aggregation_propensity
ENSG00000178821,TMEM52,Non-client,0.01,0.0753,0.132802125,,0,0.3982751,1553.75
ENSG00000204140,CLPSL1,Non-client,0.1931,0.4502,0.42892048,12,0,0.4229939,1573.84
ENSG00000234409,CCDC188,Non-client,0.0064,0.0139,0.460431655,,0,0.4399996,1582.79
ENSG00000137393,RNF144B,Non-client,0,0.0152,0,16,0,0.5632186,1591.02
ENSG00000174899,PQLC2L,Non-client,0.0217,0.0169,1.284023669,,0,0.595217,1615.68
ENSG00000171987,C11H11orf40,Non-client,0.0202,0.0052,3.884615385,,0,0.5888181,1629.3
ENSG00000125823,CSTL1,Non-client,0.0155,0.0092,1.684782609,,0,0.4934576,1697.53
ENSG00000204710,SPDYC,Non-client,0.008,0.0315,0.253968254,,0,0.4515625,1718.19
ENSG00000179673,RPRML,Non-client,0.0032,0.0211,0.151658768,,0,0.3289569,1897.39
ENSG00000205846,CLEC6A,Non-client,0.0106,0.009,1.177777778,,0,0.670061,2198.01
ENSG00000228607,CLDN25,Non-client,0.0042,0.0098,0.428571429,,0,0.4846901,2827.19
ENSG00000164325,TMEM174,Client,0.0058,0.0243,0.238683128,2,0,0.5151434,3291.67
ENSG00000180801,ARSJ,Non-client,0.0008,0.0097,0.082474227,4,0,0.583709,3375.33
ENSG00000167910,CYP7A1,Non-client,0.0009,0.0068,0.132352941,,0,0.5952098,3844.17
ENSG00000184210,DGAT2L6,Non-client,0.0057,0.0033,1.727272727,,0,0.5382579,4001.06
ENSG00000187492,CDHR4,Non-client,0.01,0.0127,0.787401575,,0,0.4865333,4659.74
ENSG00000204979,MS4A13,Non-client,0.0152,0.0082,1.853658537,,0,0.688776,5335.12
ENSG00000179709,NLRP8,Non-client,0.0073,0.0186,0.392473118,,0,0.5401903,5647.8
ENSG00000189280,GJB5,Non-client,0.0046,0.0446,0.103139014,6,0,0.4337286,6173.69
ENSG00000206536,OR5K3,Non-client,0.0185,0.0099,1.868686869,,0,0.6688977,6240.73
ENSG00000175894,TSPEAR,Non-client,0.0043,0.0277,0.155234657,,0,0.4188087,6250.74
ENSG00000095981,KCNK16,Client,0.0931,0.181,0.514364641,24,0,0.4756866,6366.14
ENSG00000249581,CLRN2,Non-client,0.0079,0.0161,0.49068323,,0,0.4507682,6435.6
ENSG00000232268,OR52I1,Non-client,0.015,0.0136,1.102941177,,0,0.5403193,6465.45
ENSG00000166363,OR10A5,Non-client,0.0059,0.0148,0.398648649,,0,0.5212924,6682.38
ENSG00000167769,ACER1,Non-client,0.0063,0.0549,0.114754098,,0,0.3976365,6903.76
ENSG00000128310,GALR3,Non-client,0.0022,0.0534,0.041198502,1,0,0.2896816,7037.12
ENSG00000172146,OR1A1,Non-client,0.0046,0.0152,0.302631579,,0,0.5051597,7076.38
ENSG00000181264,TMEM136,Non-client,0.0017,0.0152,0.111842105,,0,0.5236183,7198.88
ENSG00000136297,MMD2,Non-client,0,0.0416,0,,0,0.4091998,7202.95
ENSG00000226288,OR52I2,Non-client,0.0198,0.0152,1.302631579,,0,0.5476353,7258.84
ENSG00000132259,CNGA4,Non-client,0.0023,0.0128,0.1796875,,0,0.4462861,7322.44
ENSG00000136048,DRAM1,Non-client,0,0.0093,0,3,0,0.5409041,7328.72
ENSG00000172320,OR5A1,Non-client,0.0058,0.0278,0.208633094,,0,0.4920853,7623.79
ENSG00000125255,SLC10A2,Non-client,0.004,0.0178,0.224719101,1,0,0.5208062,7776.14
ENSG00000177535,OR2B11,Non-client,0.0069,0.0276,0.25,,0,0.4457415,7782.64
ENSG00000179615,OR2AP1,Non-client,0.0088,0.0126,0.698412698,,0,0.5600793,7798.32
ENSG00000184933,OR6A2,Non-client,0.004,0.0222,0.18018018,,0,0.5575681,7888.97
ENSG00000181371,OR5M8,Non-client,0.0147,0.0082,1.792682927,,0,0.5408471,7962.85
ENSG00000180988,OR52N2,Non-client,0.0083,0.0265,0.313207547,,0,0.5098676,8015.6
ENSG00000153230,OR14K1,Non-client,0.0141,0.0138,1.02173913,,0,0.5777546,8034.43
ENSG00000167360,OR51Q1,Non-client,0.0195,0.0223,0.874439462,,0,0.4784895,8059.56
ENSG00000180785,LOC466342,Non-client,0.0029,0.0227,0.127753304,,0,0.5075495,8170.1
ENSG00000182334,OR5P3,Non-client,0.0059,0.008,0.7375,,0,0.5542764,8340.29
ENSG00000180016,OR1E2,Non-client,0.0084,0.018,0.466666667,,0,0.4924739,8369.26
ENSG00000180919,OR56B4,Non-client,0.0092,0.0171,0.538011696,,0,0.525537,8404.16
ENSG00000121853,GHSR,Non-client,0,0.0198,0,,0,0.3771893,8527.88
ENSG00000176246,LOC107968274,Non-client,0.0336,0.0562,0.597864769,,0,0.593955,8765.04
ENSG00000187612,OR5W2,Non-client,0.0077,0.0258,0.298449612,,0,0.6075285,8993.53
ENSG00000171561,OR2AT4,Non-client,0.0027,0.0314,0.085987261,,0,0.4790454,9012.13
ENSG00000176231,OR10H4,Non-client,0.0136,0.0145,0.937931035,,0,0.4885881,9110.5
ENSG00000180269,GPR139,Non-client,0,0.014,0,,0,0.4213653,9156.49
ENSG00000172289,OR10V1,Non-client,0.0062,0.0222,0.279279279,,0,0.5207642,9185.22
ENSG00000171936,OR10H3,Non-client,0.0206,0.0039,5.282051282,7,0,0.4929904,9218.59
ENSG00000165202,OR1Q1,Non-client,0.0028,0.0043,0.651162791,,0,0.4848571,9221.06
ENSG00000163082,SGPP2,Non-client,0.0024,0.028,0.085714286,,0,0.4645897,9261.83
ENSG00000184166,OR1D2,Non-client,0.0072,0.0083,0.86746988,,0,0.4831142,9452.17
ENSG00000174982,OR4S2,Non-client,0.0048,0.02,0.24,3,0,0.5793876,9481.98
ENSG00000165762,OR4K2,Non-client,0.003,0.0073,0.410958904,,0,0.6256895,9508.09
ENSG00000127780,PTOR1E2,Non-client,0.0104,0.0194,0.536082474,1,0,0.4897733,9546.45
ENSG00000127362,TAS2R3,Non-client,0.0015,0.0068,0.220588235,,0,0.5700081,9890.75
ENSG00000172154,OR8I2,Non-client,0.0138,0.0074,1.864864865,,0,0.5776553,10148.3
ENSG00000184394,OR4N5,Non-client,0.0094,0.0072,1.305555556,,0,0.5326509,10560.8
ENSG00000128519,TAS2R16,Non-client,0.0048,0.0083,0.578313253,,0,0.5838006,10891.7
ENSG00000188467,SLC24A5,Non-client,0.0028,0.0074,0.378378378,3,0,0.6631937,12427.1
ENSG00000183960,KCNH8,Non-client,0.0027,0.0047,0.574468085,,0,0.5850147,12853
ENSG00000140090,SLC24A4,Non-client,0.0018,0.0229,0.07860262,,0,0.448452,14230.9
ENSG00000104044,OCA2,Non-client,0.0063,0.0146,0.431506849,3,0,0.4829901,16097.7
ENSG00000188315,C3H3orf62,Non-client,0.0089,0.0086,1.034883721,11,0.001,0.6160688,112.998
ENSG00000185860,CCDC190,Non-client,0.0117,0.0033,3.545454546,,0.001,0.6274244,224.595
ENSG00000205710,C17H17orf107,Non-client,0.0073,0.0595,0.122689076,,0.001,0.4215847,546.322
ENSG00000158786,PLA2G2F,Non-client,0.2688,0.3926,0.684666327,,0.001,0.4549926,1206.51
ENSG00000162490,DRAXIN,Non-client,0.0025,0.0081,0.308641975,,0.001,0.4536003,1333.17
ENSG00000189045,ANKDD1B,Non-client,0.0056,0.0039,1.435897436,,0.001,0.554308,2311.8
ENSG00000091181,IL5RA,Non-client,0.0091,0.016,0.56875,6,0.001,0.6241481,4508.49
ENSG00000157111,TMEM171,Non-client,0.0015,0.0067,0.223880597,58,0.001,0.5383904,5331.1
ENSG00000255012,OR5M1,Non-client,0.0075,0.0185,0.405405405,,0.001,0.5457911,7018.17
ENSG00000176555,OR4S1,Non-client,0.014,0.0145,0.965517241,,0.001,0.5100255,7033.37
ENSG00000129749,CHRNA10,Non-client,0.0039,0.0128,0.3046875,,0.001,0.3795403,7183.81
ENSG00000182854,OR4F15,Non-client,0.0044,0.008,0.55,,0.001,0.5923644,7300.82
ENSG00000254834,OR5M10,Non-client,0.0124,0.0244,0.508196721,,0.001,0.550683,7510.69
ENSG00000124657,OR2B6,Non-client,0.0143,0.0066,2.166666667,,0.001,0.6017492,7572.73
ENSG00000177669,MBOAT4,Non-client,0.0065,0.0135,0.481481482,,0.001,0.5162409,8228.48
ENSG00000171657,GPR82,Non-client,0.0042,0.007,0.6,,0.001,0.6584383,8344.39
ENSG00000181803,OR6S1,Non-client,0.0104,0.0323,0.321981424,,0.001,0.5369701,8763.99
ENSG00000176495,LOC466609,Non-client,0.0031,0.0072,0.430555556,,0.001,0.5747339,8867.7
ENSG00000188269,OR7A5,Non-client,0.0042,0.0166,0.253012048,1,0.001,0.5592619,8950.38
ENSG00000221933,OR2A25,Non-client,0.0014,0.0219,0.063926941,,0.001,0.5262632,8951.29
ENSG00000181023,OR56B1,Non-client,0.0061,0.013,0.469230769,,0.001,0.6017534,9210.44
ENSG00000101292,PROKR2,Non-client,0.0066,0.0261,0.252873563,1,0.001,0.4196515,9374.14
ENSG00000206107,KRTAP27-1,Non-client,0.016,0.0179,0.893854749,,0.002,0.6321262,7.18345
ENSG00000213859,KCTD11,Non-client,0.0019,0.0115,0.165217391,4,0.002,0.3982204,12.3716
ENSG00000105996,HOXA2,Non-client,0,0.0031,0,5,0.002,0.4918577,24.7828
ENSG00000188886,ASTL,Non-client,0.0066,0.0171,0.385964912,5,0.002,0.4306865,322.655
ENSG00000140104,CLBA1,Non-client,0.0057,0.0148,0.385135135,1,0.002,0.5193429,566.34
ENSG00000172421,EFCAB3,Non-client,0.0059,0.0086,0.686046512,1,0.002,0.673252,644.55
ENSG00000183888,SRARP,Non-client,0.0055,0.021,0.261904762,2,0.002,0.4609199,715.348
ENSG00000173431,RNASE8,Non-client,0.0112,0.0098,1.142857143,,0.002,0.5068438,1212.05
ENSG00000177684,DEFB114,Non-client,0.04,0.0193,2.07253886,,0.002,0.6381842,1371.96
ENSG00000118702,GHRH,Non-client,0.0339,0.0382,0.887434555,1,0.002,0.4492084,1600.08
ENSG00000111241,FGF6,Non-client,0.0042,0.0272,0.154411765,2,0.002,0.4244561,1826.91
ENSG00000205693,MANSC4,Non-client,0.004,0.0116,0.344827586,,0.002,0.6191561,2560.77
ENSG00000160325,CACFD1,Non-client,0.0038,0.0059,0.644067797,2,0.002,0.4013683,2876.35
ENSG00000184571,PIWIL3,Non-client,0.0026,0.0146,0.178082192,1,0.002,0.6234872,3037.7
ENSG00000169933,FRMPD4,Non-client,0.0005,0.0088,0.056818182,2,0.002,0.5339173,3074.14
ENSG00000183654,Mar-11,Non-client,0.0044,0.0143,0.307692308,,0.002,0.4046046,3138.32
ENSG00000158113,LRRC43,Non-client,0.0038,0.0343,0.110787172,,0.002,0.4216092,3397.21
ENSG00000099999,RNF215,Non-client,0.0023,0.0165,0.139393939,1,0.002,0.3811036,3435.69
ENSG00000144229,THSD7B,Non-client,0.0044,0.0099,0.444444444,1,0.002,0.5992298,4112.29
ENSG00000168658,VWA3B,Non-client,0.0286,0.0492,0.581300813,2,0.002,0.5715892,4198.2
ENSG00000186105,LRRC70,Non-client,0.0014,0.0069,0.202898551,,0.002,0.7291796,5291.75
ENSG00000146859,TMEM140,Non-client,0.0148,0.0139,1.064748201,2,0.002,0.4419815,5354.1
ENSG00000204300,TMEM225,Non-client,0.0284,0.0067,4.23880597,,0.002,0.5812918,5458.62
ENSG00000169894,LOC750439,Non-client,0.0197,0.0194,1.015463918,1,0.002,0.5283057,5871.44
ENSG00000197403,OR6N1,Non-client,0.009,0.0038,2.368421053,,0.002,0.4983919,6479.28
ENSG00000187806,TMEM202,Non-client,0.0153,0.014,1.092857143,,0.002,0.5354226,6483.48
ENSG00000169214,OR6F1,Non-client,0.0095,0.0141,0.673758865,,0.002,0.5110414,7405.93
ENSG00000163394,CCKAR,Non-client,0.002,0.0069,0.289855073,1,0.002,0.4321868,7519.77
ENSG00000182170,MRGPRG,Non-client,0.0083,0.0298,0.27852349,,0.002,0.328099,7627.22
ENSG00000117971,CHRNB4,Non-client,0.0067,0.0285,0.235087719,,0.002,0.405091,7658.78
ENSG00000197428,OR51D1,Non-client,0.0119,0.0139,0.856115108,,0.002,0.5012475,8109.42
ENSG00000197748,CFAP43,Non-client,0.005,0.0026,1.923076923,1,0.002,0.6557342,8472.66
ENSG00000221989,OR2A2,Non-client,0.0103,0.0224,0.459821429,,0.002,0.5050835,8583.25
ENSG00000184350,MRGPRE,Non-client,0.0026,0.0454,0.057268723,,0.002,0.3547223,8888.03
ENSG00000250510,GPR162,Non-client,0,0.0198,0,,0.002,0.4088356,9635.88
ENSG00000176900,OR51T1,Non-client,0.0055,0.018,0.305555556,,0.002,0.5531975,9921.98
ENSG00000187474,FPR3,Non-client,0.0027,0.0066,0.409090909,,0.002,0.5097142,10228.3
ENSG00000198965,OR10R2,Non-client,0.0028,0.0071,0.394366197,,0.002,0.5794777,10611.9
ENSG00000175779,C15H15orf53,Non-client,0.0075,0.0631,0.118858954,,0.003,0.5333884,60.7403
ENSG00000163623,NKX6-1,Non-client,0,0.0089,0,1,0.003,0.3363067,88.9268
ENSG00000214686,IQCF6,Non-client,0.0103,0.0115,0.895652174,,0.003,0.4186844,174.472
ENSG00000172602,RND1,Non-client,0,0.0105,0,13,0.003,0.4920101,305.893
ENSG00000135374,ELF5,Non-client,0.0032,0.0056,0.571428571,8,0.003,0.5462053,574.675
ENSG00000198553,KCNRG,Non-client,0.0016,0.0096,0.166666667,7,0.003,0.6380642,779.475
ENSG00000203907,OOEP,Non-client,0.0031,0.0165,0.187878788,,0.003,0.4677921,1039.93
ENSG00000180304,OAZ2,Non-client,0,0.0121,0,6,0.003,0.5331636,1066.46
ENSG00000231213,PLSCR5,Non-client,0.0282,0.0638,0.44200627,,0.003,0.6373511,1730.6
ENSG00000139780,METTL21C,Client,0.0052,0.0238,0.218487395,17,0.003,0.5854579,1821.58
ENSG00000151006,PRSS53,Non-client,0.0305,0.035,0.871428571,,0.003,0.4806991,1876.42
ENSG00000188771,PLET1,Non-client,0.0068,0.0057,1.192982456,,0.003,0.5369136,2053.96
ENSG00000101435,CST9L,Non-client,0.019,0.0156,1.217948718,6,0.003,0.4844363,2152.55
ENSG00000139044,B4GALNT3,Non-client,0.0041,0.0196,0.209183674,3,0.003,0.4410585,2298.06
ENSG00000206013,IFITM5,Non-client,0.0032,0.065,0.049230769,,0.003,0.3525519,2536.07
ENSG00000174792,ODAPH,Client,0.0166,0.0124,1.338709677,38,0.003,0.5507427,2568.38
ENSG00000172824,CES4A,Non-client,0.0048,0.0176,0.272727273,1,0.003,0.4522037,2668.61
ENSG00000166948,TGM6,Non-client,0.0095,0.0265,0.358490566,,0.003,0.4300291,3294.47
ENSG00000187824,TMEM220,Non-client,0.0031,0.0299,0.10367893,5,0.003,0.5297988,6395.47
ENSG00000278889,LOC473227,Non-client,0.014,0.0174,0.804597701,2,0.003,0.4645984,6517.38
ENSG00000182631,RXFP3,Non-client,0.0035,0.0203,0.172413793,2,0.003,0.332717,6627.9
ENSG00000178358,OR2D3,Non-client,0.0091,0.0189,0.481481482,,0.003,0.5735651,7292.02
ENSG00000182070,OR52A1,Non-client,0.0091,0.011,0.827272727,,0.003,0.5720505,8877.05
ENSG00000186440,OR6P1,Non-client,0.0058,0.0117,0.495726496,,0.003,0.5246631,9017.7
ENSG00000189181,OR14I1,Non-client,0.0164,0.0064,2.5625,1,0.003,0.5421761,9133.1
ENSG00000181631,P2RY13,Non-client,0.004,0.0095,0.421052632,,0.003,0.6034405,9381.45
ENSG00000183729,NPBWR1,Non-client,0,0.0382,0,2,0.003,0.3014278,9799.72
ENSG00000205495,OR52J3,Non-client,0.0076,0.0188,0.404255319,,0.003,0.5549108,10236
ENSG00000147606,SLC26A7,Non-client,0.0026,0.0107,0.242990654,,0.003,0.6662848,12618.3
ENSG00000101353,MROH8,Non-client,0.0076,0.007,1.085714286,1,0.003,0.543391,
ENSG00000180264,ADGRD2,Non-client,0.0116,0.0218,0.532110092,,0.003,0.3970263,
ENSG00000154274,C4H4orf19,Non-client,0.0031,0.007,0.442857143,6,0.004,0.5914438,154.851
ENSG00000235034,C19H19orf81,Non-client,0.0061,0.0097,0.628865979,,0.004,0.3399307,475.007
ENSG00000178026,LRRC75B,Non-client,0.0026,0.0172,0.151162791,,0.004,0.35026,492.509
ENSG00000178522,AMBN,Non-client,0.0011,0.0024,0.458333333,2,0.004,0.6649506,709.95
ENSG00000177047,IFNW1,Non-client,0.0048,0.0118,0.406779661,2,0.004,0.5512762,907.27
ENSG00000180383,DEFB124,Non-client,0.0542,0.0575,0.942608696,,0.004,0.5237572,1075.85
ENSG00000160973,FOXH1,Non-client,0.0024,0.0074,0.324324324,40,0.004,0.4005299,1085.58
ENSG00000188938,FAM120AOS,Non-client,0.0212,0.0317,0.668769716,1,0.004,0.3641986,1239.35
ENSG00000111012,CYP27B1,Non-client,0.0019,0.0152,0.125,,0.004,0.4065673,1610.46
ENSG00000111732,AICDA,Client,0.0023,0.0193,0.119170985,52,0.004,0.4204199,1612.93
ENSG00000169495,HTRA4,Non-client,0.003,0.0048,0.625,9,0.004,0.484799,1838.63
ENSG00000168676,KCTD19,Non-client,0.0014,0.0125,0.112,1,0.004,0.5131302,2304.19
ENSG00000184995,IFNE,Non-client,0.0072,0.0099,0.727272727,10,0.004,0.6122096,2634.34
ENSG00000118276,B4GALT6,Non-client,0.0012,0.0145,0.082758621,4,0.004,0.600236,2725.23
ENSG00000177752,YIPF7,Non-client,0.0171,0.01,1.71,,0.004,0.6306441,5135.36
ENSG00000030304,MUSK,Client,0.001,0.0127,0.078740158,8,0.004,0.5589487,5533.7
ENSG00000175485,OR52W1,Non-client,0.0093,0.0064,1.453125,1,0.004,0.5398463,6609.11
ENSG00000134490,TMEM241,Non-client,0.0463,0.0681,0.679882526,3,0.004,0.5864164,7612.35
ENSG00000165794,SLC39A2,Non-client,0.0032,0.0067,0.47761194,,0.004,0.5647415,7757.21
ENSG00000166573,GALR1,Non-client,0.0035,0.0256,0.13671875,,0.004,0.3797936,8068.32
ENSG00000112038,OPRM1,Non-client,0.0034,0.0195,0.174358974,73,0.004,0.473724,8787.6
ENSG00000164638,SLC29A4,Non-client,0.0034,0.0467,0.072805139,,0.004,0.3646694,9000.52
ENSG00000148734,NPFFR1,Non-client,0.0055,0.0324,0.169753086,,0.004,0.3185281,9046.07
ENSG00000183813,CCR4,Non-client,0,0.0099,0,6,0.004,0.5022313,9266.84
ENSG00000166603,MC4R,Non-client,0.0014,0.0034,0.411764706,6,0.004,0.5342353,9575.31
ENSG00000089558,KCNH4,Non-client,0.0018,0.0114,0.157894737,,0.004,0.4053913,10503.7
ENSG00000144671,SLC22A14,Non-client,0.0149,0.0107,1.392523365,,0.004,0.4700369,13781.9
ENSG00000164796,CSMD3,Non-client,0.0016,0.0105,0.152380952,1,0.004,0.687274,14351.7
ENSG00000205857,NANOGNB,Non-client,0.0101,0.0185,0.545945946,1,0.005,0.6415519,0
ENSG00000197734,C14H14orf178,Non-client,0.0245,0.0087,2.816091954,,0.005,0.5841674,27.9659
ENSG00000185610,DBX2,Non-client,0.0058,0.025,0.232,,0.005,0.4734429,40.7161
ENSG00000183476,SH2D7,Non-client,0.0364,0.0362,1.005524862,,0.005,0.4809432,312.901
ENSG00000178734,LMO7DN,Non-client,0.0336,0.0175,1.92,,0.005,0.5279674,625.621
ENSG00000171060,C8H8orf74,Non-client,0.0368,0.0815,0.451533742,7,0.005,0.4340505,794.044
ENSG00000160224,AIRE,Client,0.0082,0.0499,0.164328657,92,0.005,0.3913045,1223.3
ENSG00000179431,FJX1,Non-client,0.0037,0.0271,0.136531365,2,0.005,0.2913848,1734.01
ENSG00000182600,SNORC,Non-client,0.0021,0.0111,0.189189189,,0.005,0.4096551,2300.26
ENSG00000112812,PRSS16,Non-client,0.0047,0.0064,0.734375,2,0.005,0.4460587,2394.87
ENSG00000167543,TP53I13,Non-client,0.0036,0.0205,0.175609756,1,0.005,0.4055563,3553.09
ENSG00000187616,MYMK,Non-client,0.0019,0.04,0.0475,,0.005,0.3888761,5160.64
ENSG00000104059,FAM189A1,Non-client,0.0133,0.0093,1.430107527,1,0.005,0.4536124,5833.85
ENSG00000197790,OR52M1,Non-client,0.0103,0.019,0.542105263,,0.005,0.5156661,8705.11
ENSG00000178084,HTR3C,Non-client,0.0061,0.0201,0.303482587,81,0.005,0.4734042,9304.13
ENSG00000177875,CCDC184,Non-client,0.0021,0.0206,0.101941748,9,0.006,0.3841009,6.30714
ENSG00000170178,HOXD12,Non-client,0.0032,0.028,0.114285714,7,0.006,0.3585024,28.7879
ENSG00000188909,BSX,Non-client,0.0019,0.0059,0.322033898,,0.006,0.3774524,63.6936
ENSG00000170777,TPD52L3,Non-client,0.0124,0.0506,0.245059289,4,0.006,0.5319483,71.5228
ENSG00000175329,ISX,Client,0.0058,0.0189,0.306878307,2,0.006,0.4935445,85.4939
ENSG00000197362,ZNF786,Non-client,0.0065,0.0246,0.264227642,6,0.006,0.4274096,171.204
ENSG00000180425,C11H11orf71,Non-client,0.0591,0.0682,0.866568915,3,0.006,0.4763782,289.022
ENSG00000170279,C7H7orf33,Non-client,0.0134,0.013,1.030769231,,0.006,0.5508734,444.664
ENSG00000099985,OSM,Non-client,0.0033,0.0071,0.464788732,11,0.006,0.3859294,768.356
ENSG00000234776,C11H11orf94,Non-client,0.005,0.0106,0.471698113,,0.006,0.4246203,1303.4
ENSG00000100302,RASD2,Non-client,0,0.029,0,12,0.006,0.3648337,1314.5
ENSG00000164512,ANKRD55,Non-client,0.0623,0.0807,0.771995043,11,0.006,0.5572535,1369.81
ENSG00000187144,SPATA21,Non-client,0.0226,0.0271,0.83394834,1,0.006,0.4806237,1369.88
ENSG00000248713,C4H4orf54,Non-client,0.0036,0.0089,0.404494382,,0.006,0.4692002,1727.77
ENSG00000164197,RNF180,Non-client,0.0091,0.0137,0.664233577,2,0.006,0.5752959,2054.81
ENSG00000167103,PIP5KL1,Non-client,0.001,0.0338,0.029585799,3,0.006,0.3403517,2167.55
ENSG00000100078,PLA2G3,Non-client,0.0087,0.0108,0.805555556,2,0.006,0.4454087,2326.6
ENSG00000124143,ARHGAP40,Non-client,0.0074,0.0173,0.427745665,,0.006,0.456061,2773.89
ENSG00000003137,LOC738157,Non-client,0.0015,0.0393,0.038167939,2,0.006,0.3619612,2965.43
ENSG00000121743,GJA3,Non-client,0.0018,0.0367,0.049046322,3,0.006,0.3277793,5218.99
ENSG00000149635,OCSTAMP,Non-client,0.0042,0.0138,0.304347826,,0.006,0.4558614,7127.58
ENSG00000176742,OR51V1,Non-client,0.0075,0.0068,1.102941177,,0.006,0.5270739,7642.41
ENSG00000198967,OR10Z1,Non-client,0.0045,0.0153,0.294117647,,0.006,0.5185845,8638.5
ENSG00000036565,SLC18A1,Non-client,0.0074,0.0232,0.318965517,56,0.006,0.5167253,8661.55
ENSG00000182077,PTCHD3,Non-client,0.009,0.018,0.5,,0.006,0.5002087,11917.1
ENSG00000161180,CCDC116,Non-client,0.0098,0.0142,0.690140845,12,0.007,0.4212116,64.0891
ENSG00000222046,DCDC2B,Client,0.0027,0.0066,0.409090909,12,0.007,0.5325205,469.227
ENSG00000224383,PRR29,Non-client,0.006,0.0146,0.410958904,,0.007,0.4158411,760.325
ENSG00000174038,C9H9orf131,Non-client,0.0124,0.0087,1.425287356,1,0.007,0.5782454,1266.97
ENSG00000189099,PRSS48,Non-client,0.0517,0.0969,0.533539732,1,0.007,0.5895886,3479.66
ENSG00000170289,CNGB3,Non-client,0.0057,0.0251,0.227091634,,0.007,0.6511072,5761.52
ENSG00000128536,CDHR3,Non-client,0.0062,0.0141,0.439716312,,0.007,0.5687413,6459.18
ENSG00000183269,OR52E8,Non-client,0.0015,0.0034,0.441176471,,0.007,0.5593346,9570.66
ENSG00000156050,FAM161B,Non-client,0.0051,0.018,0.283333333,3,0.008,0.511983,8.25052
ENSG00000155875,SAXO1,Non-client,0.0062,0.0045,1.377777778,,0.008,0.536051,49.9048
ENSG00000156206,CFAP161,Non-client,0.0032,0.0151,0.21192053,,0.008,0.5559472,703.92
ENSG00000169548,ZNF280A,Non-client,0.014,0.013,1.076923077,6,0.008,0.6317589,978.981
