Entry	Entry name	Protein names	Gene names	Organism	Length	yourlist:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF	isomap:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF
Q9Y2E6	DTX4_HUMAN	E3 ubiquitin-protein ligase DTX4 (EC 2.3.2.27) (Protein deltex-4) (Deltex4) (RING finger protein 155) (RING-type E3 ubiquitin transferase DTX4)	DTX4 KIAA0937 RNF155	Homo sapiens (Human)	619	ENSG00000110042	ENSG00000110042 -> Q9Y2E6-1;Q9Y2E6-2
Q9BRQ4	CF300_HUMAN	Cilia- and flagella-associated protein 300	CFAP300 C11orf70	Homo sapiens (Human)	267	ENSG00000137691	ENSG00000137691 -> Q9BRQ4-1;Q9BRQ4-3
Q9UK96	FBX10_HUMAN	F-box only protein 10	FBXO10 FBX10 PRMT11	Homo sapiens (Human)	956	ENSG00000147912	ENSG00000147912 -> Q9UK96-1
O15547	P2RX6_HUMAN	P2X purinoceptor 6 (P2X6) (ATP receptor) (P2XM) (Purinergic receptor) (Purinergic receptor P2X-like 1)	P2RX6 P2RXL1 P2X6	Homo sapiens (Human)	441	ENSG00000099957	ENSG00000099957 -> O15547-1;O15547-2
Q7L5Y6	DET1_HUMAN	DET1 homolog (De-etiolated-1 homolog)	DET1	Homo sapiens (Human)	550	ENSG00000140543	ENSG00000140543 -> Q7L5Y6-1;Q7L5Y6-2
Q9P278	FNIP2_HUMAN	Folliculin-interacting protein 2 (FNIP1-like protein) (O6-methylguanine-induced apoptosis 1 protein)	FNIP2 FNIPL KIAA1450 MAPO1	Homo sapiens (Human)	1114	ENSG00000052795	ENSG00000052795 -> Q9P278-1
Q96AQ9	F131C_HUMAN	Protein FAM131C	FAM131C C1orf117	Homo sapiens (Human)	280	ENSG00000185519	
Q9BT04	FUZZY_HUMAN	Protein fuzzy homolog	FUZ FY	Homo sapiens (Human)	418	ENSG00000010361	ENSG00000010361 -> Q9BT04-1;Q9BT04-3
Q96MH7	CE034_HUMAN	Uncharacterized protein C5orf34	C5orf34	Homo sapiens (Human)	638	ENSG00000172244	
Q8NGC4	O10G3_HUMAN	Olfactory receptor 10G3 (Olfactory receptor OR14-40)	OR10G3	Homo sapiens (Human)	313	ENSG00000169208	
O15354	GPR37_HUMAN	Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	GPR37	Homo sapiens (Human)	613	ENSG00000170775	
Q9P2P1	NYNRI_HUMAN	Protein NYNRIN (NYN domain and retroviral integrase catalytic domain-containing protein) (Protein cousin of GIN1)	NYNRIN CGIN1 KIAA1305	Homo sapiens (Human)	1898	ENSG00000205978	ENSG00000205978 -> Q9P2P1-1
Q6P1W5	CA094_HUMAN	Uncharacterized protein C1orf94	C1orf94	Homo sapiens (Human)	598	ENSG00000142698	ENSG00000142698 -> Q6P1W5-1;Q6P1W5-2
P58658	EVA1C_HUMAN	Protein eva-1 homolog C (Protein FAM176C) (SUE21)	EVA1C C21orf63 C21orf64 FAM176C PRED34 UNQ2504/PRO5993	Homo sapiens (Human)	441	ENSG00000166979	ENSG00000166979 -> P58658-1;P58658-3
Q07001	ACHD_HUMAN	Acetylcholine receptor subunit delta	CHRND ACHRD	Homo sapiens (Human)	517	ENSG00000135902	ENSG00000135902 -> Q07001-1;Q07001-2
Q8WXH6	RB40A_HUMAN	Ras-related protein Rab-40A (SOCS box-containing protein RAR2A) (Protein Rar-2)	RAB40A	Homo sapiens (Human)	277	ENSG00000172476	
Q6ICH7	ASPH2_HUMAN	Aspartate beta-hydroxylase domain-containing protein 2 (EC 1.14.11.-)	ASPHD2	Homo sapiens (Human)	369	ENSG00000128203	
O75426	FBX24_HUMAN	F-box only protein 24	FBXO24 FBX24	Homo sapiens (Human)	580	ENSG00000106336	ENSG00000106336 -> O75426-1;O75426-2;O75426-3;O75426-4
Q86UK5	LBN_HUMAN	Limbin (Ellis-van Creveld syndrome protein 2) (EVC2)	EVC2 LBN	Homo sapiens (Human)	1308	ENSG00000173040	ENSG00000173040 -> Q86UK5-1;Q86UK5-2
Q6V702	CF299_HUMAN	Cilia- and flagella-associated protein 299	CFAP299 C4orf22	Homo sapiens (Human)	233	ENSG00000197826	ENSG00000197826 -> Q6V702-1;Q6V702-2
Q9UJ71	CLC4K_HUMAN	C-type lectin domain family 4 member K (Langerin) (CD antigen CD207)	CD207 CLEC4K	Homo sapiens (Human)	328	ENSG00000116031	
P22460	KCNA5_HUMAN	Potassium voltage-gated channel subfamily A member 5 (HPCN1) (Voltage-gated potassium channel HK2) (Voltage-gated potassium channel subunit Kv1.5)	KCNA5	Homo sapiens (Human)	613	ENSG00000130037	ENSG00000130037 -> P22460-1
Q14524	SCN5A_HUMAN	Sodium channel protein type 5 subunit alpha (Sodium channel protein cardiac muscle subunit alpha) (Sodium channel protein type V subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.5) (hH1)	SCN5A	Homo sapiens (Human)	2016	ENSG00000183873	ENSG00000183873 -> Q14524-1;Q14524-2
Q5TEA3	CT194_HUMAN	Uncharacterized protein C20orf194	C20orf194	Homo sapiens (Human)	1177	ENSG00000088854	
Q13387	JIP2_HUMAN	C-Jun-amino-terminal kinase-interacting protein 2 (JIP-2) (JNK-interacting protein 2) (Islet-brain-2) (IB-2) (JNK MAP kinase scaffold protein 2) (Mitogen-activated protein kinase 8-interacting protein 2)	MAPK8IP2 IB2 JIP2 PRKM8IPL	Homo sapiens (Human)	824	ENSG00000008735	ENSG00000008735 -> Q13387-1
Q9NVV9	THAP1_HUMAN	THAP domain-containing protein 1	THAP1	Homo sapiens (Human)	213	ENSG00000131931	ENSG00000131931 -> Q9NVV9-1;Q9NVV9-2
Q8N1E6	FXL14_HUMAN	F-box/LRR-repeat protein 14 (F-box and leucine-rich repeat protein 14)	FBXL14 FBL14	Homo sapiens (Human)	418	ENSG00000171823	
Q9UBZ9	REV1_HUMAN	DNA repair protein REV1 (EC 2.7.7.-) (Alpha integrin-binding protein 80) (AIBP80) (Rev1-like terminal deoxycytidyl transferase)	REV1 REV1L	Homo sapiens (Human)	1251	ENSG00000135945	ENSG00000135945 -> Q9UBZ9-1;Q9UBZ9-2
Q99965	ADAM2_HUMAN	Disintegrin and metalloproteinase domain-containing protein 2 (ADAM 2) (Cancer/testis antigen 15) (CT15) (Fertilin subunit beta) (PH-30) (PH30) (PH30-beta)	ADAM2 FTNB	Homo sapiens (Human)	735	ENSG00000104755	ENSG00000104755 -> Q99965-1;Q99965-2
O95907	MOT3_HUMAN	Monocarboxylate transporter 3 (MCT 3) (Solute carrier family 16 member 8)	SLC16A8 MCT3	Homo sapiens (Human)	504	ENSG00000100156	
Q86WT6	TRI69_HUMAN	E3 ubiquitin-protein ligase TRIM69 (EC 2.3.2.27) (RFP-like domain-containing protein trimless) (RING finger protein 36) (RING-type E3 ubiquitin transferase TRIM69) (Tripartite motif-containing protein 69)	TRIM69 RNF36 HSD-34 HSD34	Homo sapiens (Human)	500	ENSG00000185880	ENSG00000185880 -> Q86WT6-1;Q86WT6-2;Q86WT6-3;Q86WT6-4
Q9BXJ2	C1QT7_HUMAN	Complement C1q tumor necrosis factor-related protein 7	C1QTNF7 CTRP7	Homo sapiens (Human)	289	ENSG00000163145	ENSG00000163145 -> Q9BXJ2-1;Q9BXJ2-2
Q9UPQ4	TRI35_HUMAN	Tripartite motif-containing protein 35 (Hemopoietic lineage switch protein 5)	TRIM35 HLS5 KIAA1098	Homo sapiens (Human)	493	ENSG00000104228	ENSG00000104228 -> Q9UPQ4-1
Q15256	PTPRR_HUMAN	Receptor-type tyrosine-protein phosphatase R (R-PTP-R) (EC 3.1.3.48) (Ch-1PTPase) (NC-PTPCOM1) (Protein-tyrosine phosphatase PCPTP1)	PTPRR ECPTP PTPRQ	Homo sapiens (Human)	657	ENSG00000153233	ENSG00000153233 -> Q15256-1;Q15256-3;Q15256-4;Q15256-5
Q8NCQ5	FBX15_HUMAN	F-box only protein 15	FBXO15 FBX15	Homo sapiens (Human)	510	ENSG00000141665	ENSG00000141665 -> Q8NCQ5-1
Q14190	SIM2_HUMAN	Single-minded homolog 2 (Class E basic helix-loop-helix protein 15) (bHLHe15)	SIM2 BHLHE15	Homo sapiens (Human)	667	ENSG00000159263	ENSG00000159263 -> Q14190-1
Q6VAB6	KSR2_HUMAN	Kinase suppressor of Ras 2 (hKSR2) (EC 2.7.11.1)	KSR2	Homo sapiens (Human)	950	ENSG00000171435	ENSG00000171435 -> Q6VAB6-1
O43187	IRAK2_HUMAN	Interleukin-1 receptor-associated kinase-like 2 (IRAK-2)	IRAK2	Homo sapiens (Human)	625	ENSG00000134070	
Q15744	CEBPE_HUMAN	CCAAT/enhancer-binding protein epsilon (C/EBP epsilon)	CEBPE	Homo sapiens (Human)	281	ENSG00000092067	
Q5H9I0	TFDP3_HUMAN	Transcription factor Dp family member 3 (Cancer/testis antigen 30) (CT30) (Hepatocellular carcinoma-associated antigen 661)	TFDP3 DP4 HCA661	Homo sapiens (Human)	405	ENSG00000183434	
Q9GZQ4	NMUR2_HUMAN	Neuromedin-U receptor 2 (NMU-R2) (G-protein coupled receptor FM-4) (G-protein coupled receptor TGR-1)	NMUR2 NMU2R TGR1	Homo sapiens (Human)	415	ENSG00000132911	
Q8N6K0	TEX29_HUMAN	Testis-expressed protein 29	TEX29 C13orf16	Homo sapiens (Human)	151	ENSG00000153495	
Q5VZB9	DMRTA_HUMAN	Doublesex- and mab-3-related transcription factor A1	DMRTA1 DMO	Homo sapiens (Human)	504	ENSG00000176399	
O76081	RGS20_HUMAN	Regulator of G-protein signaling 20 (RGS20) (Gz-selective GTPase-activating protein) (G(z)GAP) (Gz-GAP) (Regulator of G-protein signaling Z1) (Regulator of Gz-selective protein signaling 1)	RGS20 RGSZ1 ZGAP1	Homo sapiens (Human)	388	ENSG00000147509	ENSG00000147509 -> O76081-1;O76081-2;O76081-6
P11245	ARY2_HUMAN	Arylamine N-acetyltransferase 2 (EC 2.3.1.5) (Arylamide acetylase 2) (N-acetyltransferase type 2) (NAT-2) (Polymorphic arylamine N-acetyltransferase) (PNAT)	NAT2 AAC2	Homo sapiens (Human)	290	ENSG00000156006	
Q7Z6Z6	PLPL5_HUMAN	Patatin-like phospholipase domain-containing protein 5 (EC 3.1.1.3) (GS2-like protein)	PNPLA5 GS2L	Homo sapiens (Human)	429	ENSG00000100341	ENSG00000100341 -> Q7Z6Z6-1;Q7Z6Z6-2
Q05BV3	EMAL5_HUMAN	Echinoderm microtubule-associated protein-like 5 (EMAP-5)	EML5	Homo sapiens (Human)	1969	ENSG00000165521	ENSG00000165521 -> Q05BV3-1;Q05BV3-5
Q53H54	TYW2_HUMAN	tRNA wybutosine-synthesizing protein 2 homolog (tRNA-yW-synthesizing protein 2) (EC 2.5.1.114) (tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase)	TRMT12 TRM12 TYW2	Homo sapiens (Human)	448	ENSG00000183665	
Q96NJ5	KLH32_HUMAN	Kelch-like protein 32 (BTB and kelch domain-containing protein 5)	KLHL32 BKLHD5 KIAA1900	Homo sapiens (Human)	620	ENSG00000186231	ENSG00000186231 -> Q96NJ5-1;Q96NJ5-2;Q96NJ5-3
Q86XA0	MET23_HUMAN	Methyltransferase-like protein 23 (EC 2.1.1.-)	METTL23 C17orf95	Homo sapiens (Human)	190	ENSG00000181038	ENSG00000181038 -> Q86XA0-1;Q86XA0-2
P07550	ADRB2_HUMAN	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	ADRB2 ADRB2R B2AR	Homo sapiens (Human)	413	ENSG00000169252	
P07949	RET_HUMAN	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]	RET CDHF12 CDHR16 PTC RET51	Homo sapiens (Human)	1114	ENSG00000165731	ENSG00000165731 -> P07949-1;P07949-2
Q9NQX1	PRDM5_HUMAN	PR domain zinc finger protein 5 (EC 2.1.1.-) (PR domain-containing protein 5)	PRDM5 PFM2	Homo sapiens (Human)	630	ENSG00000138738	ENSG00000138738 -> Q9NQX1-1;Q9NQX1-2;Q9NQX1-3;Q9NQX1-4
P41238	ABEC1_HUMAN	C->U-editing enzyme APOBEC-1 (EC 3.5.4.36) (Apolipoprotein B mRNA-editing enzyme 1) (HEPR) (mRNA(cytosine(6666)) deaminase 1)	APOBEC1	Homo sapiens (Human)	236	ENSG00000111701	
P13385	TDGF1_HUMAN	Teratocarcinoma-derived growth factor 1 (Cripto-1 growth factor) (CRGF) (Epidermal growth factor-like cripto protein CR1)	TDGF1 CRIPTO	Homo sapiens (Human)	188	ENSG00000241186	
Q96GX1	TECT2_HUMAN	Tectonic-2	TCTN2 C12orf38 TECT2	Homo sapiens (Human)	697	ENSG00000168778	ENSG00000168778 -> Q96GX1-1;Q96GX1-2
Q8N162	OR8H2_HUMAN	Olfactory receptor 8H2 (Olfactory receptor OR11-171)	OR8H2	Homo sapiens (Human)	312	ENSG00000181767	
O94810	RGS11_HUMAN	Regulator of G-protein signaling 11 (RGS11)	RGS11	Homo sapiens (Human)	467	ENSG00000076344	ENSG00000076344 -> O94810-1;O94810-2;O94810-3
Q15884	F1892_HUMAN	Protein FAM189A2 (Protein X123)	FAM189A2 C9orf61 X123	Homo sapiens (Human)	450	ENSG00000135063	ENSG00000135063 -> Q15884-3
O75344	FKBP6_HUMAN	Inactive peptidyl-prolyl cis-trans isomerase FKBP6 (Inactive PPIase FKBP6) (36 kDa FK506-binding protein) (36 kDa FKBP) (FKBP-36) (FK506-binding protein 6) (FKBP-6) (Immunophilin FKBP36)	FKBP6 FKBP36	Homo sapiens (Human)	327	ENSG00000077800	ENSG00000077800 -> O75344-1;O75344-2;O75344-3
O95897	NOE2_HUMAN	Noelin-2 (Olfactomedin-2)	OLFM2 NOE2	Homo sapiens (Human)	454	ENSG00000105088	
O75324	SNN_HUMAN	Stannin (AG8_1)	SNN	Homo sapiens (Human)	88	ENSG00000184602	
Q8TDN2	KCNV2_HUMAN	Potassium voltage-gated channel subfamily V member 2 (Voltage-gated potassium channel subunit Kv8.2)	KCNV2	Homo sapiens (Human)	545	ENSG00000168263	
Q8WWX0	ASB5_HUMAN	Ankyrin repeat and SOCS box protein 5 (ASB-5)	ASB5	Homo sapiens (Human)	329	ENSG00000164122	ENSG00000164122 -> Q8WWX0-1;Q8WWX0-2
Q8N205	SYNE4_HUMAN	Nesprin-4 (KASH domain-containing protein 4) (KASH4) (Nuclear envelope spectrin repeat protein 4)	SYNE4 C19orf46	Homo sapiens (Human)	404	ENSG00000181392	ENSG00000181392 -> Q8N205-1;Q8N205-2
Q8N4P2	TT30B_HUMAN	Tetratricopeptide repeat protein 30B (TPR repeat protein 30B)	TTC30B	Homo sapiens (Human)	665	ENSG00000196659	
P80192	M3K9_HUMAN	Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1)	MAP3K9 MLK1 PRKE1	Homo sapiens (Human)	1104	ENSG00000006432	ENSG00000006432 -> P80192-1;P80192-4
P11309	PIM1_HUMAN	Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)	PIM1	Homo sapiens (Human)	313	ENSG00000137193	ENSG00000137193 -> P11309-1
P43088	PF2R_HUMAN	Prostaglandin F2-alpha receptor (PGF receptor) (PGF2-alpha receptor) (Prostanoid FP receptor)	PTGFR	Homo sapiens (Human)	359	ENSG00000122420	ENSG00000122420 -> P43088-1;P43088-2
Q86YN6	PRGC2_HUMAN	Peroxisome proliferator-activated receptor gamma coactivator 1-beta (PGC-1-beta) (PPAR-gamma coactivator 1-beta) (PPARGC-1-beta) (PGC-1-related estrogen receptor alpha coactivator)	PPARGC1B PERC PGC1 PGC1B PPARGC1	Homo sapiens (Human)	1023	ENSG00000155846	ENSG00000155846 -> Q86YN6-1;Q86YN6-3;Q86YN6-5;Q86YN6-6
Q8WZ60	KLHL6_HUMAN	Kelch-like protein 6	KLHL6	Homo sapiens (Human)	621	ENSG00000172578	
Q9NUD7	CT096_HUMAN	Uncharacterized protein C20orf96	C20orf96	Homo sapiens (Human)	363	ENSG00000196476	
O14746	TERT_HUMAN	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	TERT EST2 TCS1 TRT	Homo sapiens (Human)	1132	ENSG00000164362	ENSG00000164362 -> O14746-1;O14746-3;O14746-4
Q96PX6	CC85A_HUMAN	Coiled-coil domain-containing protein 85A	CCDC85A KIAA1912	Homo sapiens (Human)	553	ENSG00000055813	
Q99814	EPAS1_HUMAN	Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2)	EPAS1 BHLHE73 HIF2A MOP2 PASD2	Homo sapiens (Human)	870	ENSG00000116016	
P35228	NOS2_HUMAN	Nitric oxide synthase, inducible (EC 1.14.13.39) (Hepatocyte NOS) (HEP-NOS) (Inducible NO synthase) (Inducible NOS) (iNOS) (NOS type II) (Peptidyl-cysteine S-nitrosylase NOS2)	NOS2 NOS2A	Homo sapiens (Human)	1153	ENSG00000007171	ENSG00000007171 -> P35228-1;P35228-2
O14829	PPE1_HUMAN	Serine/threonine-protein phosphatase with EF-hands 1 (PPEF-1) (EC 3.1.3.16) (Protein phosphatase with EF calcium-binding domain) (PPEF) (Serine/threonine-protein phosphatase 7) (PP7)	PPEF1 PPEF PPP7C	Homo sapiens (Human)	653	ENSG00000086717	ENSG00000086717 -> O14829-1;O14829-5
P57727	TMPS3_HUMAN	Transmembrane protease serine 3 (EC 3.4.21.-) (Serine protease TADG-12) (Tumor-associated differentially-expressed gene 12 protein)	TMPRSS3 ECHOS1 TADG12 UNQ323/PRO382	Homo sapiens (Human)	454	ENSG00000160183	ENSG00000160183 -> P57727-1;P57727-3;P57727-5
Q92731	ESR2_HUMAN	Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2)	ESR2 ESTRB NR3A2	Homo sapiens (Human)	530	ENSG00000140009	ENSG00000140009 -> Q92731-1;Q92731-2;Q92731-3;Q92731-5;Q92731-6;Q92731-7;Q92731-9
Q8N1V2	CFA52_HUMAN	Cilia- and flagella-associated protein 52 (WD repeat-containing protein 16) (WD40-repeat protein up-regulated in HCC)	CFAP52 WDR16 WDRPUH	Homo sapiens (Human)	620	ENSG00000166596	ENSG00000166596 -> Q8N1V2-1;Q8N1V2-3
P56179	DLX6_HUMAN	Homeobox protein DLX-6	DLX6	Homo sapiens (Human)	175	ENSG00000006377	ENSG00000006377 -> P56179-3
Q9NPJ1	MKKS_HUMAN	McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin (Bardet-Biedl syndrome 6 protein)	MKKS BBS6	Homo sapiens (Human)	570	ENSG00000125863	
Q9BXB1	LGR4_HUMAN	Leucine-rich repeat-containing G-protein coupled receptor 4 (G-protein coupled receptor 48)	LGR4 GPR48	Homo sapiens (Human)	951	ENSG00000205213	ENSG00000205213 -> Q9BXB1-1;Q9BXB1-2
Q96P20	NLRP3_HUMAN	NACHT, LRR and PYD domains-containing protein 3 (Angiotensin/vasopressin receptor AII/AVP-like) (Caterpiller protein 1.1) (CLR1.1) (Cold-induced autoinflammatory syndrome 1 protein) (Cryopyrin) (PYRIN-containing APAF1-like protein 1)	NLRP3 C1orf7 CIAS1 NALP3 PYPAF1	Homo sapiens (Human)	1036	ENSG00000162711	ENSG00000162711 -> Q96P20-1;Q96P20-2;Q96P20-3;Q96P20-4;Q96P20-5;Q96P20-6
P60369	KR103_HUMAN	Keratin-associated protein 10-3 (High sulfur keratin-associated protein 10.3) (Keratin-associated protein 10.3) (Keratin-associated protein 18-3) (Keratin-associated protein 18.3)	KRTAP10-3 KAP10.3 KAP18-3 KRTAP10.3 KRTAP18-3 KRTAP18.3	Homo sapiens (Human)	221	ENSG00000212935	
P00540	MOS_HUMAN	Proto-oncogene serine/threonine-protein kinase mos (EC 2.7.11.1) (Oocyte maturation factor mos) (Proto-oncogene c-Mos)	MOS	Homo sapiens (Human)	346	ENSG00000172680	
