proteinID_x,proteinID_y,%_identity,%_similarity,%_gaps,software
G5C3Y6,Q8BNA6,89.9,94.7,2.3,matcher
G5BMD6,Q8C8R3,80.5,86.2,2.3,matcher
G5CA40,Q61554,95.6,98.1,0.3,matcher
G5AZB7,E9Q414,68.0,80.8,3.2,matcher
G5C092,A2AVA0,80.4,87.2,2.7,matcher
G5AZ97,Q0KL02,89.4,90.8,7.5,matcher
G5B9F3,Q91XQ0,72.3,75.8,20.3,matcher
G5ALL2,Q60847,91.6,96.1,0.1,matcher
G5C4V8,A2AJK6,94.2,96.2,0.5,matcher
G5BMX3,Q9QZZ4,81.0,87.2,1.8,matcher
G5C2I9,Q99PF4,92.0,95.1,2.3,matcher
G5AZR7,P60882,94.6,96.2,1.0,matcher
G5AVL5,Q91ZI0,88.6,91.4,3.1,matcher
G5B7X4,E9Q8I9,94.4,96.2,1.4,matcher
G5AMJ9,Q9QXZ0,79.4,86.4,2.9,matcher
G5B8D2,F8VQ05,94.1,96.6,0.2,matcher
G5C6W3,Q80T79,92.5,94.0,5.2,matcher
G5BI06,Q05793,70.1,74.8,17.7,matcher
G5C7K3,Q6NVD0,86.9,92.8,0.6,matcher
G5AJK4,Q61555,96.1,98.1,0.4,matcher
G5BL65,E9Q6R7,81.5,88.3,3.8,matcher
G5BRT7,Q62504,76.5,82.7,5.1,matcher
G5C9E0,Q8BPN8,89.3,94.2,0.5,matcher
G5C1Z0,Q6ZQ93,82.2,83.5,15.4,matcher
G5BZF2,P42859,90.4,94.1,1.2,matcher
G5BTT2,Q6KCD5,97.1,98.8,0.2,matcher
G5ARB5,Q99MY8,90.5,94.5,1.6,matcher
G5BH96,Q8VHX6,97.5,98.2,0.6,matcher
G5BQV8,Q9R0M0,91.7,93.7,3.1,matcher
G5BN37,Q8VHN7,63.5,74.3,9.9,matcher
G5B511,Q04690,94.4,95.4,3.8,matcher
G5C0H1,Q80TP3,95.8,97.3,1.0,matcher
G5AUP0,Q61493,85.4,91.1,0.9,matcher
G5BYK6,A0A087WQ44,83.3,86.8,3.4,matcher
G5C5M7,Q6PNC0,86.9,92.5,0.9,matcher
G5BP45,Q9WTS5,97.0,98.3,1.0,matcher
G5BEF2,Q3UHK6,96.2,98.2,0.3,matcher
G5BFE6,Q9JLB4,68.8,81.1,0.4,matcher
G5CAM0,Q69ZR2,98.1,98.9,0.3,matcher
G5AVN0,Q9Z329,95.0,97.6,0.1,matcher
G5BA32,Q61315,90.1,94.0,0.6,matcher
G5B927,Q5SSH7,89.0,92.7,2.5,matcher
G5AWT1,Q8CHI8,85.0,88.9,3.2,matcher
G5BMH1,Q80X90,94.0,96.4,1.2,matcher
G5BAT4,E9Q557,88.8,92.2,5.3,matcher
G5B9K1,P70398,93.4,94.2,5.0,matcher
G5AX85,Q80YV3,95.9,97.1,2.0,matcher
G5BXR2,Q62388,82.2,90.4,0.6,matcher
G5BLA4,Q5H8C4,82.3,90.3,1.7,matcher
G5B0W4,E9Q2M9,77.9,85.8,2.0,matcher
G5BKZ8,P26039,98.2,99.2,0.5,matcher
G5B783,E9PVA8,93.2,96.5,0.2,matcher
G5BCX2,A3KFM7,88.3,92.9,1.1,matcher
G5AVL8,Q63870,81.8,87.7,1.1,matcher
G5C5U7,Q9QXS1,80.7,83.9,12.5,matcher
G5BCV3,Q99PV0,99.9,100.0,0.0,matcher
G5ASE4,P16546,97.3,98.2,0.9,matcher
G5AW14,O35516,90.2,94.5,0.5,matcher
G5CB92,Q9ERU9,73.6,79.5,11.5,matcher
G5B6A9,Q01705,88.4,92.2,3.3,matcher
G5BVB4,O35161,83.3,87.8,6.9,matcher
G5CB37,Q9WTS6,96.7,97.5,1.8,matcher
G5BHR4,P11276,92.4,96.0,0.2,matcher
G5BFV2,Q09XV5,95.8,97.3,0.5,matcher
G5CAN6,Q8CIZ8,79.6,88.0,0.8,matcher
G5AQF8,A2A9C3,87.0,90.7,2.5,matcher
G5AZ55,Q9JKK8,89.9,95.3,0.4,matcher
G5BR59,Q8BV79,82.8,90.6,0.8,matcher
G5B875,E9PYP2,87.9,93.9,0.3,matcher
G5BGT1,Q3TLH4,82.4,87.0,5.6,matcher
G5B5P4,Q99NH0,95.5,97.3,0.4,matcher
G5BXN0,O08550,87.8,89.8,3.7,matcher
G5AQ71,A2CG49,97.4,98.7,0.5,matcher
G5APQ3,B1AY13,93.4,94.7,4.6,matcher
G5B8V8,Q62261,98.1,98.9,0.5,matcher
G5BVE7,A2A654,81.9,88.5,2.0,matcher
G5BEV1,Q60974,91.7,94.8,0.9,matcher
G5BBK3,E9PVZ8,73.5,84.6,1.7,matcher
G5BHR7,E9Q876,87.0,93.1,0.7,matcher
G5BWZ4,Q68FG2,93.9,96.1,0.5,matcher
G5B1K2,Q8BTI8,83.6,87.7,3.1,matcher
G5AUH2,Q4U4S6,69.2,80.7,1.9,matcher
G5C6U1,Q8C170,85.2,89.8,3.6,matcher
G5BNQ2,O55225,76.7,81.7,5.7,matcher
G5B1K8,P19137,72.1,84.5,0.1,matcher
G5AYL8,E9Q309,77.3,85.7,2.1,matcher
G5ASM1,Q2MHN3,83.9,87.9,1.5,matcher
G5BKK9,Q61290,94.5,95.3,2.8,matcher
G5APF4,O08523,96.4,97.9,0.0,matcher
G5BKR1,D4AFX7,96.2,98.5,0.2,matcher
G5AXI6,Q0KK59,92.4,94.2,3.5,matcher
G5BHG2,Q5S006,86.0,93.4,0.2,matcher
G5BUW1,Q9JJN2,88.9,92.7,1.3,matcher
G5BQ01,O88491,79.0,85.1,4.6,matcher
G5BR15,Q91ZU6,58.7,67.3,17.4,matcher
G5B212,P14873,90.1,94.1,0.7,matcher
G5C6C2,F6ZDS4,93.0,96.6,0.3,matcher
G5BZN9,Q8BL99,88.0,90.9,4.8,matcher
G5AYH1,E9Q616,72.3,81.6,9.8,matcher
G5ANV9,Q9WVF7,90.7,95.0,0.8,matcher
G5BMV9,Q6P4T2,99.5,99.9,0.0,matcher
G5C8V1,P41233,93.3,96.9,0.1,matcher
G5C9I8,Q80TN7,93.0,95.6,0.5,matcher
G5B7K4,O88307,92.7,96.0,0.1,matcher
G5AW78,P97479,92.9,94.9,3.7,matcher
G5BBI8,Q5XG71,76.3,86.3,4.8,matcher
G5BVH8,Q5SYL3,93.9,96.4,0.4,matcher
G5BYZ9,B2RQC6,94.1,96.6,0.0,matcher
G5B3U3,Q5SSE9,58.0,70.2,8.1,matcher
G5BYQ0,Q61982,84.0,87.1,6.2,matcher
G5C8A1,Q5SWW4,93.6,97.3,0.0,matcher
G5BQL2,Q9QYC1,88.8,93.2,2.4,matcher
G5BVC4,B2RWS6,92.9,95.6,0.1,matcher
G5C7X2,Q5DU37,82.1,89.8,0.7,matcher
G5APY8,Q80XJ3,89.9,93.2,1.5,matcher
G5BJ62,Q3UHR0,80.0,84.0,4.5,matcher
G5AR21,E9Q842,87.8,90.6,3.2,matcher
G5B5M8,Q6V4S5,94.5,97.5,0.1,matcher
G5BC57,Q07113,82.6,90.7,0.3,matcher
G5BM50,Q9QYR6,74.6,80.9,3.8,matcher
G5AWB5,Q71LX4,86.7,87.6,11.7,matcher
G5BL79,Q80TA9,81.6,88.6,3.6,matcher
G5C4K4,Q5SUF7,86.1,87.8,6.8,matcher
G5AW26,O35600,88.0,93.7,0.5,matcher
G5BM34,Q80TF6,53.3,63.9,4.9,matcher
G5C6Q5,O08710,72.3,82.2,0.8,matcher
G5ALL7,P70227,85.2,88.3,8.1,matcher
G5B5C5,P08775,99.9,99.9,0.0,matcher
G5BH58,E9PZJ8,91.3,95.7,0.8,matcher
G5C607,Q69ZK6,84.5,91.0,1.0,matcher
G5B6E9,Q9Z1T6,93.4,96.6,0.0,matcher
G5C0I5,Q61687,83.1,89.4,1.9,matcher
G5BZT8,Q8CIQ7,97.0,98.2,0.3,matcher
G5AUC8,Q3UGY8,93.3,96.2,0.5,matcher
G5AKS3,Q6JPI3,91.5,95.2,0.7,matcher
G5B786,P49025,96.8,98.4,0.1,matcher
G5B6J8,Q8VI59,95.5,97.0,0.1,matcher
G5BG05,O55017,89.4,91.9,2.5,matcher
G5C369,Q811L6,81.4,85.7,2.3,matcher
G5BDK2,A2A690,97.7,98.5,0.6,matcher
G5AVD8,Q8BTM8,91.0,92.3,5.9,matcher
G5API6,E9Q4F7,77.4,83.7,7.4,matcher
G5BUP2,Q99246,96.1,98.0,0.1,matcher
G5BE80,Q69ZN7,92.8,96.4,0.6,matcher
G5AM30,Q9QX47,84.4,89.0,2.5,matcher
G5BW30,A2AGH6,94.6,95.9,1.9,matcher
G5AW46,Q9ESD7,89.1,92.6,3.5,matcher
G5BZ79,Q8C547,95.8,97.3,0.0,matcher
G5ASW7,G5E870,96.5,97.4,1.4,matcher
G5BEI9,P41234,85.1,87.2,4.9,matcher
G5ATY2,Q9WTU3,97.7,98.8,0.3,matcher
G5BSW1,P08032,79.7,88.0,2.8,matcher
G5AVY8,Q9EPN1,93.5,95.7,1.1,matcher
G5BJ97,P19096,77.6,85.9,3.9,matcher
G5CAQ0,Q6PDQ2,97.8,98.3,0.9,matcher
G5BCA6,P59764,95.2,96.3,2.8,matcher
G5BUG2,Q6P4S8,88.6,92.0,2.4,matcher
G5C8C8,E9QAM5,67.1,76.7,5.8,matcher
G5BVJ4,Q9JMH9,94.4,96.7,0.3,matcher
G5BXE0,Q8C147,91.3,95.8,0.2,matcher
G5AQJ3,A2A884,79.8,85.2,2.8,matcher
G5ATC5,A2AGT5,94.6,97.0,0.4,matcher
G5BX18,A2AF47,94.1,96.4,1.7,matcher
G5ATC6,Q8VI56,95.5,97.4,0.0,matcher
G5AYD5,Q8BZN6,90.0,93.5,3.0,matcher
G5C5P1,Q9JJV9,93.7,96.0,0.4,matcher
G5B497,Q80XK6,89.9,94.2,0.3,matcher
G5C2U0,E2JF22,78.2,83.6,7.0,matcher
G5BXU0,O88427,85.3,89.1,2.2,matcher
G5B5G2,Q61879,96.4,97.0,2.6,matcher
G5CBK3,Q9ESF1,92.3,95.5,0.6,matcher
G5BD06,P15508,88.0,92.9,2.3,matcher
G5BM73,Q8CJ27,63.3,77.2,2.6,matcher
G5AYV8,E9Q7P2,88.0,90.5,4.5,matcher
G5B8W1,Q5SQM0,96.6,98.3,0.0,matcher
G5AK10,O08638,96.3,98.6,0.0,matcher
G5B635,G3X8Q1,82.7,86.2,6.4,matcher
G5BBQ2,E9PVD3,90.6,93.1,3.0,matcher
G5B5I5,P13541,97.9,99.1,0.0,matcher
G5BAW7,Q8VDD5,95.7,97.7,0.7,matcher
G5AQP4,Q01815,92.5,93.9,3.0,matcher
G5C6I8,A2AQP0,96.8,98.3,0.0,matcher
G5BLA3,Q52KR3,63.9,74.6,2.5,matcher
G5AKJ2,Q62407,80.5,83.6,7.6,matcher
G5BMJ0,Q8BZ21,87.5,91.2,3.4,matcher
G5AQF6,A2A8L5,94.5,97.1,0.5,matcher
G5BVE1,Q6DFV5,90.7,94.5,1.2,matcher
G5B1G6,P45481,90.5,91.9,4.8,matcher
G5B488,Q8R418,93.1,95.9,1.0,matcher
G5AL80,Q8VHY0,79.4,87.0,1.7,matcher
G5BG08,Q9ERC8,97.1,98.8,0.1,matcher
G5AVM5,Q8CJH3,85.2,89.2,1.0,matcher
G5AUR9,A2BH40,91.9,93.3,4.7,matcher
G5BRQ1,E9Q0B6,84.7,89.4,6.9,matcher
G5AL30,B2RUQ2,82.8,88.3,1.8,matcher
G5ATT5,Q2QI47,61.4,72.8,6.7,matcher
G5BSY3,B2RT41,90.9,94.6,0.7,matcher
G5BQY8,P53995,92.0,95.8,0.1,matcher
G5B851,Q60952,77.8,86.6,2.0,matcher
G5B327,P70206,93.2,95.4,2.0,matcher
G5ANQ7,Q6ZQA0,76.6,80.8,11.4,matcher
G5AZE3,B9EKR1,79.0,86.2,0.8,matcher
G5B5H9,B1AR69,93.9,96.6,0.8,matcher
G5BP07,P70207,93.8,97.0,0.4,matcher
G5BJW8,G3X9K3,97.0,98.5,0.2,matcher
G5B5Q5,P97499,71.1,81.8,1.4,matcher
G5AM64,Q8C6K9,79.7,86.8,1.1,matcher
G5BET6,E9Q411,76.6,85.6,1.1,matcher
G5BMK7,A0A0A6YW72,65.8,76.5,5.0,matcher
G5AP75,Q9R0L6,87.5,92.4,1.2,matcher
G5BVF7,Q3UHA3,74.3,84.9,0.7,matcher
G5ARZ1,Q3UHC2,87.6,92.5,0.6,matcher
G5C001,A2AUY4,84.3,90.3,3.9,matcher
G5BQG3,Q64487,97.3,98.6,0.4,matcher
G5AT46,A2AKX3,70.3,80.1,3.6,matcher
G5C767,Q60675,84.4,91.4,0.3,matcher
G5BQP8,Q8R4Y8,81.0,88.6,0.7,matcher
G5ASA6,Q80U35,85.8,89.3,1.1,matcher
G5C8S9,Q923J1,93.0,96.6,0.4,matcher
G5C9D1,Q99104,94.2,96.7,1.6,matcher
G5C531,Q60575,96.6,99.0,0.0,matcher
G5ALF4,Q80TY5,75.3,80.9,10.6,matcher
G5BI67,Q3UH53,77.5,81.1,15.2,matcher
G5AYR1,Q61245,90.1,93.6,1.2,matcher
G5BE71,Q3V0Q1,82.4,87.6,6.6,matcher
G5BWP5,P83741,81.8,85.6,4.7,matcher
G5AXS3,A2AL36,76.8,87.2,1.5,matcher
G5AYW3,Q8BKI2,92.6,94.3,3.5,matcher
G5CAX7,Q6P5D8,88.5,94.2,0.1,matcher
G5BHK4,Q4VA61,90.1,91.9,4.4,matcher
G5BSN0,Q8R1A4,91.9,93.8,5.2,matcher
G5BVI0,Q62383,97.4,98.4,0.7,matcher
G5CAH0,Q6DFZ1,92.4,95.2,0.3,matcher
G5C570,A2A8L1,82.9,85.3,10.2,matcher
G5BSY8,B2RU80,85.9,92.3,0.0,matcher
G5B465,Q8C3J5,89.6,92.2,4.8,matcher
G5B398,Q8CH77,95.1,96.5,1.1,matcher
G5B9N7,Q8R151,87.3,92.3,0.5,matcher
G5BRE1,Q8BQM8,90.1,93.6,4.4,matcher
G5C825,Q8BXR5,98.4,99.2,0.0,matcher
G5APM6,G3X9B1,81.8,90.2,2.1,matcher
G5AY50,E9PWQ3,72.5,80.4,6.8,matcher
G5AWU5,Q9WU42,57.6,60.8,25.0,matcher
G5C7I6,Q8BRB7,79.0,83.3,12.4,matcher
G5C7H8,Q3UHH1,97.0,97.8,0.3,matcher
G5B0R4,Q9QYX7,71.0,78.2,7.2,matcher
G5B9V5,Q99MZ6,79.5,89.9,0.3,matcher
G5BCV2,Q5ND34,87.4,92.4,0.2,matcher
G5AVH0,Q5F4S9,97.3,98.3,0.6,matcher
G5C2C5,P02469,90.8,96.3,0.0,matcher
G5B8U9,Q5SSW2,91.4,94.7,0.7,matcher
G5BIP5,Q3UH66,80.8,83.4,4.4,matcher
G5BC11,Q8VDD9,94.1,96.6,0.2,matcher
G5C9U5,P59511,81.7,89.6,0.5,matcher
G5BBQ0,Q80SU7,70.3,82.6,0.2,matcher
G5BDI3,Q9ER60,91.0,93.9,2.4,matcher
G5C0K8,S4R299,90.2,94.2,0.6,matcher
G5B2H0,Q6ZPE2,89.3,91.6,3.9,matcher
G5BN53,Q03172,66.3,75.6,3.1,matcher
G5BTH6,Q8BUR4,94.1,95.3,3.6,matcher
G5BXS3,G5E8K5,95.4,97.1,1.3,matcher
G5BBK7,Q8CGS6,69.7,79.8,2.4,matcher
G5B1W5,E9Q7E2,91.0,94.0,0.9,matcher
G5C8P7,Q5U430,93.9,96.1,2.0,matcher
G5BZ58,A2A7F4,87.2,92.2,2.1,matcher
G5BNA6,A2A863,88.8,93.1,1.5,matcher
G5C8E1,Q8C9B9,74.3,80.6,4.0,matcher
G5B849,A3KGK3,83.7,89.5,1.3,matcher
G5BL85,C8YR32,73.5,76.6,21.7,matcher
G5BFB9,E9Q2C0,67.2,80.2,3.5,matcher
G5BYA9,B2RY04,88.0,91.8,5.0,matcher
G5BDL1,P40201,94.8,97.3,0.6,matcher
G5CAL9,Q5PRF0,84.4,91.3,1.0,matcher
G5B5E4,B1AR17,82.9,83.9,12.7,matcher
G5B3A7,Q02789,88.1,90.6,5.0,matcher
G5AY92,E0CZ42,81.8,87.4,6.8,matcher
G5BWQ1,Q3UXZ9,95.6,98.1,0.2,matcher
G5B9N3,A2A5R2,91.9,94.0,3.8,matcher
G5AM27,Q9Z0R4,95.0,97.6,0.1,matcher
G5C9K4,Q70FJ1,64.7,76.7,7.5,matcher
G5BMU2,O70472,88.3,92.6,2.7,matcher
G5BA04,Q80YT7,76.1,83.2,5.7,matcher
G5ANW3,Q9QZQ1,87.9,91.0,5.1,matcher
G5AMC5,G3X9J0,90.4,93.2,1.2,matcher
G5C060,G5E893,81.2,89.1,1.0,matcher
G5BE99,Q571H0,74.5,84.1,1.1,matcher
G5AVT2,E9Q7G0,80.5,88.5,1.8,matcher
G5BZV5,Q61292,85.0,90.6,0.8,matcher
G5BJK1,Q9JIS7,85.5,88.4,4.6,matcher
G5BL22,Q3UU96,92.6,94.9,3.5,matcher
G5C6N1,E9PZM4,93.6,96.1,2.0,matcher
G5BZZ9,Q0VGY8,89.1,92.8,0.6,matcher
G5B6I5,P39447,91.1,94.1,0.7,matcher
G5BGN6,E9PV66,67.5,75.3,8.3,matcher
G5ARJ0,Q80TL7,95.1,97.6,0.3,matcher
G5BRL2,E9PXF8,86.5,89.3,7.5,matcher
G5BFL1,P70208,87.9,90.3,5.1,matcher
G5BUR9,E9Q3P4,61.0,76.3,2.4,matcher
G5AP53,Q8VBX6,81.2,87.9,1.2,matcher
G5B8W7,Q5SNZ0,90.4,93.4,3.9,matcher
G5C9Q9,Q80X19,87.3,94.8,0.1,matcher
G5BW45,Q9Z1K7,84.4,87.8,2.0,matcher
G5C636,Q02357,89.6,93.3,2.1,matcher
G5BUM7,Q8BSQ9,94.4,95.7,3.4,matcher
G5BV08,E9QAE3,88.3,89.9,8.3,matcher
G5AVS4,Q6PFD9,88.2,92.6,1.0,matcher
G5BUI4,Q3TKT4,92.8,93.4,5.8,matcher
G5AT31,Q62059,56.8,68.0,3.2,matcher
G5B947,Q3UHK8,85.0,88.0,7.5,matcher
G5C0Y3,E9Q9B7,88.9,93.3,1.9,matcher
G5B088,E9Q394,69.0,77.9,2.5,matcher
G5C4C4,A2AIV2,95.1,97.5,0.1,matcher
G5C730,Q69ZU6,90.9,94.9,0.2,matcher
G5CA63,B7ZCC9,59.3,70.7,2.9,matcher
G5AVE1,Q3UHC0,90.0,93.2,1.9,matcher
G5AN04,Q80TE4,90.5,94.6,0.6,matcher
G5C6Y0,F6RXI4,69.6,80.9,0.8,matcher
G5BB68,Q91YE5,82.9,88.7,2.0,matcher
G5C5Y4,Q91V24,75.1,83.1,1.9,matcher
G5BX26,O89026,96.2,98.1,0.1,matcher
G5AV90,Q6PDN3,82.3,88.4,1.8,matcher
G5BTT3,Q8CE72,64.3,75.2,5.5,matcher
G5BIG7,P60330,76.4,85.1,0.6,matcher
G5AS95,Q52KB6,72.8,81.5,2.9,matcher
G5B2H8,B2RXS4,82.5,87.1,7.0,matcher
G5ASC9,Q6ZQH8,91.7,95.6,0.3,matcher
G5BY47,Q61037,87.8,91.0,2.1,matcher
G5BUQ1,Q5DU28,74.1,81.0,7.8,matcher
G5AJV4,Q8K284,76.3,84.2,2.5,matcher
G5BTV2,Q91VN0,94.1,96.7,0.8,matcher
G5BLN3,Q61043,75.2,85.7,2.0,matcher
G5B1T1,F8VPT3,79.3,87.7,0.4,matcher
G5AKD0,E9Q1M1,63.8,73.0,4.4,matcher
G5AMH1,A0A286YCV9,88.0,91.5,1.2,matcher
G5B0X8,F8VQB6,79.2,84.4,8.1,matcher
G5AM05,Q921C3,76.0,83.9,2.5,matcher
G5BTS1,B9EJV3,82.5,88.5,2.6,matcher
G5B1S6,Q9JKF1,95.7,97.8,0.0,matcher
G5ANE1,Q6QI06,95.2,97.9,0.2,matcher
G5BGH7,Q8C4A5,79.3,87.2,0.7,matcher
G5B3A8,Q9QXL1,94.8,97.1,1.0,matcher
G5BBV5,P61460,95.2,96.9,0.1,matcher
G5BHU0,Q8CIR4,77.6,84.9,1.4,matcher
G5BZG6,Q3U962,94.7,97.7,0.1,matcher
G5B8I8,O88207,83.8,86.7,9.8,matcher
G5BUA1,Q8CGM1,94.0,95.6,2.6,matcher
G5AZZ8,Q6VGS5,76.6,83.0,7.3,matcher
G5CA84,Q61282,73.4,80.6,4.8,matcher
G5BLQ8,Q61789,60.8,71.3,15.2,matcher
G5C3W8,Q6P5U7,94.9,98.1,0.0,matcher
G5C7V5,Q9WUU9,79.2,86.3,0.8,matcher
G5AWG6,Q7TT50,92.0,96.0,1.1,matcher
G5CBQ1,Q8K4E0,55.7,67.2,7.0,matcher
G5BMW5,Q61818,81.0,86.5,3.3,matcher
G5BVD6,B1AWL2,89.2,92.4,3.1,matcher
G5BWD5,P28481,94.1,97.0,0.2,matcher
G5C7F6,Q9R1B9,95.4,97.9,0.5,matcher
G5BG29,O35134,87.6,93.6,0.9,matcher
G5BYG3,O88572,95.6,97.1,2.2,matcher
G5B602,Q6PR54,67.8,78.1,3.9,matcher
G5AZK0,E9Q0S6,87.4,90.8,1.9,matcher
G5BUT0,E9PWR4,99.0,99.1,0.1,matcher
G5AX22,F8VPZ3,94.8,96.9,0.1,matcher
G5C1K2,Q9ESE1,74.7,79.6,13.5,matcher
G5BYE5,Q3UH93,86.5,91.3,1.4,matcher
G5B451,P02468,92.1,96.5,0.0,matcher
G5AR37,Q8R4U0,61.8,72.5,9.1,matcher
G5C7C3,Q6DIC0,94.3,95.3,2.9,matcher
G5BXZ3,A0A140LIW3,88.2,91.3,3.1,matcher
G5BZQ9,B2RQG2,75.8,83.9,2.8,matcher
G5BKD6,Q80XB4,85.9,92.4,0.8,matcher
G5B6S1,H3BKP8,75.6,82.4,5.5,matcher
G5AL21,Q69Z38,85.5,90.9,1.1,matcher
G5C547,Q80TZ9,92.3,94.4,1.2,matcher
G5B0I5,Q61194,89.5,93.7,0.2,matcher
G5AK08,Q8BJ34,85.6,91.0,0.8,matcher
G5BNL7,Q80TT8,80.7,87.1,2.6,matcher
G5AZL6,E9Q512,79.0,88.5,1.6,matcher
G5B7E7,P97412,78.3,86.1,3.5,matcher
G5C7Z8,Q80UG2,98.1,99.1,0.0,matcher
G5APJ6,G3X9Z4,92.7,95.9,0.6,matcher
G5ATG2,F8VQM5,78.1,88.1,0.1,matcher
G5BM08,Q6ZPV2,95.8,97.8,0.4,matcher
G5BEA7,Q60610,93.7,96.4,0.1,matcher
G5BUQ5,Q6A070,83.7,89.6,3.3,matcher
G5C3Q8,P33173,77.9,79.8,17.1,matcher
G5BRW6,Q925J9,94.1,96.7,0.5,matcher
G5BIA7,E9PZ87,79.4,87.4,0.3,matcher
G5BL08,Q9Z1N9,93.8,95.3,1.3,matcher
G5AZ56,P97789,84.9,89.6,3.7,matcher
G5AWY7,E9Q4Z2,86.1,90.5,3.9,matcher
G5AWR2,Q8C3Y4,69.3,76.7,14.0,matcher
G5AV02,Q91YM2,97.4,98.7,0.1,matcher
G5AJU2,Q8K4S1,87.5,92.2,3.6,matcher
G5BMV2,P0DM40,71.0,82.1,3.0,matcher
G5C525,Q9CWL2,92.0,94.2,1.3,matcher
G5B2M2,Q9R269,84.3,90.2,3.4,matcher
G5BEG4,P70170,96.4,98.0,0.3,matcher
G5AW45,Q61464,77.4,86.2,1.7,matcher
G5AXT5,Q9EQW7,86.7,89.9,5.7,matcher
G5BUI8,Q8VDR9,78.9,82.0,12.3,matcher
G5BYW6,Q9R1L5,92.6,94.4,0.5,matcher
G5AR66,E9PUR0,83.8,86.3,8.4,matcher
G5BB00,Q64739,87.7,90.7,4.6,matcher
G5BYT1,Q80TR1,97.6,98.0,0.5,matcher
G5B3H2,Q8R4K8,91.6,95.5,0.7,matcher
G5BEL3,Q8K448,89.5,94.9,0.2,matcher
G5BD86,Q8BYH8,91.5,95.2,0.4,matcher
G5BBT7,A2AKG8,82.9,90.4,0.3,matcher
G5BJT7,Q7TNF8,80.0,85.3,1.2,matcher
G5AZ47,P08122,80.4,86.4,0.5,matcher
G5AZR3,Q924A2,90.5,92.1,1.6,matcher
G5BEZ9,G3UXC7,81.4,88.2,0.4,matcher
G5BPG2,Q5NCJ1,90.6,94.1,1.2,matcher
G5B8P8,E9PYL2,81.2,82.7,11.5,matcher
G5BPC5,Q80U28,92.5,95.1,0.3,matcher
G5BMM4,E9QAN8,85.5,88.2,5.8,matcher
G5BBL4,Q9D219,95.3,97.6,0.1,matcher
G5BHM7,Q67FY2,93.0,94.6,1.5,matcher
G5AUI6,B2RX14,86.6,90.7,1.7,matcher
G5B2S6,E9Q4N7,93.5,96.4,0.1,matcher
G5AUT9,Q6PAL7,94.4,95.7,1.3,matcher
G5C8X3,Q3UHD1,89.9,91.6,2.6,matcher
