proteinID_x,proteinID_y,%_identity,%_similarity,%_gaps,software
G5ATC5,A2AGT5,94.6,97,0.4,stretcher
G5BX18,A2AF47,91.2,93.4,4.8,stretcher
G5ATC6,Q8VI56,93.4,95.3,1.8,stretcher
G5AYD5,Q8BZN6,87.2,90.7,5.4,stretcher
G5C5P1,Q9JJV9,93.7,96,0.4,stretcher
G5B497,Q80XK6,89.9,94.2,0.3,stretcher
G5C2U0,E2JF22,67.7,72.6,17.6,stretcher
G5BXU0,O88427,81.3,85.2,5.6,stretcher
G5B5G2,Q61879,96.4,97,2.6,stretcher
G5CBK3,Q9ESF1,92.3,95.5,0.6,stretcher
G5BD06,P15508,80.5,85,10.4,stretcher
G5BM73,Q8CJ27,63.2,76.7,5,stretcher
G5AYV8,E9Q7P2,82.2,84.6,11.2,stretcher
G5B8W1,Q5SQM0,93.5,95.1,3.2,stretcher
G5AK10,O08638,96.3,98.6,0,stretcher
G5B635,G3X8Q1,79.1,82.3,10.6,stretcher
G5BBQ2,E9PVD3,90.6,93.1,3,stretcher
G5B5I5,P13541,97.5,98.8,0.1,stretcher
G5BAW7,Q8VDD5,95.7,97.7,0.7,stretcher
G5AQP4,Q01815,86.4,88,8.2,stretcher
G5C6I8,A2AQP0,81.2,82.4,16.2,stretcher
G5BLA3,Q52KR3,61.9,72.5,4.8,stretcher
G5AKJ2,Q62407,80.5,83.6,7.7,stretcher
G5BMJ0,Q8BZ21,87.5,91.2,3.4,stretcher
G5AQF6,A2A8L5,94.5,97.1,0.5,stretcher
G5BVE1,Q6DFV5,90.7,94.5,1.2,stretcher
G5B1G6,P45481,76.7,79.2,14.4,stretcher
G5B488,Q8R418,93.1,95.9,1,stretcher
G5AL80,Q8VHY0,78.5,86.1,2.4,stretcher
G5BG08,Q9ERC8,89.1,90.6,8.3,stretcher
G5AVM5,Q8CJH3,85.2,89.2,1,stretcher
G5AUR9,A2BH40,79.5,81.6,13.2,stretcher
G5BRQ1,E9Q0B6,43.3,45.7,52.4,stretcher
G5AL30,B2RUQ2,81.9,87.3,2.9,stretcher
G5ATT5,Q2QI47,49.2,58.1,26.5,stretcher
G5BSY3,B2RT41,90.8,94.5,0.8,stretcher
G5BQY8,P53995,92,95.8,0.1,stretcher
G5B851,Q60952,77.8,86.6,2.3,stretcher
G5B327,P70206,93.2,95.4,2,stretcher
G5ANQ7,Q6ZQA0,75.4,79.7,12.6,stretcher
G5AZE3,B9EKR1,78,85.1,2,stretcher
G5B5H9,B1AR69,93.7,96.3,1.1,stretcher
G5BP07,P70207,92.9,96.1,1.4,stretcher
G5BJW8,G3X9K3,97,98.5,0.2,stretcher
G5B5Q5,P97499,70.4,80.9,2.5,stretcher
G5AM64,Q8C6K9,79.7,86.3,4,stretcher
G5BET6,E9Q411,76.3,85.4,1.2,stretcher
G5BMK7,A0A0A6YW72,58.8,68.6,13.8,stretcher
G5AP75,Q9R0L6,87.5,92.2,1.6,stretcher
G5BVF7,Q3UHA3,74.3,84.9,0.8,stretcher
G5ARZ1,Q3UHC2,87.6,92.5,0.6,stretcher
G5C001,A2AUY4,82,88,5.8,stretcher
G5BQG3,Q64487,90.7,91.9,7.1,stretcher
G5AT46,A2AKX3,70.4,80.1,3.8,stretcher
G5C767,Q60675,55.8,60.4,34,stretcher
G5BQP8,Q8R4Y8,80.7,88.2,1.2,stretcher
G5ASA6,Q80U35,85.8,89.3,1.1,stretcher
G5C8S9,Q923J1,92.9,96.5,0.5,stretcher
G5C9D1,Q99104,93.7,96.2,2.1,stretcher
G5C531,Q60575,95.9,98.3,0.7,stretcher
G5ALF4,Q80TY5,44.6,48,47.1,stretcher
G5BI67,Q3UH53,68.6,72.3,22.9,stretcher
G5AYR1,Q61245,90.1,93.6,1.4,stretcher
G5BE71,Q3V0Q1,56.2,60,35.7,stretcher
G5BWP5,P83741,79.9,83.6,6.9,stretcher
G5AXS3,A2AL36,76.7,87.2,1.6,stretcher
G5AYW3,Q8BKI2,90.7,92.5,5.4,stretcher
G5CAX7,Q6P5D8,85.5,91,3.5,stretcher
G5BHK4,Q4VA61,84.2,85.3,13.5,stretcher
G5BSN0,Q8R1A4,90.2,92.4,5.6,stretcher
G5BVI0,Q62383,97.4,98.4,0.7,stretcher
G5CAH0,Q6DFZ1,92.4,95.2,0.3,stretcher
G5C570,A2A8L1,76.5,79.3,15.1,stretcher
G5BSY8,B2RU80,76.8,82.8,10.2,stretcher
G5B465,Q8C3J5,89.6,92.2,4.8,stretcher
G5B398,Q8CH77,92.1,93.5,4.2,stretcher
G5B9N7,Q8R151,87.3,92.3,0.5,stretcher
G5BRE1,Q8BQM8,85.6,89,8.8,stretcher
G5C825,Q8BXR5,98.4,99.2,0,stretcher
G5APM6,G3X9B1,81.8,90.2,2.1,stretcher
G5AY50,E9PWQ3,66.5,74.6,9.4,stretcher
G5AWU5,Q9WU42,58,60.9,26.9,stretcher
G5C7I6,Q8BRB7,79,83.3,12.4,stretcher
G5C7H8,Q3UHH1,88.6,90.6,3.6,stretcher
G5B0R4,Q9QYX7,41.3,46.1,43.6,stretcher
G5B9V5,Q99MZ6,79.3,89.7,0.6,stretcher
G5BCV2,Q5ND34,87.4,92.4,0.2,stretcher
G5AVH0,Q5F4S9,97.3,98.3,0.6,stretcher
G5C2C5,P02469,89.8,95.2,0.2,stretcher
G5B8U9,Q5SSW2,91.2,94.5,0.8,stretcher
G5BIP5,Q3UH66,75.5,78.1,9.4,stretcher
G5BC11,Q8VDD9,90.8,93.3,3.7,stretcher
G5C9U5,P59511,81.6,89.5,0.5,stretcher
G5BBQ0,Q80SU7,70.3,82.5,0.2,stretcher
G5BDI3,Q9ER60,91,93.9,2.4,stretcher
G5C0K8,S4R299,89.3,93.3,1.6,stretcher
G5B2H0,Q6ZPE2,88.6,90.9,4.6,stretcher
G5BN53,Q03172,64.3,73,6.3,stretcher
G5BTH6,Q8BUR4,86.9,88.1,10.9,stretcher
G5BXS3,G5E8K5,53.2,55.7,40.9,stretcher
G5BBK7,Q8CGS6,69.8,79.7,3.2,stretcher
G5B1W5,E9Q7E2,91,93.9,0.9,stretcher
G5C8P7,Q5U430,86.9,89,9.3,stretcher
G5BZ58,A2A7F4,85.1,89.9,4.5,stretcher
G5BNA6,A2A863,88.8,93.1,1.5,stretcher
G5C8E1,Q8C9B9,74,80.1,4.4,stretcher
G5B849,A3KGK3,83.5,89.3,1.6,stretcher
G5BL85,C8YR32,73.5,76.6,21.7,stretcher
G5BFB9,E9Q2C0,64.7,77.4,6.8,stretcher
G5BYA9,B2RY04,76.7,80,16.9,stretcher
G5BDL1,P40201,94.8,97.3,0.6,stretcher
G5CAL9,Q5PRF0,79.3,86,6.1,stretcher
G5B5E4,B1AR17,80,81.3,13.8,stretcher
G5B3A7,Q02789,87.9,90.4,5.4,stretcher
G5AY92,E0CZ42,77.9,83.2,11.3,stretcher
G5BWQ1,Q3UXZ9,95.6,98.1,0.2,stretcher
G5B9N3,A2A5R2,91.8,93.9,3.8,stretcher
G5AM27,Q9Z0R4,94.5,97.1,0.6,stretcher
G5C9K4,Q70FJ1,64.7,76.7,7.5,stretcher
G5BMU2,O70472,85.6,89.9,5.3,stretcher
G5BA04,Q80YT7,75.3,82.3,6.3,stretcher
G5ANW3,Q9QZQ1,86,89,7.2,stretcher
G5AMC5,G3X9J0,90.4,93.2,1.2,stretcher
G5C060,G5E893,81.2,89.1,1,stretcher
G5BE99,Q571H0,74.3,83.9,1.3,stretcher
G5AVT2,E9Q7G0,80,87.8,2.7,stretcher
G5BZV5,Q61292,85,90.6,0.8,stretcher
G5BJK1,Q9JIS7,83.1,85.9,7.3,stretcher
G5BL22,Q3UU96,92.6,94.9,3.5,stretcher
G5C6N1,E9PZM4,88.3,91.1,6.3,stretcher
G5BZZ9,Q0VGY8,88.1,91.8,1.7,stretcher
G5B6I5,P39447,90.5,93.5,1.4,stretcher
G5BGN6,E9PV66,67.2,75,8.7,stretcher
G5ARJ0,Q80TL7,95.1,97.6,0.3,stretcher
G5BRL2,E9PXF8,82.6,85.2,12,stretcher
G5BFL1,P70208,86.4,88.9,5.4,stretcher
G5BUR9,E9Q3P4,59.6,74.5,4.8,stretcher
G5AP53,Q8VBX6,81.3,88.1,1.3,stretcher
G5B8W7,Q5SNZ0,82.8,85.8,11.3,stretcher
G5C9Q9,Q80X19,87.3,94.8,0.1,stretcher
G5BW45,Q9Z1K7,77.2,80.5,9.9,stretcher
G5C636,Q02357,85.3,88.9,6.8,stretcher
G5BUM7,Q8BSQ9,94.4,95.7,3.4,stretcher
G5BV08,E9QAE3,88.3,89.9,8.3,stretcher
G5AVS4,Q6PFD9,88.2,92.6,1,stretcher
G5BUI4,Q3TKT4,92.8,93.4,5.8,stretcher
G5AT31,Q62059,54.3,65.1,7.7,stretcher
G5B947,Q3UHK8,81.4,84.3,11.2,stretcher
G5C0Y3,E9Q9B7,88.9,93.3,1.9,stretcher
G5B088,E9Q394,62,69.9,12.5,stretcher
G5C4C4,A2AIV2,88.7,91,7.1,stretcher
G5C730,Q69ZU6,88.3,92.2,3,stretcher
G5CA63,B7ZCC9,58.1,69.2,4.9,stretcher
G5AVE1,Q3UHC0,75.8,78.5,17.4,stretcher
G5AN04,Q80TE4,90.5,94.6,0.6,stretcher
G5C6Y0,F6RXI4,68.9,80.1,1.6,stretcher
G5BB68,Q91YE5,82.9,88.7,2.3,stretcher
G5C5Y4,Q91V24,75.3,83.3,2.3,stretcher
G5BX26,O89026,94.5,96.4,0.9,stretcher
G5AV90,Q6PDN3,82,88.2,2,stretcher
G5BTT3,Q8CE72,51.4,60,25.3,stretcher
G5BIG7,P60330,76.3,85,0.7,stretcher
G5AS95,Q52KB6,68.8,77.9,4.2,stretcher
G5B2H8,B2RXS4,80.9,85.5,8.7,stretcher
G5ASC9,Q6ZQH8,90.6,94.6,0.7,stretcher
G5BY47,Q61037,83.1,86.1,7.8,stretcher
G5BUQ1,Q5DU28,72.3,79,10.1,stretcher
G5AJV4,Q8K284,76.4,84.1,3.2,stretcher
G5BTV2,Q91VN0,91.7,94.5,2.2,stretcher
G5BLN3,Q61043,71.9,82,6.6,stretcher
G5B1T1,F8VPT3,79.1,87.4,0.6,stretcher
G5AKD0,E9Q1M1,60.5,69.1,10.2,stretcher
G5AMH1,A0A286YCV9,84.7,88.7,2.6,stretcher
G5B0X8,F8VQB6,77.9,83.2,8.7,stretcher
G5AM05,Q921C3,69.2,77.3,7.7,stretcher
G5BTS1,B9EJV3,82.5,88.5,2.6,stretcher
G5B1S6,Q9JKF1,89.5,91.7,5.9,stretcher
G5ANE1,Q6QI06,91.3,93.9,4.3,stretcher
G5BGH7,Q8C4A5,69.4,76.4,12.5,stretcher
G5B3A8,Q9QXL1,88.8,91,7,stretcher
G5BBV5,P61460,95.2,96.9,0.1,stretcher
G5BHU0,Q8CIR4,77.5,84.9,1.5,stretcher
G5BZG6,Q3U962,94.7,97.7,0.1,stretcher
G5B8I8,O88207,63.2,65.6,31.3,stretcher
G5BUA1,Q8CGM1,94,95.6,2.6,stretcher
G5AZZ8,Q6VGS5,74.7,81.3,7.7,stretcher
G5CA84,Q61282,73.4,80.6,4.8,stretcher
G5BLQ8,Q61789,47.6,55.9,33.5,stretcher
G5C3W8,Q6P5U7,87.2,90.1,8.1,stretcher
G5C7V5,Q9WUU9,79.2,86.3,0.8,stretcher
G5AWG6,Q7TT50,85.8,89.9,6.3,stretcher
G5CBQ1,Q8K4E0,49.8,59.9,17.7,stretcher
G5BMW5,Q61818,78.6,84.2,4.1,stretcher
G5BVD6,B1AWL2,59.3,61.4,35.5,stretcher
G5BWD5,P28481,94.1,97,0.2,stretcher
G5C7F6,Q9R1B9,95.4,97.9,0.5,stretcher
G5BG29,O35134,87.6,93.6,0.9,stretcher
G5BYG3,O88572,92.2,93.8,4.6,stretcher
G5B602,Q6PR54,66.2,76.2,6.5,stretcher
G5AZK0,E9Q0S6,79.5,82.6,10.8,stretcher
G5BUT0,E9PWR4,97.2,97.3,1.9,stretcher
G5AX22,F8VPZ3,92.4,94.5,2.7,stretcher
G5C1K2,Q9ESE1,55.5,60.1,33.6,stretcher
G5BYE5,Q3UH93,77.9,82.3,10.8,stretcher
G5B451,P02468,90.1,94.5,2.1,stretcher
G5AR37,Q8R4U0,53.2,61.7,25.5,stretcher
G5C7C3,Q6DIC0,94.3,95.3,2.9,stretcher
G5BXZ3,A0A140LIW3,80,82.8,12.1,stretcher
G5BZQ9,B2RQG2,75.7,83.9,2.9,stretcher
G5BKD6,Q80XB4,85.9,92.4,0.8,stretcher
G5B6S1,H3BKP8,75.6,82.4,5.5,stretcher
G5AL21,Q69Z38,85.5,90.9,1.1,stretcher
G5C547,Q80TZ9,92.3,94.4,1.2,stretcher
G5B0I5,Q61194,89.5,93.7,0.2,stretcher
G5AK08,Q8BJ34,85.5,91,0.9,stretcher
G5BNL7,Q80TT8,58.7,63.3,29.2,stretcher
G5AZL6,E9Q512,79,88.5,1.6,stretcher
G5B7E7,P97412,40.3,44.4,50,stretcher
G5C7Z8,Q80UG2,77.6,78.4,20.9,stretcher
G5APJ6,G3X9Z4,92.7,95.9,0.6,stretcher
G5ATG2,F8VQM5,78.1,88.1,0.1,stretcher
G5BM08,Q6ZPV2,95.8,97.8,0.4,stretcher
G5BEA7,Q60610,93.7,96.4,0.1,stretcher
G5BUQ5,Q6A070,82.7,88.5,4.6,stretcher
G5C3Q8,P33173,77.9,79.8,17.1,stretcher
G5BRW6,Q925J9,93.2,95.8,1.5,stretcher
G5BIA7,E9PZ87,79.4,87.4,0.3,stretcher
G5BL08,Q9Z1N9,91.2,92.9,3.3,stretcher
G5AZ56,P97789,84.9,89.6,3.7,stretcher
G5AWY7,E9Q4Z2,60.2,63.3,32.8,stretcher
G5AWR2,Q8C3Y4,69,76.5,14.3,stretcher
G5AV02,Q91YM2,97.4,98.7,0.1,stretcher
G5AJU2,Q8K4S1,64.1,67.5,29.3,stretcher
G5BMV2,P0DM40,70.1,81,3.8,stretcher
G5C525,Q9CWL2,82.5,85.1,7.1,stretcher
G5B2M2,Q9R269,84.3,90.2,3.4,stretcher
G5BEG4,P70170,96.4,98,0.3,stretcher
G5AW45,Q61464,77.5,86.2,1.8,stretcher
G5AXT5,Q9EQW7,78.4,81.4,14.4,stretcher
G5BUI8,Q8VDR9,78,81.1,12.8,stretcher
G5BYW6,Q9R1L5,92.6,94.4,0.5,stretcher
G5AR66,E9PUR0,62.7,64.6,31.1,stretcher
G5BB00,Q64739,86.3,89.4,5.3,stretcher
G5BYT1,Q80TR1,97.6,98,0.5,stretcher
G5B3H2,Q8R4K8,84,87.6,8.9,stretcher
G5BEL3,Q8K448,89.5,94.9,0.2,stretcher
G5BD86,Q8BYH8,49.9,51.9,45.7,stretcher
G5BBT7,A2AKG8,82.1,89.5,1.3,stretcher
G5BJT7,Q7TNF8,77.7,82.8,3.8,stretcher
G5AZ47,P08122,80,86,1.2,stretcher
G5AZR3,Q924A2,57.8,59,36.9,stretcher
G5BEZ9,G3UXC7,80.8,87.5,1.1,stretcher
G5BPG2,Q5NCJ1,90.1,93.7,1.7,stretcher
G5B8P8,E9PYL2,81.2,82.7,11.6,stretcher
G5BPC5,Q80U28,88.6,91.2,4.3,stretcher
G5BMM4,E9QAN8,85.4,88.2,5.9,stretcher
