proteinID_y	domain_id	dom_start_y	dom_end_y	dom_agg_score_y	dom_length_y	proteinID_x	dom_start_x	dom_end_x	dom_agg_score_x	dom_length_x
Q9R0X5	PF00415	207	257	3.6169411764705877	50	G5BMQ8	217	267	4.694470588235293	50
Q9R0X5	PF00415	262	308	11.585659574468085	46	G5BMQ8	272	318	7.729872340425532	46
Q9R0X5	PF00415	313	361	7.494591836734692	48	G5BMQ8	323	371	14.524489795918367	48
Q8C1B1	PF08683	1321	1360	0.0	39	G5B3B0	891	929	0.0	38
Q8C1B1	PF11971	225	276	4.395865384615385	51	G5B3B0	262	313	4.367846153846155	51
Q8C1B1	PF17095	725	777	5.926509433962264	52	G5B3B0	642	694	5.92411320754717	52
Q68FH4	PF00288	133	195	15.773904761904767	62	G5CA44	128	190	15.353492063492062	62
Q68FH4	PF08544	354	405	0.015865384615384618	51	G5CA44	479	533	0.0	54
Q68FH4	PF10509	24	72	1.0103061224489798	48	G5CA44	19	67	1.0185714285714285	48
Q9R0N0	PF00288	127	192	12.26640909090909	65	G5BNA5	210	275	8.708651515151516	65
Q9R0N0	PF08544	291	371	0.35441975308641976	80	G5BNA5	374	454	0.3512345679012345	80
Q9R0N0	PF10509	18	66	8.922183673469387	48	G5BNA5	93	149	8.945438596491229	56
Q9D2L1	PF00884	31	367	8.185142433234423	336	G5BU33	32	370	7.339982300884957	338
Q99PU7	PF01088	4	213	9.091861904761904	209	G5BUL9	5	214	9.101966666666673	209
Q99PU7	PF18031	641	686	10.300608695652171	45	G5BUL9	643	688	10.318	45
Q6P5E6	PF00790	33	161	10.18870542635659	128	G5BV74	13	141	10.228821705426355	128
Q6P5E6	PF02883	476	594	4.6126386554621845	118	G5BV74	470	588	5.682781512605041	118
Q6P5E6	PF03127	240	317	1.994179487179487	77	G5BV74	221	298	3.3937435897435897	77
Q6P5E6	PF18308	189	225	0.0	36	G5BV74	170	206	0.0	36
Q8BRT1	PF12348	93	310	1.632316513761468	217	G5BIU3	98	315	1.4407293577981657	217
Q9CPW3	PF08561	65	95	3.392677419354839	30	G5BBD7	69	99	0.28445161290322585	30
O54824	PF00595	213	295	3.548867469879518	82	G5BEZ3	320	402	3.1591686746987957	82
O54824	PF00595	352	417	4.170469696969698	65	G5BEZ3	460	525	3.821924242424243	65
O54824	PF00595	1107	1179	2.091780821917808	72	G5BEZ3	1202	1274	2.0404520547945206	72
O54824	PF00595	1226	1305	5.0576625	79	G5BEZ3	1321	1402	2.7335609756097554	81
Q07968	PF00084	49	87	5.4923589743589725	38	G5BM72	1	39	5.100641025641027	38
Q07968	PF00084	91	146	0.010535714285714287	55	G5BM72	43	98	0.4815714285714287	55
Q07968	PF00084	153	208	6.212214285714286	55	G5BM72	105	160	0.3991785714285713	55
Q07968	PF00084	213	267	2.2777272727272724	54	G5BM72	165	219	2.284327272727273	54
Q07968	PF00084	274	327	1.0154814814814814	53	G5BM72	226	279	0.0	53
Q07968	PF00084	336	389	0.011388888888888893	53	G5BM72	288	341	0.0	53
Q07968	PF00084	396	450	0.18141818181818176	54	G5BM72	348	402	0.0	54
Q07968	PF00084	524	578	0.07172727272727272	54	G5BM72	476	530	0.10499999999999997	54
A2RT67	PF02141	187	371	10.575227027027024	184	G5C8Y9	175	359	11.56082162162163	184
Q791V5	PF00153	127	191	15.812723076923074	64	G5BPB4	128	192	14.118046153846151	64
Q9JIW4	PF10391	237	285	3.625755102040817	48	G5ASQ9	237	285	3.604857142857143	48
Q9JIW4	PF14716	155	217	0.0	62	G5ASQ9	155	217	0.4985079365079366	62
Q9JIW4	PF14791	431	494	1.4642343749999998	63	G5ASQ9	429	492	1.1057812500000004	63
Q9JIW4	PF14792	291	360	0.7790571428571428	69	G5ASQ9	291	360	1.2589571428571429	69
D3YYM0	PF00096	96	118	0.0	22	G5BK11	99	121	0.0	22
D3YYM0	PF00096	124	147	0.0	23	G5BK11	127	150	0.0	23
D3YYM0	PF00096	163	185	0.0	22	G5BK11	166	188	0.0	22
P29352	PF00102	53	287	10.13637021276596	234	G5ATD5	54	288	7.489693617021277	234
P38532	PF00447	17	117	3.57778217821782	100	G5C5T3	18	118	3.5781782178217814	100
P38532	PF06546	249	524	0.14885144927536229	275	G5C5T3	250	526	0.26024637681159424	276
P27782	PF08347	75	210	0.01953676470588236	135	G5AQL1	2	137	0.008088235294117648	135
P27782	PF00505	296	363	4.668088235294113	67	G5AQL1	223	290	4.62586764705882	67
Q8C152	PF07984	56	371	3.819772151898734	315	G5BBX6	8	356	3.428246418338106	348
Q0VBD2	PF09329	397	442	0.27017391304347826	45	G5BE20	377	422	0.0	45
Q0VBD2	PF09332	539	882	0.01842732558139535	343	G5BE20	520	867	0.25015517241379315	347
Q68FL6	PF00043	118	178	4.372622950819672	60	G5BED3	119	179	4.5416065573770465	60
Q68FL6	PF00458	846	893	0.02829166666666667	47	G5BED3	845	892	0.0280625	47
Q68FL6	PF09334	267	658	4.157234693877548	391	G5BED3	266	657	3.811829081632653	391
Q68FL6	PF18485	0	73	9.657013513513515	73	G5BED3	1	74	8.784364864864862	73
O35343	PF00514	103	143	1.5172682926829266	40	G5AQ81	81	121	1.4654878048780493	40
O35343	PF00514	145	183	1.8796410256410256	38	G5AQ81	123	161	1.979615384615385	38
O35343	PF00514	188	228	28.44136585365853	40	G5AQ81	166	206	28.39846341463416	40
O35343	PF00514	232	269	17.622815789473684	37	G5AQ81	210	247	17.571868421052628	37
O35343	PF00514	273	311	0.1615128205128205	38	G5AQ81	251	289	0.16046153846153846	38
O35343	PF00514	314	354	11.814829268292685	40	G5AQ81	292	332	11.809414634146345	40
O35343	PF00514	356	395	1.7871250000000003	39	G5AQ81	334	373	1.8238250000000007	39
O35343	PF00514	401	437	18.89081081081081	36	G5AQ81	379	415	18.84456756756757	36
O35343	PF01749	23	92	0.07954285714285718	69	G5AQ81	1	70	0.08228571428571428	69
O35343	PF16186	447	497	0.1779411764705882	50	G5AQ81	425	475	0.17670588235294118	50
Q9D9P8	PF15838	44	106	16.075555555555557	62	G5C2L1	57	121	15.0138	64
P97302	PF00651	23	126	3.6287500000000006	103	G5B1C9	24	127	2.6518076923076914	103
P97302	PF03131	533	609	0.044259740259740256	76	G5B1C9	533	609	0.05087012987012987	76
Q8BGW6	PF00069	22	280	3.6494787644787623	258	G5BTG9	6	264	3.6024401544401523	258
Q3UHG7	PF09804	79	344	7.647191729323305	265	G5B578	80	345	7.262680451127816	265
Q60780	PF00611	163	234	0.0055000000000000005	71	G5B5H7	164	235	0.0027500000000000003	71
Q60780	PF16623	53	145	0.13899999999999998	92	G5B5H7	54	146	0.13899999999999998	92
Q60780	PF00397	23	52	0.0	29	G5B5H7	24	53	0.0	29
Q9CR98	PF05811	28	130	0.012524271844660194	102	G5C6V1	9	111	0.006747572815533981	102
Q2TB02	PF00023	98	128	6.57674193548387	30	G5BXP3	210	240	6.5774193548387085	30
Q2TB02	PF12796	199	291	3.357602150537636	92	G5BXP3	311	403	2.260150537634409	92
Q80YW5	PF00622	333	441	3.8559633027522926	108	G5B1Z5	222	330	5.646321100917432	108
Q80YW5	PF13765	279	328	0.8795799999999999	49	G5B1Z5	168	217	0.07683999999999999	49
Q99KC8	PF08487	54	128	0.41818666666666665	74	G5C585	1	75	0.5159866666666665	74
Q99KC8	PF13768	298	442	8.932006896551727	144	G5C585	278	422	7.443013793103443	144
Q9WTP6	PF00406	19	140	0.027286885245901643	121	G5B5K5	20	141	0.0263360655737705	121
Q9WTP6	PF05191	141	176	0.0	35	G5B5K5	142	177	0.0	35
Q9EQY0	PF00069	574	831	3.7950077519379835	257	G5BDI0	554	811	4.387686046511628	257
Q9EQY0	PF06479	837	960	1.6765080645161288	123	G5BDI0	817	940	0.06314516129032259	123
Q9JLK4	PF00036	77	105	0.10258620689655172	28	G5BS98	78	106	0.10517241379310344	28
Q9JLK4	PF13499	151	214	0.0	63	G5BS98	152	215	0.0	63
Q04750	PF01028	433	664	3.243413793103448	231	G5C9N0	416	647	3.243038793103448	231
Q04750	PF02919	216	430	4.197246511627907	214	G5C9N0	199	413	4.161218604651163	214
Q04750	PF14370	696	766	2.2144507042253525	70	G5C9N0	679	749	2.2437857142857145	70
Q9CY64	PF01408	17	121	3.694542857142859	104	G5AV43	96	201	5.131632075471697	105
Q9CY64	PF09166	131	241	6.723108108108107	110	G5AV43	211	347	0.5139197080291971	136
Q9WTV6	PF00443	51	362	10.964519230769227	311	G5BWP3	54	334	13.389939501779356	280
P51162	PF14651	0	127	0.0388125	127	G5BEM7	1	128	0.02767716535433071	127
Q8C7R7	PF02257	126	196	2.3339154929577464	70	G5AMZ5	1	71	2.323042253521125	70
Q8R4V4	PF00246	198	497	2.649386666666667	299	G5B308	171	470	2.2904899999999984	299
Q8R4V4	PF01392	47	154	5.29671296296296	107	G5B308	20	127	5.616768518518519	107
Q8R4V4	PF13620	509	572	0.239765625	63	G5B308	482	545	0.25171875	63
Q9DC48	PF00400	278	315	0.8105526315789474	37	G5ARK0	279	316	1.0030526315789474	37
Q9DC48	PF00400	322	359	0.7442368421052631	37	G5ARK0	323	360	0.7442631578947367	37
Q9DC48	PF00400	408	444	18.730945945945944	36	G5ARK0	409	445	18.730945945945944	36
Q9DC48	PF00400	497	535	0.38299999999999995	38	G5ARK0	498	536	0.38299999999999995	38
Q9DC48	PF00400	545	578	15.541882352941187	33	G5ARK0	546	579	16.01284848484849	33
P48299	PF00322	92	120	1.9480344827586205	28	G5AL01	85	113	1.910931034482759	28
P08032	PF00018	980	1025	13.575739130434785	45	G5BSW1	1013	1058	12.79363043478261	45
P08032	PF00435	51	151	0.8085742574257425	100	G5BSW1	44	184	0.3119574468085106	140
P08032	PF00435	156	258	4.738728155339805	102	G5BSW1	189	291	3.035242718446601	102
P08032	PF00435	262	364	0.0	102	G5BSW1	295	397	0.0829611650485437	102
P08032	PF00435	369	470	0.1958333333333334	101	G5BSW1	402	503	0.380186274509804	101
P08032	PF00435	474	575	0.09328431372549016	101	G5BSW1	507	608	0.0494607843137255	101
P08032	PF00435	580	680	0.032970297029702965	100	G5BSW1	613	713	0.8434356435643564	100
P08032	PF00435	685	786	0.0012549019607843138	101	G5BSW1	718	819	0.09534313725490197	101
P08032	PF00435	792	893	0.1312549019607843	101	G5BSW1	825	925	0.17633663366336633	100
P08032	PF00435	898	956	0.07781355932203389	58	G5BSW1	931	988	0.07913793103448276	57
P08032	PF00435	1084	1176	0.3577096774193549	92	G5BSW1	1117	1209	0.02032258064516129	92
P08032	PF00435	1182	1284	0.12059223300970875	102	G5BSW1	1215	1317	5.169446601941746	102
P08032	PF00435	1286	1389	4.398682692307693	103	G5BSW1	1319	1422	3.4295384615384625	103
P08032	PF00435	1393	1487	0.02421052631578948	94	G5BSW1	1426	1519	0.024468085106382983	93
P08032	PF00435	1498	1602	0.0	104	G5BSW1	1531	1646	0.3524051724137932	115
P08032	PF00435	1605	1708	0.022509615384615385	103	G5BSW1	1649	1740	0.32099999999999995	91
P08032	PF00435	1711	1814	3.3940480769230765	103	G5BSW1	1744	1847	1.8057403846153843	103
P08032	PF00435	1817	1920	0.021634615384615388	103	G5BSW1	1850	1953	0.02115384615384615	103
P08032	PF00435	1924	2028	7.207752380952384	104	G5BSW1	1957	2061	0.2822857142857143	104
P08032	PF00435	2039	2141	2.5095631067961155	102	G5BSW1	2072	2174	4.1288155339805845	102
P08032	PF00435	2153	2253	0.7106732673267326	100	G5BSW1	2186	2280	0.7549052631578949	94
P08032	PF08726	2345	2413	0.2528695652173913	68	G5BSW1	2372	2440	0.19424637681159407	68
P55200	PF00628	1491	1530	0.350625	39	G5BHL8	1436	1475	0.35137500000000005	39
P55200	PF00628	1567	1627	0.3338688524590164	60	G5BHL8	1512	1569	0.3356379310344828	57
P55200	PF00856	3836	3940	3.7523333333333326	104	G5BHL8	3770	3874	3.7545809523809517	104
P55200	PF02008	1144	1190	0.0	46	G5BHL8	1181	1227	0.0	46
P55200	PF05964	2025	2072	0.8316041666666666	47	G5BHL8	1967	2014	0.8333749999999999	47
P55200	PF05965	3665	3744	7.1210375	79	G5BHL8	3609	3688	7.1282	79
P55200	PF13771	1901	1979	0.11153164556962022	78	G5BHL8	1843	1921	0.11173417721518987	78
Q810B6	PF00023	324	363	5.377350000000002	39	G5B925	237	276	6.491424999999998	39
Q810B6	PF00023	543	574	12.5131875	31	G5B925	456	487	12.501562500000002	31
Q810B6	PF01363	1107	1162	0.3005714285714285	55	G5B925	1021	1076	0.3297142857142857	55
Q810B6	PF12796	441	519	3.3804430379746835	78	G5B925	354	432	3.2535443037974687	78
Q810B6	PF12796	728	832	7.763038095238095	104	G5B925	642	746	7.7575619047619035	104
Q810B6	PF12796	874	966	7.5250537634408605	92	G5B925	788	880	7.381892473118278	92
Q810B6	PF13637	267	304	11.104973684210528	37	G5B925	180	217	14.27934210526316	37
Q810B6	PF13857	611	661	8.17594117647059	50	G5B925	524	575	8.068269230769229	51
O35973	PF08447	372	456	8.104705882352942	84	G5B5F2	373	457	8.10507058823529	84
O35973	PF12114	1081	1209	2.332286821705425	128	G5B5F2	1084	1212	2.3895038759689906	128
Q8R059	PF16363	4	330	0.7906330275229354	326	G5BHY1	6	332	0.5758348623853212	326
Q9ERH4	PF16006	231	420	0.5581947368421052	189	G5BM12	244	455	0.1749716981132076	211
Q99J79	PF00400	233	270	0.8291315789473686	37	G5BPC2	174	211	0.8190000000000001	37
Q99J79	PF00400	286	314	0.0	28	G5BPC2	227	255	0.0	28
E9PV82	PF15242	0	298	0.5841638795986621	298	G5BCJ1	1	297	0.5891414141414141	296
Q9JL70	PF03511	1270	1304	19.272828571428573	34	G5APH5	1326	1359	5.048294117647059	33
Q9JL70	PF15865	166	517	8.128630681818175	351	G5APH5	218	569	12.683647727272731	351
Q6P8X1	PF00787	57	168	2.8127410714285714	111	G5B109	59	170	2.8129642857142856	111
Q6P8X1	PF09325	186	390	1.1884634146341453	204	G5B109	188	392	1.1886878048780478	204
P30306	PF00581	429	524	8.67903125	95	G5B4U8	434	529	7.6970833333333335	95
P30306	PF06617	110	378	0.3255390334572491	268	G5B4U8	112	383	0.5480036764705882	271
Q8CGR7	PF01048	60	308	3.7054618473895578	248	G5BZZ5	56	304	4.1786867469879505	248
Q3URF8	PF02214	4	92	0.9628426966292136	88	G5AW64	5	93	0.9533932584269662	88
Q5XFZ0	PF15719	26	212	5.258903743315509	186	G5C760	27	213	3.8306470588235295	186
Q6NXM2	PF00415	40	82	9.898023255813953	42	G5B9Z2	41	83	9.903651162790695	42
Q6NXM2	PF00415	92	142	7.327235294117651	50	G5B9Z2	93	143	7.432176470588236	50
Q6NXM2	PF00415	145	195	0.8836078431372549	50	G5B9Z2	146	196	1.666980392156863	50
Q6NXM2	PF00415	199	237	0.18443589743589744	38	G5B9Z2	200	237	0.1804736842105264	37
Q6NXM2	PF00415	250	298	2.8671224489795906	48	G5B9Z2	93	142	7.577300000000001	49
Q6NXM2	PF00651	360	463	3.650163461538462	103	G5B9Z2	297	400	3.652913461538463	103
Q9CZW5	PF00515	116	148	0.0	32	G5BUU3	115	147	0.0	32
Q9CZW5	PF13174	446	475	0.0949	29	G5BUU3	445	474	0.06026666666666668	29
Q9CZW5	PF13181	404	435	0.7579374999999999	31	G5BUU3	403	434	0.028875	31
Q9CZW5	PF13181	478	511	0.3293235294117647	33	G5BUU3	477	510	0.39414705882352935	33
Q9CZW5	PF13181	550	578	0.0	28	G5BUU3	549	577	0.0	28
Q9JLC8	PF05168	4449	4570	3.9943934426229495	121	G5AMY9	4444	4565	4.555360655737705	121
Q60585	PF00096	171	193	0.0	22	G5AMD1	97	119	0.0	22
Q60585	PF00096	199	221	0.0	22	G5AMD1	125	147	0.0	22
Q60585	PF00096	255	277	0.0	22	G5AMD1	265	287	0.0	22
Q60585	PF00096	283	303	0.0	20	G5AMD1	209	229	0.0	20
Q60585	PF00096	339	361	0.0	22	G5AMD1	265	287	0.0	22
Q60585	PF00096	367	389	0.0	22	G5AMD1	293	315	0.0	22
Q60585	PF00096	395	417	0.0	22	G5AMD1	321	343	0.0	22
Q60585	PF00096	423	445	0.0	22	G5AMD1	349	371	0.0	22
Q60585	PF00096	451	473	0.0	22	G5AMD1	377	399	0.0	22
Q60585	PF00096	479	501	0.0	22	G5AMD1	405	427	0.0	22
Q60585	PF00096	507	529	0.0	22	G5AMD1	433	455	0.0	22
P10168	PF01415	75	152	0.15562820512820508	77	G5AW53	8	83	0.051486842105263136	75
Q8BHW2	PF10188	37	188	6.806164473684211	151	G5C6G3	153	304	12.99165131578947	151
Q9QZV9	PF02136	16	134	9.947689075630253	118	G5CBC9	17	135	9.725386554621846	118
G5E8I7	PF00443	51	344	7.067343537414966	293	G5B7F3	48	331	10.111732394366198	283
O88696	PF00574	63	241	9.720385474860336	178	G5C4F9	64	242	9.809441340782119	178
O08717	PF00019	246	348	4.1026893203883485	102	G5BED6	249	351	3.2955728155339807	102
A4Q9E5	PF03133	425	693	4.4943977695167305	268	G5BX86	416	684	4.615382899628255	268
Q8C0C7	PF01409	209	482	1.6230255474452555	273	G5BYW2	210	483	1.6281715328467152	273
Q8C0C7	PF18552	2	60	0.6577796610169492	58	G5BYW2	3	61	0.6401016949152543	58
Q8C0C7	PF18553	74	131	0.105551724137931	57	G5BYW2	75	132	0.006120689655172413	57
Q8C0C7	PF18554	133	165	2.7174242424242427	32	G5BYW2	134	166	0.363	32
Q91ZS8	PF00035	78	139	3.832	61	G5BMG1	79	140	1.0046451612903224	61
Q91ZS8	PF00035	243	293	15.779117647058824	50	G5BMG1	244	294	17.11366666666667	50
Q91ZS8	PF02137	369	700	4.867271084337351	331	G5BMG1	370	734	5.8294767123287645	364
P62069	PF00443	34	361	6.749868902439022	327	G5AU60	23	350	6.706384146341463	327
Q9DBY0	PF00250	458	534	4.096428571428572	76	G5BNI0	473	549	4.09216883116883	76
Q9DBY0	PF16159	307	375	0.014855072463768116	68	G5BNI0	310	378	0.014855072463768116	68
Q6PG04	PF13846	97	210	0.02433333333333333	113	G5ANX0	93	207	0.0	114
Q6PG04	PF13926	272	424	0.9615882352941176	152	G5ANX0	267	418	0.5377631578947368	151
P70372	PF00076	21	91	5.113957746478875	70	G5B4M8	25	95	4.9056338028169035	70
P70372	PF00076	107	173	0.20017910447761192	66	G5B4M8	111	177	0.17553731343283582	66
P70372	PF00076	245	313	7.941826086956523	68	G5B4M8	249	317	6.574869565217389	68
Q8R448	PF15182	20	88	3.1468985507246376	68	G5BGX0	21	88	3.258611940298508	67
O54826	PF13831	53	71	0.5628421052631578	18	G5BTK1	1	19	0.30657894736842106	18
O54826	PF13832	80	196	3.493324786324787	116	G5BTK1	28	144	3.4845299145299147	116
P97358	PF11781	8	36	0.15120689655172412	28	G5B583	3	31	0.0	28
Q80WC3	PF01426	2726	2865	3.3097785714285712	139	G5BI75	2342	2481	3.3169500000000007	139
Q8C267	PF00856	380	687	3.7185487012987015	307	G5B9Z0	372	678	4.209032573289901	306
Q8C267	PF01429	166	231	0.4221060606060605	65	G5B9Z0	157	222	0.3813939393939394	65
Q8C267	PF05033	249	361	0.0	112	G5B9Z0	240	353	0.2509122807017544	113
Q8C0T9	PF00211	42	206	21.351884848484847	164	G5AQ52	42	215	16.13360919540229	173
Q8C0T9	PF00211	340	416	15.568285714285715	76	G5AQ52	348	424	10.644129870129868	76
Q6UGQ3	PF09252	23	83	17.82360655737705	60	G5BXL2	24	83	20.824183333333334	59
Q8VHH5	PF00071	127	283	9.102898089171976	156	G5AMT4	70	226	9.114643312101913	156
Q8VHH5	PF01412	663	773	1.6670270270270275	110	G5AMT4	597	707	0.32481981981981983	110
Q8VHH5	PF12796	795	877	18.576771084337352	82	G5AMT4	729	811	18.584337349397586	82
Q9Z0Z7	PF00096	362	385	0.0	23	G5C9E2	283	306	0.0	23
Q9Z0Z7	PF00096	391	415	0.0	24	G5C9E2	312	336	0.0	24
Q9Z0Z7	PF00096	421	443	0.0	22	G5C9E2	342	364	0.0	22
Q9D2H2	PF00406	333	441	0.046467889908256885	108	G5B499	442	550	1.3461834862385322	108
Q9D2H2	PF05186	569	610	3.8168333333333315	41	G5B499	681	722	0.15295238095238095	41
B2RV46	PF14909	0	90	0.7583956043956044	90	G5B4Y0	55	131	0.03324675324675325	76
P82343	PF07221	97	360	5.679473484848487	263	G5BQU3	1	241	4.630245833333335	240
Q3UKJ7	PF00400	206	241	0.4558611111111112	35	G5B039	207	242	0.5223611111111112	35
Q3UKJ7	PF00400	266	291	4.924384615384615	25	G5B039	267	292	4.119307692307692	25
Q3UKJ7	PF00400	295	332	0.12299999999999997	37	G5B039	296	333	0.12281578947368416	37
Q3UKJ7	PF00400	338	376	0.37192307692307697	38	G5B039	339	377	0.3717948717948718	38
Q3UKJ7	PF00400	473	511	2.6648717948717957	38	G5B039	525	563	6.532512820512822	38
Q3UKJ7	PF17814	6	35	1.219566666666667	29	G5B039	7	36	1.2186	29
Q8K1Z0	PF08511	204	279	1.1205263157894736	75	G5AUE6	186	261	1.1996842105263157	75
Q9D2Y5	PF00787	102	178	0.4982987012987013	76	G5C250	106	181	0.2860789473684211	75
Q80YS9	PF00069	63	265	7.656379310344832	202	G5B8H4	169	369	8.582641791044777	200
Q922X9	PF06325	64	95	3.1887500000000006	31	G5C692	65	95	3.294354838709677	30
O35344	PF00514	103	143	0.3588536585365854	40	G5B9Z4	104	144	0.3589512195121952	40
