proteinID_x,Aggregation_x,clusterNumber,length_x,proteinID_y,Aggregation_y,length_y,diff_length,gene_name,Pasta_Aggregation_x,Pasta_Aggregation_y
G5BCB9,7.38436,13294,275,Q60766,6.970515892420537,409,-134,Irgm1,0.3636363632431101,0.2444987786055581
G5C909,0.8235645756457558,10997,271,Q8R0A0,1.1897188755020076,249,22,Gtf2f2,0.36900367776136533,0.40160642299959837
G5BBH3,4.3306114457831315,7464,664,Q7TT18,1.2977036753445632,1306,-642,Atf7ip,0.15060241072046218,0.07656967956150994
G5AWZ4,4.159788934426232,5829,488,Q9WUM4,4.505776371308016,474,14,Coro1c,0.20491802346735652,0.21097046584897886
G5C7H3,0.9537418367346939,1732,980,Q8BWB1,0.3543333333333332,975,5,Synpo2l,0.10204081574360185,0.1025641034724062
G5BX45,3.0825349344978172,6570,458,P41158,2.9412651162790686,430,28,Elk4,0.2183406026921026,0.2325581447548579
G5AXT2,0.48159550561797754,12149,178,D3Z4I3,1.246533898305084,236,-58,Rbm24,0.561797750292135,0.4237288207771184
G5B5F9,1.006739904988124,2341,842,Q5FWH6,1.5981684334511184,849,-7,Arhgef15,0.1187648455561314,0.11778562953818923
G5BRY2,3.921209756097562,13595,205,P09920,4.680269230769229,208,-3,Csf3,0.4878048730795123,0.48076922784903836
G5C7D8,2.90475,14379,80,P62313,2.90475,80,0,Lsm6,1.249999983,1.2500000022875
G5BRJ5,9.692381656804736,14037,338,Q3UL36,0.0,271,67,Arglu1,0.29585799019873993,0.36900368642804454
G5BDR6,8.621866104868916,1184,1068,Q9ES34,8.338419626168207,1070,-2,Ube3b,0.09363296058702554,0.0934579475072077
G5BM33,3.8400000000000003,12781,205,Q9CQS9,2.549542735042737,234,-29,Haus2,0.48780487600712197,0.4273504339885379
G5BIG1,2.2971139601139603,8146,351,Q9JK81,2.799331578947367,380,-29,Myg1,0.28490028180442734,0.2631578929370607
G5BUS6,7.64854895104895,11331,286,P58044,8.6648281938326,227,59,Idi1,0.3496503581122029,0.4405286329240529
G5AWU7,4.153962085308056,4191,1266,Q6NZL1,3.6539939130434806,1150,116,Dhx37,0.07898894224154111,0.0869565226775718
G5BHP5,9.890818930041155,10391,243,Q8K479,9.88976131687243,243,0,C1qtnf5,0.411522631421247,0.4115226288494716
G5C6P8,6.679567931456548,2077,817,Q8BG67,6.708764346764351,819,-2,Efr3a,0.12239901920616167,0.12210012270625795
G5BMQ8,2.426819685690652,4850,1209,Q9R0X5,1.9642387612387604,1001,208,Rpgr,0.0827129857825915,0.09990009945892234
G5B3B0,3.9091873905429053,1991,1142,Q8C1B1,2.329845995893222,1461,-319,Camsap2,0.0875656742896173,0.06844626781822893
G5CA44,3.3149757942511333,8016,661,Q68FH4,3.6687707423580735,458,203,Galk2,0.15128593129454146,0.2183406125193195
G5BNA5,4.612930379746831,7261,474,Q9R0N0,6.967910714285716,392,82,Galk1,0.21097046091763716,0.25510204023118854
G5BU33,6.631341417910445,5172,536,Q9D2L1,7.934468354430374,553,-17,Arsk,0.18656716532672396,0.1808318247907894
G5BUL9,3.582186556927299,2634,729,Q99PU7,3.572063186813185,728,1,Bap1,0.1371742125690822,0.13736263507272795
G5BV74,5.288382207578251,4610,607,Q6P5E6,3.407782752902156,603,4,Gga2,0.16474464233768202,0.1658374839639337
G5BIU3,3.3059681429681436,721,1287,Q8BRT1,3.351040435458786,1286,1,Clasp2,0.07770007737073574,0.07776049776841105
G5BBD7,1.6684782608695659,14120,138,Q9CPW3,0.8386296296296296,135,3,Mrpl54,0.7246377218586961,0.7407407345037035
G5BEZ3,1.0152237120677496,1253,1417,O54824,1.284397125567322,1322,95,Il16,0.07057162909280115,0.0756429631400186
G5C0N2,0.4958334883720929,1368,1075,Q68FE9,0.3649427184466024,1030,45,Tshz2,0.09302325739851158,0.09708737888799032
G5BM72,0.6639966832504144,4454,603,Q07968,2.2800164424514215,669,-66,F13b,0.16583747770253726,0.14947682764071019
G5C8Y9,6.626335289801902,1011,1363,A2RT67,5.094905023547887,1274,89,Dennd3,0.07336757174192315,0.07849293413475156
G5BPB4,10.790138613861384,9036,303,Q791V5,11.58958415841584,303,0,Mtch2,0.3300330020547231,0.3300329982943236
G5ASQ9,1.5308620689655168,6706,493,Q9JIW4,1.22466129032258,496,-3,Polm,0.20283975582299985,0.20161290526443537
G5BK11,0.005,12443,191,D3YYM0,0.018306878306878303,189,2,Ovol3,0.5235601980842935,0.5291004707497354
G5ATD5,2.592955390334573,3822,807,P29352,3.7927593516209446,802,5,Ptpn22,0.12391573919828269,0.12468827913512268
G5AZP1,1.9963549382716037,4759,648,E9QAF4,2.0564104938271606,648,0,Phldb3,0.15432099274011418,0.1543209862361902
G5C5T3,2.1435456273764246,4867,526,P38532,2.088969523809523,525,1,Hsf1,0.19011407043948678,0.1904761922525452
G5AQL1,1.0320866873065009,7791,323,P27782,0.8215894206549108,397,-74,Lef1,0.3095975184216719,0.2518891678755668
G5BTY0,10.885932835820896,14631,134,Q4FZG8,7.767267857142859,168,-34,Oosp2,0.7462686364322384,0.5952380927141625
G5B4Q4,8.182778026905831,8556,446,F6YQT7,8.399107142857142,476,-30,Lipi,0.2242152513670718,0.21008402871265824
G5BBX6,3.3959513381995103,8283,411,Q8C152,3.148459016393443,427,-16,Tent5b,0.24330899554510924,0.2341920355375697
G5BE20,2.37060644418872,2946,869,Q0VBD2,1.8556677966101707,885,-16,Mcm10,0.11507479579847059,0.11299435286224208
G5BED3,4.847497777777772,1823,900,Q68FL6,4.5560399113082095,902,-2,Mars,0.11111110793244117,0.1108647449990882
G5AQ81,6.516371485943772,4561,498,O35343,6.246069097888683,521,-23,Kpna4,0.20080320950168684,0.19193857508640186
G5C2L1,19.761851562500002,14784,128,Q9D9P8,20.657657407407413,108,20,Llcfc1,0.7812500091583335,0.9259259093101375
G5B1C9,0.9557841352405716,3556,769,P97302,1.3740784844384297,739,30,Bach1,0.13003901303376186,0.13531799860250351
G5BTG9,3.518938666666667,7258,375,Q8BGW6,3.3612361809045197,398,-23,Stk32a,0.2666666764315999,0.25125628408039974
G5B578,7.415742857142862,5318,455,Q3UHG7,7.421723076923076,455,0,Lchn,0.21978022176561712,0.21978021921796356
G5B5H7,0.035171021377672224,5687,421,Q60780,0.035171021377672224,421,0,Gas7,0.23752968449211412,0.2375296927946082
G5C6V1,0.005889830508474577,13858,118,Q9CR98,0.009347826086956522,138,-20,Fam136a,0.8474576182372879,0.7246376759782607
G5BXP3,1.8303698630137002,9164,438,Q2TB02,2.7443027522935783,327,111,Nfkbid,0.22831049988431504,0.30581039645370023
G5B1Z5,3.514801775147928,9218,338,Q80YW5,2.4296638477801262,473,-135,Bspry,0.2958579859272189,0.2114164936630523
G5C585,7.942441059602657,4701,755,Q99KC8,6.677612862547286,793,-38,Vwa5a,0.13245033137170864,0.12610340654978053
G5B5K5,4.147970711297071,10872,239,Q9WTP6,4.150267782426778,239,0,Ak2,0.4184100418947699,0.41841003951805433
G5BL79,9.619877432712231,171,2415,Q80TA9,8.895446734059114,2572,-157,Epg5,0.041407867399636505,0.03888024894023886
G5BDI0,5.755978033472807,1467,956,Q9EQY0,6.460838280450356,977,-21,Ern1,0.10460251198132134,0.10235414316181533
G5BS98,0.36625462962962946,11554,216,Q9JLK4,0.3641018518518519,216,0,Cabp2,0.46296295308981505,0.4629629550481945
G5C9N0,2.408694259012015,2204,749,Q04750,2.362589308996089,767,-18,Top1,0.1335113476515887,0.13037809519455015
G5AV43,7.6127849999999935,12018,400,Q9CY64,5.794047457627119,295,105,Blvra,0.24999999943972778,0.33898306258911176
G5BWP3,11.256498525073743,10280,339,Q9WTV6,9.391807065217387,368,-29,Usp18,0.29498525383041313,0.2717391311305515
G5BMQ1,5.125534482758619,14760,116,Q9CR04,1.4178803418803416,117,-1,Hypm,0.8620689554212928,0.854700846717188
G5BEM7,0.027460937499999998,13956,128,P51162,0.0388125,128,0,Fabp6,0.7812500084374999,0.7812500047187502
G5AMZ5,1.4238737500000003,2517,800,Q8C7R7,1.2514983818770224,927,-127,Rfx6,0.1250000025308137,0.10787486496627856
G5B308,4.296162717219593,3976,633,Q8R4V4,5.120304281345563,654,-21,Cpz,0.1579778780319415,0.15290520007460837
G5BVL8,0.0,4205,492,Q9JMD0,0.024680808080808074,495,-3,Znf207,0.2032520338411379,0.20202020717593924
G5ARK0,3.9972452504317815,3421,579,Q9DC48,3.6972055267702957,579,0,Cdc40,0.17271156954267694,0.17271156702682047
G5AL01,5.918841530054644,13688,183,P48299,4.29209813084112,214,-31,Edn3,0.5464480799307815,0.4672897169439113
G5BSW1,1.30201433838591,201,2441,P08032,1.440990062111803,2415,26,Spta1,0.04096681630060631,0.041407867337883916
G5BHL8,0.6964406258014877,44,3899,P55200,0.7556031265758948,3966,-67,Kmt2a,0.02564760228115074,0.025214321456594573
G5B925,6.7499232902033315,1095,1082,Q810B6,6.478562018819504,1169,-87,Ankfy1,0.09242144079577637,0.08554320043523592
G5B5F2,2.1875666406858945,710,1283,O35973,1.984501936483346,1291,-8,Per1,0.0779423232667611,0.07745933506348836
G5BHY1,0.5974195402298853,7767,348,Q8R059,0.7733371757925069,347,1,Gale,0.2873563230568968,0.28818444234406326
G5BM12,0.5412993492407809,12412,461,Q9ERH4,0.24837704918032785,427,34,Nusap1,0.21691974124685484,0.23419204130864174
G5BPC2,1.4528575342465753,9040,365,Q99J79,3.3705787037037034,432,-67,Ddb2,0.2739726046089863,0.23148148091514575
G5BA84,6.216208053691273,13620,149,Q78YY6,7.907604026845636,149,0,Dnajc15,0.6711409405305363,0.6711409348354358
G5BCJ1,0.5136892230576441,8403,399,E9PV82,0.9162213930348257,402,-3,Fam53a,0.2506265725431079,0.2487561915786071
G5APH5,6.6918731739707855,1825,1506,Q9JL70,7.499120917303676,1439,67,Fanca,0.06640106321470172,0.0694927030875606
G5BDX8,0.21964864864864875,11378,222,A2AJW4,0.04604659498207885,279,-57,Ppp1r3d,0.4504504428896398,0.35842293905172057
G5B109,1.4748574938574943,6203,407,Q6P8X1,1.4782906403940888,406,1,Snx6,0.2457002423547665,0.24630541827068977
G5B4U8,3.3672482758620697,5096,580,P30306,2.8678732638888875,576,4,Cdc25b,0.17241379739498514,0.17361111234990617
G5ASE0,6.1602924281984315,2259,766,Q80ZJ6,5.188779204107831,779,-13,Zer1,0.1305482999853801,0.12836970875023887
G5BJW4,3.7826359447004605,12592,217,D3Z393,5.9932949308755745,217,0,Mkrn2os,0.460829488455295,0.4608294895016498
G5BZZ5,3.4005128205128186,9425,312,Q8CGR7,2.93310625,320,-8,Upp2,0.32051282441108975,0.3125000105906587
G5AW64,1.3471807692307678,9826,260,Q3URF8,1.3354307692307694,260,0,Kctd21,0.38461538808846163,0.38461537700961557
G5BXH2,9.552483766233772,9505,310,Q8C159,7.162788732394367,568,-258,Ttc22,0.32258064309806467,0.17605634306305293
G5C760,4.649755760368665,12655,217,Q5XFZ0,5.541580645161292,217,0,,0.46082949912580673,0.46082949385046074
G5B9Z2,4.081079229122059,5570,467,Q6NXM2,3.7693822975517928,531,-64,Rcbtb1,0.2141327604047108,0.18832391351041428
G5BUU3,2.524343185550082,3578,609,Q9CZW5,1.7576481178396068,611,-2,Tomm70,0.1642036140170441,0.16366612112298207
G5AMY9,3.328390952797213,17,4576,Q9JLC8,3.2885301178524644,4582,-6,Sacs,0.021853146716808762,0.021824530711219675
G5AMD1,0.02131004366812227,6062,458,Q60585,0.4808799249530954,533,-75,Zfp30,0.21834061232685598,0.187617261442214
G5BEA5,1.4677626527050598,1176,1146,Q6PFF0,1.4606311000827124,1209,-63,Scaf4,0.0872600350129268,0.08271298669995109
G5AW53,0.046583333333333324,14757,84,P10168,3.702863636363637,154,-70,Il7,1.190476194523809,0.6493506541706751
G5C6G3,7.123390688259111,8427,494,Q8BHW2,3.556519788918205,379,115,Oscp1,0.20242914129105266,0.2638522384407041
G5CBC9,8.281414285714284,13139,140,Q9QZV9,8.470371428571427,140,0,Nxt1,0.7142857986341431,0.7142857113890072
G5BNG1,2.414807817589579,13429,307,J3QNN4,0.3595260416666664,192,115,Ankrd66,0.3257328997256709,0.5208333360152138
G5B7F3,5.862372708757638,11531,491,G5E8I7,4.406251376146791,545,-54,Usp17lc,0.2036659882397576,0.1834862340673485
G5C4F9,6.4554779411764684,10359,272,O88696,6.418908088235296,272,0,Clpp,0.3676470573460403,0.3676470578407016
G5BED6,4.8474005681818175,9090,352,O08717,6.808617142857146,350,2,Inhbe,0.28409090510143437,0.2857142818656847
G5BX86,2.511371597633138,4441,845,A4Q9E5,1.8132545846817705,927,-82,Ttll3,0.11834319593394099,0.10787486493919517
G5BYW2,1.0571349206349208,4909,504,Q8C0C7,1.889935039370078,508,-4,Farsa,0.19841270114682555,0.19685039230370052
G5BMG1,4.622336021505377,2818,744,Q91ZS8,4.075819971870602,711,33,Adarb1,0.134408603492941,0.14064697310878302
G5AU60,6.314206214689269,7056,354,P62069,6.105961748633879,366,-12,Usp46,0.2824858713096213,0.2732240705865517
G5BNI0,0.49945784883720923,3070,688,Q9DBY0,0.9252578616352202,795,-107,Foxp4,0.14534883940347673,0.12578616321632066
G5ANX0,0.23173489278752435,7135,513,Q6PG04,0.35117760617760624,518,-5,Ccdc82,0.1949317792037233,0.19305019166220666
G5B4M8,3.5199452887538003,7918,329,P70372,3.5211134969325153,326,3,Elavl1,0.303951367711003,0.3067484699918651
G5BGX0,6.268375,14546,88,Q8R448,14.885056179775278,89,-1,Otos,1.1363636419715915,1.1235955067118535
G5BTK1,1.4860049603174592,1563,1008,O54826,0.9904981273408241,1068,-60,Mllt10,0.09920634919390658,0.09363295965442626
G5B2Q4,1.0074985875706213,684,1416,F8VPJ6,1.0801137765592874,1459,-43,Rfx7,0.07062146797101707,0.06854009745400219
G5B583,6.307420577617335,5982,554,P97358,5.297655290102391,586,-32,Taf1b,0.18050541379460827,0.17064846763182484
G5BI75,0.8163842759727232,606,2493,Q80WC3,0.6466973592772751,2878,-385,Tnrc18,0.04011231379759767,0.034746351407885796
G5C5V8,5.97498625429553,10010,291,Q99MS8,5.066650165016503,303,-12,Tpgs1,0.343642617182529,0.33003300543663683
G5B9Z0,2.6124907539118056,5396,703,Q8C267,1.7989481065918649,713,-10,Setdb2,0.14224751195338556,0.14025245380060317
G5AQ52,8.591106079404478,869,1612,Q8C0T9,10.62993122676581,1614,-2,Adcy10,0.062034740393430654,0.061957869958206506
G5BXL2,25.124340909090908,14875,88,Q6UGQ3,18.49358771929824,114,-26,Scgb2b2,1.1363636414844325,0.8771929849508777
G5AMT4,4.522908659549227,1903,843,Q8VHH5,4.340028571428572,910,-67,Agap3,0.11862396149043838,0.10989010992300789
G5C808,6.607739952718675,6868,423,Q8VE08,6.580870106761568,562,-139,Fbxo33,0.23640662018073375,0.1779359467277595
G5C9E2,0.224172131147541,7322,366,Q9Z0Z7,0.2706636771300448,446,-80,Klf5,0.2732240439311476,0.22421524472177148
G5B499,4.280715862068964,4151,725,Q9D2H2,3.071825732899023,614,111,Ak7,0.13793103601332002,0.1628664523404701
G5B4Y0,2.0193094629156008,12282,391,B2RV46,0.19888760806916425,347,44,Spata6l,0.25575448033690557,0.28818443607048994
G5BQU3,4.611033195020749,13040,241,P82343,5.301206976744187,430,-189,Renbp,0.4149377732487967,0.23255814070679057
G5B039,5.284617021276593,4728,564,Q3UKJ7,3.442307992202728,513,51,Smu1,0.17730496646234933,0.19493177480753418
G5AUE6,1.2248231292517004,9723,294,Q8K1Z0,1.212143769968051,313,-19,Coq9,0.3401360512803404,0.3194888210396487
G5C250,5.693359861591692,11529,289,Q9D2Y5,4.252846645367414,313,-24,Snx20,0.3460207613926235,0.3194888169717083
G5B8H4,9.818959839357424,7112,747,Q80YS9,13.475478851963771,662,85,Stkld1,0.1338688087586267,0.15105739970163684
G5C692,4.874280487804884,5192,738,Q922X9,3.7758598265895933,692,46,Prmt7,0.13550135543123293,0.14450867203002887
G5B9Z4,6.857034682080926,4286,519,O35344,6.8358080614203445,521,-2,Kpna3,0.19267822655354078,0.19193857591444166
G5AWZ2,5.712795389048992,8830,347,P18894,3.5621565217391336,345,2,Dao,0.28818443985372066,0.289855073467317
G5AQ83,2.6863210332103327,9324,271,Q9CZ30,2.8583484848484866,396,-125,Ola1,0.3690036847937268,0.252525252296836
G5BAQ0,1.8203815384615378,9052,325,Q8BHN7,2.1504709480122335,327,-2,,0.3076923096071077,0.3058103984644342
G5BGY3,3.0581341256366716,3922,589,Q9WUA2,3.0099524617996605,589,0,Farsb,0.16977928340957524,0.16977928607126141
G5AMN4,1.0376312260536396,1338,1044,E9Q9Q2,0.6884255506607929,1135,-91,R3hdm1,0.0957854407251866,0.08810572554601172
G5C3K7,9.859958549222796,14396,193,Q9D7S0,9.801470588235288,255,-62,Lypd8,0.5181347212095765,0.39215686660446225
G5AM73,2.082737752161383,8530,347,Q99N95,2.201385057471266,348,-1,Mrpl3,0.2881844411608073,0.2873563308183046
G5C9K2,3.4470348432055764,4330,863,Q8C0R9,2.1310609613130107,853,10,Lrrd1,0.11587485648402547,0.11723329437240988
G5BJ82,3.420002816901411,7685,355,Q922E4,3.3691386138613906,404,-49,Pcyt2,0.2816901447372478,0.24752475021418327
G5ASI0,6.065867132867135,5720,429,Q8C4V4,5.407714953271026,428,1,Fbxl3,0.23310023477656874,0.23364486322235767
G5B662,0.3877956989247313,12806,186,Q9DCT6,0.4271812865497078,171,15,Bap18,0.5376344050423117,0.5847953155685965
G5BT40,2.7571855072463767,7831,345,Q9DCZ1,2.4347420289855086,345,0,Gmpr,0.2898550646892753,0.28985507403608685
G5C9J7,1.1479999999999997,9845,382,Q8K2X2,3.001404312668464,371,11,Rbm48,0.26178011018403136,0.26954178285066055
G5AY08,2.365330661322646,1315,998,Q6ZQ58,2.0410382462686583,1072,-74,Larp1,0.10020040427069139,0.09328358001772034
G5B1E5,5.55034604105572,8095,341,B2RXA1,4.251944117647063,340,1,Plcxd2,0.2932551224735779,0.29411764751261477
G5AVB4,3.6300000000000003,13565,201,Q3V2J1,0.769192182410424,307,-106,6430531B16Rik,0.49751244404679107,0.32573289988640064
G5AUI5,2.3312515723270444,8376,318,Q4FK66,0.8704358974358977,312,6,Prpf38a,0.31446541169367925,0.3205128244355837
G5AKV7,2.7588539898132454,3373,589,P35235,2.720505862646567,597,-8,Ptpn11,0.16977928692804187,0.16750418302345832
G5BH55,0.015883905013192614,7373,379,Q9EPK5,0.07245316455696202,395,-16,Wwtr1,0.2638522464019791,0.253164553798481
G5AX63,1.815068041237113,7813,485,Q6IFX4,0.17682157676348553,482,3,Krt39,0.20618556942296912,0.20746888155294596
G5CB09,5.876160173160175,12674,231,O70552,7.256892,250,-19,Btg4,0.432900437250823,0.4000000035283881
G5C4V3,2.870573149741824,4603,581,Q3U4I7,2.1205438898450955,581,0,Pyroxd2,0.17211704267074004,0.17211704112487095
G5BVV4,4.462072992700732,9987,274,Q9D8N2,8.427047619047622,357,-83,Fam45a,0.364963508197153,0.2801120400311316
G5C072,5.18533105022831,6534,438,Q8CGK7,5.965370078740157,381,57,Gnal,0.22831050029848104,0.262467186158146
G5BGE1,4.0604028169014095,1737,1065,Q8VDP3,3.871885496183203,1048,17,Mical1,0.09389671667424013,0.09541984863815242
G5AX60,4.551381736526943,3891,668,P51660,5.287306122448974,735,-67,Hsd17b4,0.14970060192324874,0.1360544232611204
G5BZK8,2.766096446700509,7994,394,B1AZ99,1.9978737373737367,396,-2,Otud3,0.25380710685812163,0.25252525378976676
G5AUY2,5.839178173719382,1122,1347,Q80X82,5.52282710280374,1284,63,Sympk,0.07423904974593301,0.07788161949797473
G5AVE7,9.898930555555555,11591,288,Q8K4H1,9.887439344262294,305,-17,Afmid,0.34722221814767384,0.32786886877843624
G5BIP5,1.378550724637681,304,2208,Q3UH66,0.5050148906468125,2149,59,Wnk2,0.045289854597513855,0.04653327191660232
G5BWR8,2.6878552875695725,4535,539,Q8BHD7,2.763862332695985,523,16,Ptbp3,0.18552875116137496,0.19120459268387588
G5BMS5,1.0100530973451325,11361,226,Q9CQ79,1.33746017699115,226,0,Txndc9,0.4424778777027659,0.442477875675495
G5BZ32,5.945182232346245,6194,439,P29758,3.696697038724373,439,0,Oat,0.22779042647175393,0.2277904362305466
G5AR78,1.444486363636363,11557,220,Q9CQ06,1.083351851851852,216,4,Mrpl24,0.4545454666936365,0.46296295745222243
G5CAS6,4.2301277777777795,4101,720,Q8CG16,7.10660678925035,707,13,C1ra,0.1388888878417145,0.14144271640646797
G5AKY8,0.6952058823529411,8729,578,F6U5V1,0.2312883548983363,541,37,Larp1b,0.17301037755776832,0.184842882710004
G5B0Q1,3.710704598597039,947,1283,E9PUN6,3.16012532366649,1931,-648,Adamts9,0.07794232198833381,0.05178664018842933
G5B9T0,0.9175600000000006,1223,1000,Q6NZN0,1.476569169960474,1012,-12,Rbm26,0.09999999733221981,0.0988142303433558
G5B3S1,1.035739852398524,5586,542,Q3U3N0,0.9722957486136783,541,1,Mier2,0.18450184262072325,0.1848428828278134
G5BGM7,4.002082677165353,11052,254,Q9WVJ5,3.297396000000001,250,4,Crybb1,0.39370079628220495,0.3999999869400721
G5AZH3,5.06487067545304,722,1214,Q7TMB8,5.342021548284118,1253,-39,Cyfip1,0.08237232317552057,0.07980846207596709
G5B751,7.7112932960893845,7956,358,Q8VC48,5.682952646239555,359,-1,Pex12,0.27932960291687997,0.27855152890612256
G5C173,2.958105555555555,13650,180,Q8C3M9,0.8706450216450221,231,-51,,0.5555555607,0.4329004288467529
G5BQ91,1.9680672897196256,5779,535,E9Q8D0,3.4742975517890784,531,4,Dnajc21,0.18691588698844858,0.188323916567075
G5C240,2.905346007604564,11229,263,Q91ZT8,1.6087448275862068,290,-27,Asb9,0.3802281381429658,0.3448275889457813
G5B8M1,4.049280728376324,5057,659,Q3UW68,6.836884210526321,665,-6,Capn13,0.15174507087147202,0.1503759445323023
G5C6F7,0.18497311139564665,4979,781,A2AJI0,0.025549645390070923,846,-65,Map7d1,0.1280409714120588,0.11820330859225776
G5BU21,0.18742622950819673,11179,244,Q01822,0.27220426829268285,328,-84,Hoxd1,0.4098360651831968,0.3048780479685364
G5C9S8,0.024900990099009902,13894,101,O70333,0.0,101,0,Cript,0.9900989950099011,0.990098984
G5AKW1,4.083021138211384,4216,615,Q61010,3.8404003189792664,627,-12,Dtx1,0.16260162784961632,0.15948963156219143
G5BZH3,7.128818181818185,13830,253,O54819,4.5416764705882375,306,-53,Tfpi,0.39525691476178243,0.32679739260851975
G5BR64,2.278130830489192,5681,879,Q91ZP3,1.592009740259741,924,-45,Lpin1,0.11376564485550851,0.10822510683463718
G5BM13,4.298693717277486,10709,382,Q9CWX2,2.211408536585366,328,54,Ndufaf1,0.2617801047257854,0.304878042202561
G5BVI0,1.5924459148446506,284,1738,Q62383,1.6000840092699888,1726,12,Supt6h,0.05753740016570717,0.05793742859164176
G5C4C6,6.178627118644067,9037,295,P55041,6.178769491525423,295,0,Gem,0.33898304299385074,0.33898305328247474
G5BFV4,1.6960865695792875,2625,1236,Q9EPQ2,1.5603335837715997,1331,-95,Rpgrip1,0.0809061494662218,0.07513147960077908
G5AUF4,1.4522338709677425,2451,868,Q6V3W6,2.4274178082191775,876,-8,Drc7,0.1152073782132247,0.11415525452268944
G5BVY1,3.392304203539823,6359,904,P26369,0.8909978947368421,475,429,U2af2,0.11061947118458353,0.21052631997692625
G5AZS3,2.6963917910447748,12361,268,Q9D7K5,3.795139534883721,258,10,Dmac2,0.373134336517948,0.38759688742115495
G5ANM2,5.515054054054055,5532,481,Q9ESS0,5.489811594202899,483,-2,Dusp10,0.20790020925329938,0.2070393376622694
G5APK3,6.563234449760766,12423,209,Q9CZE3,6.940273542600903,223,-14,Rab32,0.47846889978909085,0.44843050782430943
G5BED1,0.992375372393247,1270,1007,Q3TY92,1.1739441674975077,1003,4,Mbd6,0.09930486665399296,0.09970089736466517
G5BDX4,2.7681930379746826,5142,632,E9QAP7,1.1384145873320535,1042,-410,Taf4,0.15822784721497937,0.09596929085907926
G5AKA0,5.798318098720295,6763,547,Q3U1V6,5.850201698513799,471,76,Uevld,0.18281535713274247,0.21231422922726115
G5B5B2,0.042782874617737006,7824,327,Q921N8,0.04007645259938838,327,0,Gps2,0.3058103973373085,0.3058103958905199
G5BVS9,5.473590604026847,12295,447,Q7TNB4,7.50658870967742,248,199,Mro,0.22371364173301997,0.40322580471084685
G5BLR9,2.348913385826772,6817,381,Q9DBC7,2.363923884514436,381,0,Prkar1a,0.262467192346588,0.2624671952695721
G5AYM4,0.20937404580152671,14054,131,Q8C5P7,0.06626373626373627,182,-51,Tdrp,0.7633587712977103,0.5494505457747251
G5BIP1,7.695648379052366,3396,802,Q6NZK8,8.062522088353417,747,55,Ptpdc1,0.12468828176516422,0.13386880882081836
G5BJ02,1.121908045977011,2934,870,A2AG06,1.2055461139896366,965,-95,Meioc,0.11494252566797711,0.10362694266043525
G5C9J8,4.720632156862746,1203,1275,Q5BL07,4.806396417445489,1284,-9,Pex1,0.07843137272172945,0.07788162035357273
G5BQW4,2.6065352697095445,10385,241,Q9Z2U1,2.6065352697095445,241,0,Psma5,0.4149377599624067,0.41493777167390056
G5BKC2,0.7372437768240341,1668,1165,Q3UQS8,0.8560442035029187,1199,-34,Rbm20,0.08583690782187114,0.08340283434293456
G5BHH9,4.303040498442367,8307,321,Q9WV74,3.8769702380952333,336,-15,Asb1,0.31152648352299084,0.297619048382077
